"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2010","Weihnachten
2010/2011","Winter
2011","Ostern/Frühjahr
2011","Himmelfahrt/Pfingsten
2011","Sommer
2011"
Baden-Württemberg (4),02.11. - 06.11.,23.12. - 08.01,-,26.04. - 30.04.2,14.06. - 25.06.,28.07. - 10.09.
Bayern (-),02.11. – 05.11.,24.12. – 07.01.,07.03. – 11.03.,18.04. – 30.04.,14.06. – 25.06.,30.07. - 12.09.
Berlin (-),11.10. - 23.10.,23.12. – 01.01.,31.01. – 05.02.,18.04. – 30.04.,03.06. und 29.06.,30.06. - 12.08.
Brandenburg (2),11.10. - 23.10.,23.12. - 01.01.,31.01. - 05.02.,20.04. - 30.04.,03.06.,30.06. - 13.08.
Bremen (1),09.10. – 23.10.,22.12. – 05.01.,31.01. – 01.02.,16.04. – 30.04.,14.06.,07.07. - 17.08.
Hamburg (-),04.10. – 15.10.,23.12. – 03.01.,31.01.,07.03. – 18.03.,"26.04. – 29.04. 
und 03.06.",30.06. - 10.08.
Hessen (3),11.10. - 22.10.,20.12. - 07.01.,-,18.04. - 30.04.,-,27.06. - 05.08.
Mecklenburg-Vorpommern (3) 3,18.10. – 23.10.,23.12. – 31.12.,07.02. – 19.02.,16.04. – 27.04.,10.06. – 14.06.,04.07. - 13.08.
Niedersachsen (-),09.10. – 23.10.,22.12. – 05.01.,31.01. – 01.02.,16.04. – 30.04.,03.06. und 14.06.,07.07. - 17.08.
Nordrhein-Westfalen (3),11.10. – 23.10.,24.12. – 08.01.,-,18.04. – 30.04.,-,25.07. - 06.09.
Rheinland-Pfalz (4),11.10. - 22.10.,23.12. - 07.01.,-,18.04. - 29.04.,-,27.06. - 05.08.
Saarland (3),11.10. – 23.10.,20.12. – 31.12.,07.03. – 12.03.,18.04. – 30.04.,-,24.06. - 06.08.
Sachsen (1),04.10. – 16.10.,23.12. – 01.01.,12.02. – 26.02.,22.04. – 30.04.,03.06.,11.07. - 19.08.
Sachsen-Anhalt (2),18.10. – 23.10.,22.12. – 05.01.,05.02. – 12.02.,18.04. – 27.04.,14.06. – 18.06.,11.07. - 24.08.
Schleswig-Holstein (1) 4,11.10. – 23.10.,23.12. – 07.01.,-,15.04. - 30.04.,03.06. – 04.06.,04.07. - 13.08.
Thüringen (2),09.10. – 23.10.,23.12. – 31.12.,31.01. – 05.02.,18.04. – 30.04.,11.06. – 14.06.,11.07. - 19.08.
