Land*,"Herbst
2017","Weihnachten
2017/2018","Winter
2018","Ostern/Frühjahr
2018","Himmelfahrt/Pfingsten
2018","Sommer
2018"
Baden-Württemberg (4),30.10. - 03.11.,22.12. - 05.01.,--,26.03. - 06.04.,22.05. - 02.06.,26.07. - 08.09.
Bayern,30.10. - 03.11.,23.12. - 05.01.,12.02. - 16.02.,26.03. - 07.04.,22.05. - 02.06.,30.07. - 10.09.
Berlin,"02.10.
23.10. - 04.11.",21.12. - 02.01.,05.02. - 10.02.,26.03. - 06.04.,30.04./11.05./22.05.,05.07. - 17.08
Brandenburg (3),23.10. - 04.11.,21.12. - 02.01.,05.02. - 10.02.,26.03. - 06.04.,--,05.07. - 18.08.
Bremen,"02.10. - 14.10.
30.10.",22.12. – 06.01.,01.02. - 02.02.,19.03. - 03.04.,30.04./11.05./22.05.,28.06. - 08.08.
Hamburg,"02.10.
16.10 - 27.10.",22.12. - 05.01.,02.02.,05.03. - 16.03.,"30.04.
07.05. - 11.05.",05.07. - 15.08.
Hessen (3),09.10. - 21.10.,24.12. - 13.01.,--,26.03. - 07.04.,--,25.06. - 03.08.
Mecklenburg-Vorpommern,"02.10.
23.10. - 30.10.",21.12. - 03.01.,05.02. - 16.02.,26.03. - 04.04.,"11.05.
18.05. - 22.05.",09.07. - 18.08
Niedersachsen,"02.10. - 13.10.
30.10.",22.12. - 05.01.,01.02. - 02.02.,19.03. - 03.04.,30.04./11.05./22.05.,28.06. - 08.08.
Nordrhein-Westfalen (4),23.10. - 04.11.,27.12. - 06.01.,--,26.03. - 07.04.,22.05. - 25.05.,16.07. - 28.08.
Rheinland-Pfalz (6),02.10. - 13.10.,22.12. - 09.01.,--,26.03. - 06.04.,--,25.06. - 03.08
Saarland (2),02.10. - 14.10.,21.12. - 05.01.,12.02. - 17.02.,26.03. - 06.04.,--,25.06. - 03.08.
Sachsen (2),"02.10. - 14.10.
30.10.",23.12. - 02.01.,12.02. - 23.02.,29.03. - 06.04.,"11.05.
19.05. - 22.05.",02.07. - 10.08.
Sachsen-Anhalt,"02.10. - 13.10.
30.10.",21.12. - 03.01.,05.02. - 09.02.,"26.03. - 31.03.
30.04.",11.05. - 19.05.,28.06. - 08.08.
Schleswig-Holstein (2) 2,16.10 - 27.10.,21.12. - 06.01.,--,29.03. - 13.04.,11.05.,09.07. - 18.08.
Thüringen (2),02.10. - 14.10.,22.12. - 05.01.,05.02. - 09.02.,26.03. - 07.04.,11.05.,02.07. - 11.08.
