Land 2) ,Herbst 2002,Weihnachten 2002/2003,Winter 2003,Ostern/Frühjahr 2003,Himmelf./Pfingsten 2003,Sommer 2003
Baden-Württemberg (4),28.10. - 30.10.,23.12. - 04.01.,-,14.04. - 26.04.,02.06. - 13.06.,24.07. - 06.09.
Bayern (2),28.10. - 02.11.,23.12. - 04.01.,03.03. - 07.03.,14.04. - 26.04.,10.06. - 21.06.,28.07. - 08.09.
Berlin (-),04.10.3)/ /07.10. - 19.10.,23.12. - 03.01,03.02. - 08.02.,14.04. - 25.04,28.05.3) / 30.05.3),03.07. - 16.08.
Brandenburg (3),04.10.3)/ /07.10. - 19.10.,23.12. - 03.01.,03.02. - 08.02.,16.04. - 25.04.,30.05.3),03.07. - 16.08.
Bremen (2),30.09. - 12.10.,23.12. - 07.01.,03.02. - 04.02.,07.04. - 23.04.,10.06.,10.07. - 20.08.
Hamburg (-),04.10. - 19.10.,23.12. - 04.01.,31.01. 3)/,10.03. - 22.03.,02.05.3) / 26.05. - 30.05.,03.07. - 13.08.
Hessen (2),30.09. - 12.10.,23.12. - 10.01.,-,07.04. - 19.04.,-,21.07. - 29.08.
Mecklenburg-Vorpommern (3),14.10. - 19.10.,23.12. - 03.01.,03.02. - 15.02.,14.04. - 23.04.,06.06. - 10.06.,05.07. - 15.08.
Niedersachsen (-),30.09. - 12.10.,23.12. - 06.01.,03.02. - 04.02.,07.04. - 23.04.,02.05.3)/30.05.3)/10.06.3),10.07. - 20.08.
Nordrhein-Westfalen (3),14.10. - 26.10.,23.12. - 06.01.,-,14.04. - 26.04.,10.06.,31.07. - 13.09.
Rheinland-Pfalz (4),30.09. - 11.10.,20.12. - 03.01.,-,10.04. - 25.04.,-,21.07. - 29.08.
Saarland (1),04.10. - 19.10.,23.12. - 06.01.,03.03.3) + 04.03.3),14.04. - 28.04.,30.05.3),21.07. - 30.08.
Sachsen (2),14.10. - 26.10.,23.12. - 04.01.,10.02. - 21.02.,18.04. - 25.04.,-,12.07. - 22.08.
Sachsen-Anhalt (2),04.10. - 11.10.,23.12. - 04.01.,10.02. - 22.02.,22.04. - 02.05.,-,10.07. - 20.08.
Schleswig-Holstein (3),14.10. - 28.10.4),23.12. - 06.01.,-,10.03. - 22.03. / 22.04.3),-,30.06. - 09.08.4)
Thüringen (2),14.10. - 26.10.,23.12. - 03.01.,10.02. - 15.02.,14.04. - 25.04.,07.06. - 10.06.,10.07. - 20.08.
