"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2009","Weihnachten
2009/2010","Winter
2010","Ostern/Frühjahr
2010","Himmelfahrt/Pfingsten
2010","Sommer
2010"
Baden-Württemberg (3),26.10 – 30.10.2,23.12. – 09.01.,-,06.04. – 10.04.2,25.05. – 05.06.,29.07. - 11.09.
Bayern (-),02.11. – 07.11.,24.12. – 05.01.,15.02. – 20.02.,29.03. –10.04,25.05. – 05.06.,02.08. - 13.09.
Berlin (-),19.10. – 30.10.,21.12. – 02.01.,01.02. – 06.02.,31.03. – 10.04.,14.05. / 25.05.,07.07./08.07. - 21.08.
Brandenburg (2),19.10. - 30.10.,21.12. - 02.01.,01.02. - 06.02.,31.03. - 10.04.,-,08.07. - 21.08.
Bremen (1),05.10. - 17.10.,23.12. - 06.01.,01.02. – 02.02.,19.03. – 06.04.,25.05.,24.06. - 04.08.
Hamburg (-),12.10. - 24.10.,21.12. - 31.12.,29.01.,08.03. – 20.03.,14.05. - 22.05.,08.07. - 18.08.
Hessen (3),12.10. - 24.10.,21.12. - 09.01.,-,29.03. – 10.04.,-,05.07. - 14.08.
Mecklenburg-Vorpommern (3),26.10. - 30.10.,21.12. – 02.01.,06.02. – 20.02.,29.03. – 07.04.,21.05. – 22.05.,12.07. - 21.08.
Niedersachsen (-),05.10. - 17.10.,23.12. - 06.01.,01.02. + 02.02.,19.03. – 06.04.,14.05. / 25.05.,24.06. - 04.083
Nordrhein-Westfalen (4),12.10. - 24.10.,24.12. - 06.01.,-,27.03. – 10.04.,25.05.,15.07. - 27.08.
Rheinland-Pfalz (4),12.10. - 23.10.,21.12. - 05.01.,-,26.03. – 09.04.,-,05.07. - 13.08.
Saarland (2),19.10. - 31.10.,18.12. - 02.01.,15.02. - 20.02.,29.03. – 10.04.,-,05.07. - 14.08.
Sachsen (1),12.10. - 24.10.,23.12. - 02.01.,08.02. - 20.02.,01.04. – 10.04.,14.05.,28.06. - 06.08.
Sachsen-Anhalt (1),12.10. – 17.10.,21.12. – 05.01.,08.02. – 13.02.,29.03. – 09.04.,14.05. – 22.05.,24.06. - 04.08.
Schleswig-Holstein (3),12.10. - 24.10.4,21.12. - 06.01.,-,03.04. – 17.04.,-,12.07. - 21.08.4
Thüringen (2),12.10. - 24.10.,19.12. - 02.01.,01.02. - 06.02.,29.03. – 09.04.,-,24.06. - 04.08.
