Land 2) ,"Sommer 
1998 ","Herbst 
1998 ","Weihnachten 
1998/99 ","Winter 
1999 ","Ostern/Frühjahr 
1999 ","Himmelf./Pfingsten 
1999 "
Baden-Württemberg (5),30.07.-12.09.,26.10.-30.10.,23.12.-05.01.,nan,06.04.-10.04.,14.05. 3)/22.05.-05.06.
Bayern (2),30.07.-14.09.,02.11.-07.11.,24.12.-05.01.,15.02. 3),29.03.-10.04.,25.05.-05.06.
Berlin (-),09.07.-22.08.,17.10.-24.10.,24.12.-02.01.,30.01.-13.02.,03.04.-17.04.,14.05. 3)
Brandenburg (3),09.07.-22.08.,12.10.-17.10.,23.12.-02.01.,01.02.-13.02.,01.04.-09.04.,25.05.-26.05.
Bremen (1),23.07.-05.09.,26.10.-31.10.,23.12.-06.01.,nan,29.03.-17.04.,nan
Hamburg (-),09.07.-19.08.,12.10.-24.10.,23.12.-05.01.,nan,08.03.-20.03.,14.05. 3)/25.05.-29.05.
Hessen (4),16.07.-28.08.,12.10.-17.10.,24.12.-08.01.,nan,22.03.-10.04.,nan
Mecklenburg-Vorpommern (3),09.07.-19.08.,15.10.-24.10.,23.12.-04.01.,01.02.-10.02.,29.03.-07.04.,21.05.-25.05.
Niedersachsen (-),23.07.-02.09.,19.10.-31.10.,23.12.-06.01.,nan,29.03.-17.04.,14.05. 3)/25.05. 3)
Nordrhein-Westfalen (4),25.06.-08.08.,05.10.-17.10.,23.12.-06.01.,nan,29.03.-10.04.,nan
Rheinland-Pfalz (4),16.07.-28.08.,10.10.-24.10.,21.12.-31.12.,nan,26.03.-10.04.,nan
Saarland (-),16.07.-26.08.,19.10.-31.10.,21.12.-05.01.,nan,26.03.-12.04.,nan
Sachsen (2),23.07.-02.09.,19.10.-23.10.,23.12.-02.01.,08.02.-20.02.,29.03.-10.04.,22.05.-25.05.
Sachsen-Anhalt (1),23.07.-02.09.,26.10.-30.10.,23.12.-05.01.,08.02.-20.02.,06.04.-10.04.,14.05.-22.05.
Schleswig-Holstein (3),09.07.-19.08. 4),12.10.-26.10. 4),23.12.-06.01.,nan,01.04.-17.04.,nan
Thüringen (3),23.07.-02.09.,26.10.-30.10.,21.12.-06.01.,08.02.-13.02.,29.03.-10.04.,21.05.-25.05.
