Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;5_Merkmal_Code;5_Merkmal_Label;5_Auspraegung_Code;5_Auspraegung_Label;UMS002__Umsatz__2015=100
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-55;Beherbergung;92,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-551;Hotels, Gasthöfe und Pensionen;91,9
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-552;Ferienunterkünfte u. ähnliche Beherbergungsstätten;97,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-553;Campingplätze;68,4
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-559;Sonstige Beherbergungsstätten;127,1
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-56;Gastronomie;152,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561;Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;154,3
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-562;Caterer und sonstige Verpflegungsdienstleistungen;87,9
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-563;Ausschank von Getränken;255,0
45213;Monatsstatistik im Gastgewerbe;JAHR;Jahr;1994;DINSG;Deutschland insgesamt;DG;Deutschland;WERTE4;Preisarten;REAL;in konstanten Preisen;WERT03;Original- und bereinigte Daten;WERTORG;Originalwerte;MONAT;Monate;MONAT01;Januar;WZ08W9;WZ2008 (2- bis 3-Steller): Gastgewerbe;WZ08-561-01;Gaststättengewerbe;168,4
