Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
377;Bergzabern;7.99;49.1;181;1.3;19470101;19501031;Sonnenscheinschreiber nach Campbell-Stokes;Sonnenscheinregistrierung, konv.;eor;
377;Bergzabern;7.99;49.1;181;1.5;19620401;19650831;Sonnenscheinschreiber nach Campbell-Stokes;Sonnenscheinregistrierung, konv.;eor;
377;Bergzabern;8;49.1;185;1.5;19650901;19681231;Sonnenscheinschreiber nach Campbell-Stokes;Sonnenscheinregistrierung, konv.;eor;
377;Bergzabern, Bad;8;49.1;185;1.5;19690101;19690930;Sonnenscheinschreiber nach Campbell-Stokes;Sonnenscheinregistrierung, konv.;eor;
377;Bergzabern, Bad;8;49.1;185;1.8;19720301;19770623;Sonnenscheinschreiber nach Campbell-Stokes;Sonnenscheinregistrierung, konv.;eor;
377;Bergzabern, Bad;8;49.1;180;1.8;19770701;20001231;Sonnenscheinschreiber nach Campbell-Stokes;Sonnenscheinregistrierung, konv.;eor;
377;Bergzabern, Bad;8;49.11;210;6;20041001;20171125;SONIe Sonnenenergie-Sensor;Sonnenscheindauer, elektr.;eor;
377;Bergzabern, Bad;8;49.11;210;6;20171204;20200610;SONIe Sonnenenergie-Sensor e2;Sonnenscheindauer, elektr.;eor;
377;Bergzabern, Bad;8;49.11;210;6;20200629;20211008;SONIe Sonnenenergie-Sensor e2;Sonnenscheindauer, elektr.;eor;
377;Bergzabern, Bad;8;49.11;210;6;20211013;20231121;SONIe Sonnenenergie-Sensor e3;Sonnenscheindauer, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
