name,latitude,longitude,geometry,Bundesland,Regierungsbezirk,Kreis,Typ
Camping Hochrhein,47.60478810000001,8.299681000000001,POINT (8.299681000000001 47.60478810000001),Baden-Württemberg,Freiburg,Waldshut,Landkreise
Camping Gitzenweiler Hof,47.5849396,9.7062691,POINT (9.7062691 47.5849396),Bayern,Schwaben,Lindau,Landkreise
Campingplatz Fischbach,47.66931999999999,9.40394,POINT (9.40394 47.66931999999999),Baden-Württemberg,Tübingen,Bodensee,Landkreise
Ravensburger Spieleland,47.7097296,9.5920036,POINT (9.5920036 47.7097296),Baden-Württemberg,Tübingen,Bodensee,Landkreise
Rubi-Camp,47.42377,10.2784,POINT (10.2784 47.42377),Bayern,Schwaben,Oberallgäu,Landkreise
Camping an der Iller,47.50597,10.2737,POINT (10.2737 47.50597),Bayern,Schwaben,Oberallgäu,Landkreise
RV park - Bad Hindelang,47.4995963,10.3723824,POINT (10.3723824 47.4995963),Bayern,Schwaben,Oberallgäu,Landkreise
Alpsee Wellness Camping,47.57253,10.19316,POINT (10.19316 47.57253),Bayern,Schwaben,Oberallgäu,Landkreise
Camping Zeh am See,47.63010740000001,10.2457163,POINT (10.2457163 47.63010740000001),Bayern,Schwaben,Oberallgäu,Landkreise
Camping Brunnen,47.597439,10.7370703,POINT (10.7370703 47.597439),Bayern,Schwaben,Ostallgäu,Landkreise
Jugendzeltplatz Falkencamp Schwangau,47.57391000000001,10.753671,POINT (10.753671 47.57391000000001),Bayern,Schwaben,Ostallgäu,Landkreise
Camping Magdalena & Haus Sonnenlage,47.6156047,10.7234999,POINT (10.7234999 47.6156047),Bayern,Schwaben,Ostallgäu,Landkreise
Campingplatz Bannwaldsee,47.5917545,10.7719246,POINT (10.7719246 47.5917545),Bayern,Schwaben,Ostallgäu,Landkreise
Naturcampingpark Isarhorn - Mittenwald,47.4727456,11.2762085,POINT (11.2762085 47.4727456),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise
Campingpark Oberammergau,47.5902338,11.0687273,POINT (11.0687273 47.5902338),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise
Alpen-Caravanpark Tennsee,47.4902778,11.2558333,POINT (11.2558333 47.4902778),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise
Camping Hopfensee,47.6013793,10.6835128,POINT (10.6835128 47.6013793),Bayern,Schwaben,Ostallgäu,Landkreise
Camping Walchensee,47.5832488,11.3105864,POINT (11.3105864 47.5832488),Bayern,Oberbayern,Bad Tölz-Wolfratshausen,Landkreise
Camping Resort Zugspitze,47.4774361,11.0520057,POINT (11.0520057 47.4774361),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise
Campingplatz Renken,47.6393226,11.354731,POINT (11.354731 47.6393226),Bayern,Oberbayern,Bad Tölz-Wolfratshausen,Landkreise
Camping - Erholungsverein Bayern e.V.,47.69927,12.1585465,POINT (12.1585465 47.69927),Bayern,Oberbayern,Rosenheim,Landkreise
Campingplatz Schliersee,47.7279212,11.8518891,POINT (11.8518891 47.7279212),Bayern,Oberbayern,Miesbach,Landkreise
Campingplatz Wallberg - Karl Mayr,47.68858700000001,11.74832,POINT (11.74832 47.68858700000001),Bayern,Oberbayern,Miesbach,Landkreise
Camping - Litzelau,47.71770240000001,12.4794655,POINT (12.4794655 47.71770240000001),Bayern,Oberbayern,Traunstein,Landkreise
Campingplatz Grafenlehen,47.59517,12.986622,POINT (12.986622 47.59517),Bayern,Oberbayern,Berchtesgadener Land,Landkreise
Camping-Resort Allweglehen,47.647338,13.039731,POINT (13.039731 47.647338),Bayern,Oberbayern,Berchtesgadener Land,Landkreise
Simonhof Campingplatz,47.6272489,12.870496,POINT (12.870496 47.6272489),Bayern,Oberbayern,Berchtesgadener Land,Landkreise
Reisemobilstellplatz Mobiler Alpengenuss,47.6479481,13.0396843,POINT (13.0396843 47.6479481),Bayern,Oberbayern,Berchtesgadener Land,Landkreise
Camping & Pension Mühlleiten,47.5998199,12.9889248,POINT (12.9889248 47.5998199),Bayern,Oberbayern,Berchtesgadener Land,Landkreise
