campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Camping Hochrhein,47.60478810000001,8.299681000000001,POINT (923916.2626666077 6041355.70464059),Baden-Württemberg,Freiburg,Waldshut,Landkreise,1443,84.72
Camping Gitzenweiler Hof,47.5849396,9.7062691,POINT (1080496.9337144857 6038079.269454488),Bayern,Schwaben,Lindau,Landkreise,3927,73.41
Campingplatz Fischbach,47.66931999999999,9.40394,POINT (1046841.8122504972 6052016.726406446),Baden-Württemberg,Tübingen,Bodensee,Landkreise,3927,44.7
Ravensburger Spieleland,47.7097296,9.5920036,POINT (1067776.956439247 6058699.325538417),Baden-Württemberg,Tübingen,Bodensee,Landkreise,3927,49.51
Rubi-Camp,47.42377,10.2784,POINT (1144186.254169583 6011520.527277112),Bayern,Schwaben,Oberallgäu,Landkreise,5792,78.64
Camping an der Iller,47.50597,10.2737,POINT (1143663.0525628547 6025055.874231694),Bayern,Schwaben,Oberallgäu,Landkreise,5792,80.39
RV park - Bad Hindelang,47.4995963,10.3723824,POINT (1154648.3270811127 6024005.6004912555),Bayern,Schwaben,Oberallgäu,Landkreise,5792,69.39
Alpsee Wellness Camping,47.57253,10.19316,POINT (1134697.3807743646 6036031.4208684135),Bayern,Schwaben,Oberallgäu,Landkreise,5792,91.59
Camping Zeh am See,47.63010740000001,10.2457163,POINT (1140547.921328343 6045537.021683572),Bayern,Schwaben,Oberallgäu,Landkreise,5792,89.2
Camping Brunnen,47.597439,10.7370703,POINT (1195245.198407581 6040142.4277787255),Bayern,Schwaben,Ostallgäu,Landkreise,5792,40.08
Jugendzeltplatz Falkencamp Schwangau,47.57391000000001,10.753671,POINT (1197093.1798783932 6036259.126306806),Bayern,Schwaben,Ostallgäu,Landkreise,5792,36.01
Camping Magdalena & Haus Sonnenlage,47.6156047,10.7234999,POINT (1193734.54838972 6043141.747766349),Bayern,Schwaben,Ostallgäu,Landkreise,5792,43.3
Campingplatz Bannwaldsee,47.5917545,10.7719246,POINT (1199125.1613355372 6039204.0797697),Bayern,Schwaben,Ostallgäu,Landkreise,5792,36.79
Naturcampingpark Isarhorn - Mittenwald,47.4727456,11.2762085,POINT (1255261.7882987831 6019582.476387937),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise,5792,33.54
Campingpark Oberammergau,47.5902338,11.0687273,POINT (1232165.086765606 6038953.073069884),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise,5792,29.41
Alpen-Caravanpark Tennsee,47.4902778,11.2558333,POINT (1252993.6314099722 6022470.304912284),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise,5792,32.26
Camping Hopfensee,47.6013793,10.6835128,POINT (1189283.2047794205 6040792.918188339),Bayern,Schwaben,Ostallgäu,Landkreise,5792,44.82
Camping Walchensee,47.5832488,11.3105864,POINT (1259088.7186213252 6037800.2228415925),Bayern,Oberbayern,Bad Tölz-Wolfratshausen,Landkreise,5792,45.06
Camping Resort Zugspitze,47.4774361,11.0520057,POINT (1230303.6467683571 6020354.980940973),Bayern,Oberbayern,Garmisch-Partenkirchen,Landkreise,5792,11.93
Campingplatz Renken,47.6393226,11.354731,POINT (1264002.873014598 6047059.354556885),Bayern,Oberbayern,Bad Tölz-Wolfratshausen,Landkreise,5792,54.69
Camping - Erholungsverein Bayern e.V.,47.69927,12.1585465,POINT (1353483.2051663387 6056969.108289343),Bayern,Oberbayern,Rosenheim,Landkreise,5792,138.49
Campingplatz Schliersee,47.7279212,11.8518891,POINT (1319346.2595503493 6061709.390349292),Bayern,Oberbayern,Miesbach,Landkreise,5792,109.0
Campingplatz Wallberg - Karl Mayr,47.68858700000001,11.74832,POINT (1307817.0000764318 6055202.2946992265),Bayern,Oberbayern,Miesbach,Landkreise,5792,95.77
Camping - Litzelau,47.71770240000001,12.4794655,POINT (1389207.7448322251 6060018.411890371),Bayern,Oberbayern,Traunstein,Landkreise,5792,173.44
Campingplatz Grafenlehen,47.59517,12.986622,POINT (1445664.1481647242 6039767.868693914),Bayern,Oberbayern,Berchtesgadener Land,Landkreise,5792,224.68
Camping-Resort Allweglehen,47.647338,13.039731,POINT (1451576.215001264 6048383.70119637),Bayern,Oberbayern,Berchtesgadener Land,Landkreise,5792,231.78
