"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2015","Weihnachten
2015/2016","Winter
2016","Ostern/Frühjahr
2016","Himmelfahrt/Pfingsten
2016","Sommer
2016"
Baden-Württemberg (4),02.11. - 06.11.,23.12. - 09.01.,-,29.03. - 02.04.,17.05. - 28.05.,28.07. - 10.09.
Bayern (),02.11. - 07.11.,24.12. - 05.01.,08.02. - 12.02.,21.03. - 01.04.,17.05. - 28.05.,30.07. - 12.09.
Berlin (-),19.10. - 31.10.,23.12. - 02.01.,01.02. - 06.02.,21.03. - 02.04.,06.05. und 17.05.,20./21.07. - 02.09.
Brandenburg (2),19.10. - 30.10.,23.12. - 02.01.,01.02. - 06.02.,23.03. - 02.04.,06.05. und 17.05.,21.07. - 03.09.
Bremen (1),19.10. - 31.10.,23.12. - 06.01.,28.01. - 29.01.,18.03. - 02.04.,17.05.,23.06. - 03.08.
Hamburg (-),19.10. - 30.10.,21.12. - 01.01.,29.01.,07.03. - 18.03.,"06.05. und
17.05. - 20.05.",21.07. - 31.08.
Hessen (),19.10. - 31.10.,23.12. - 09.01.,-,29.03. - 09.04.,-,18.07. - 26.08.
Mecklenburg-Vorpommern (3),24.10. - 30.10.,21.12. - 02.01.,01.02. - 13.02.,21.03. - 30.03.,14.05. - 17.05.,25.07. - 03.09.
Niedersachsen (-),19.10. - 31.10.,23.12. - 06.01.,28.01. - 29.01.,18.03. - 02.04.,06.05. / 17. 05.,23.06. - 03.08.
Nordrhein-Westfalen (4),05.10. - 17.10.,23.12. - 06.01.,-,21.03. - 02.04.,17.05.,11.07. - 23.08.
Rheinland-Pfalz (4),19.10. - 30.10.,23.12. - 08.01.,-,18.03. - 01.04.,nan,18.07. - 26.08.
Saarland (3),19.10. - 31.10.,21.12. - 02.01.,08.02. - 13.02.,29.03. - 09.04.,nan,18.07. - 27.08.
Sachsen (-),12.10. - 24.10.,21.12. - 02.01.,08.02. - 20.02.,25.03. - 02.04.,06.05.,27.06. - 05.08.
Sachsen-Anhalt (-),17.10. - 24.10.,21.12. - 05.01.,01.02. - 10.02.,24.03.,06.05. - 14.05.,27.06. - 10.08.
Schleswig-Holstein (1) 2,19.10. - 31.10.,21.12. - 06.01.,-,24.03. - 09.04.,06.05.,25.07. - 03.09.
Thüringen (),05. - 17.10.,23.12. - 02.01.,01.02. - 06.02.,24.03. - 02.04.,06.05.,27.06. - 10.08.
