Land 2) ,Sommer 2001,Herbst 2001,Weihnachten 2001/2002,Winter 2002,Ostern/Frühjahr 2002,Himmelfahrt/Pfingsten 2002,Sommer 2002
Baden-Württemberg (5),26.07. - 08.09.,29.10. - 02.11.,22.12. - 05.01.,__,25.03. - 05.04.,21.05. - 31.05.,25.07. - 07.09.
Bayern (2),26.07. - 10.09.,29.10. - 03.11.,24.12. - 05.01.,11.02. 3),25.03. - 06.04.,21.05. - 01.06.,01.08. - 16.09.
Berlin (-),19.07. - 01.09.,27.10. - 03.11.,22.12. - 05.01.,01.02. - 09.02.,23.03. - 06.04.,10.05.3)/18.05. - 21.05.,04.07. - 17.08.
Brandenburg (3),19.07. - 01.09.,29.10. - 03.11.,24.12. - 31.12.,04.02. - 16.02.,25.03. - 05.04.,21.05.3) /22.05. 3),04.07. - 17.08.
Bremen (2),28.06. - 11.08.,01.10. - 13.10.,24.12. - 05.01.,__,25.03. - 13.04.,-,20.06. - 31.07.
Hamburg (-),19.07. - 29.08.,15.10. - 27.10.,24.12. - 05.01.,01.02. 3),04.03. - 16.03.,10.05.3)/21. - 25.05.,04.07. - 14.08.
Hessen (3),21.06. - 03.08.,01.10. - 13.10.,24.12. - 11.01.,__,25.03. - 05.04.,-,27.06. - 09.08.
Mecklenburg-Vorpommern (3),19.07. - 29.08.,22.10. - 27.10.,19.12. - 02.01.,04.02. - 15.02.,25.03. - 03.04.,17.05. - 21.05.,04.07. - 14.08.
Niedersachsen (-),28.06. - 08.08.,01.10. - 13.10.,24.12. - 05.01.,28.01. - 29.01.,25.03.- 13.04.,10.05.3),20.06. - 31.07.
Nordrhein-Westfalen (4),05.07. - 18.08.,08.10. - 20.10.,24.12. - 05.01.,__,25.03. - 06.04.,21.05.,18.07. - 31.08.
Rheinland-Pfalz (4),28.06. - 10.08.,01.10. - 12.10.,21.12. - 04.01.,__,21.03. - 05.04.,-,04.07. - 16.08.
Saarland (-),21.06. - 01.08.,01.10. - 13.10.,21.12. - 05.01.,__ 3),25.03. - 10.04.,10.05. 3)/31.05. 3),27.06. - 07.08.
Sachsen (2),28.06. - 08.08.,08.10. - 19.10.,22.12. - 02.01.,11.02. - 23.02.,28.03. - 05.04.,18.05. - 21.05.,20.06. - 31.07.
Sachsen-Anhalt (1),28.06. - 08.08.,04.10. - 13.10.,20.12. - 05.01.,11.02. - 20.02.,02.04. - 10.04.,10.05. 3),20.06. - 31.07.
Schleswig-Holstein (3),19.07. – 01.09. 4),22.10. - 03.11. 4),24.12. - 05.01.,__,02.04. - 15.04.,_,04.07. - 14.08.
Thüringen (3),28.06. - 08.08.,15.10. - 20.10.,21.12. - 05.01.,04.02. - 09.02.,25.03. - 06.04.,17.05. - 21.05.,20.06. - 31.07.
