Land 2) ,"Herbst 
2003 ","Weihnachten 
2003/2004 ","Winter 
2004 ","Ostern/Frühjahr 
2004 ","Himmelf./Pfingsten 
2004 ","Sommer 
2004 "
Baden-Württemberg (5),31.10.3)/03.11. - 08.11.,22.12. - 05.01.,-,13.04. - 16.04.,24.05. - 05.06.,29.07. - 11.09.
Bayern (2),27.10. - 31.10.,24.12. - 07.01.,23.02. - 27.02.,05.04. - 17.04.,01.06. - 12.06.,02.08. - 13.09.
Berlin (-),06.10. - 18.10.,22.12. - 02.01.,02.02. - 07.02.,05.04. - 16.04.,21.053),24.06. - 07.08.
Brandenburg (2),06.10. - 18.10.,22.12. - 02.01.,02.02. - 07.02.,07.04. - 16.04.,21.05.3),24.06. - 07.08.
Bremen (1),13.10. - 25.10.,22.12. - 06.01.,02.02. - 03.02.,29.03. - 14.04.,01.06. 3),08.07. - 18.08.
Hamburg (-),06.10. - 18.10.,22.12. - 03.01. / 30.01. 3),-,08.03. - 20.03.,17.05. - 22.05.,24.06. - 04.08.
Hessen (3),20.10. - 01.11.,22.12. - 10.01.,-,05.04. - 17.04.,-,19.07. - 27.08.
Mecklenburg-Vorpommern (3),13.10. - 18.10.,22.12. - 03.01.,02.02. - 13.02.,05.04. - 14.04.,28.05. - 01.06.,26.06. - 06.08.
Niedersachsen (-),13.10. - 25.10.,22.12. - 06.01.,02.02. - 03.02.,29.03. - 14.04.,21.05. 3) / 01.06. 3),08.07. - 18.08.
Nordrhein-Westfalen (4),20.10. - 31.10.,22.12. - 06.01.,-,05.04. - 17.04.,-,22.07. - 04.09.
Rheinland-Pfalz (4),20.10. - 31.10.,22.12. - 07.01.,23.02.3) + 24.02.3),01.04. - 16.04.,21.05.3) / 11.06.3),19.07. - 27.08.
Saarland (-),13.10. - 25.10.,22.12. - 06.01.,23.02. 3) + 24.02. 3),05.04. - 20.03.,21.05. 3) / 11.06 3),19.07. - 28.08.
Sachsen (2),20.10. - 30.10.,22.12. - 03.01.,09.02. - 20.02.,08.04. - 16.04.,-,10.07. - 20.08.
Sachsen-Anhalt (3),04.10. - 10.10.,22.12. - 05.01.,12.02. - 21.02.,05.04. - 08.04.,21.05. - 28.05.,08.07. - 18.08.
Schleswig-Holstein (6),06.10. - 18.10. 4),22.12. - 03.01.,-,15.03. - 27.03.,-,28.06. - 07.08.
Thüringen (2),27.10. - 30.10.,22.12. - 03.01.,09.02. - 21.02.,05.04. - 16.04.,28.05. - 01.06.,08.07. - 18.08.
