Land ,Herbst 2005,Weihnachten 2005/2006,Winter 2006,Ostern/Frühjahr 2006,Himmelfahrt/Pfingsten 2006,Sommer 2006
Baden-Württemberg (5),02.11. - 04.11.,22.12. - 05.01.,-,18.04. - 22.04.,29.05. - 10.06.,03.08. - 16.09.
Bayern (-),31.10. - 05.11.,27.12. - 05.01.,27.02. - 03.03.,10.04. - 22.04.,06.06. - 17.06.,31.07. - 11.09.
Berlin (-),04.10. - 15.10.,22.12. - 03.01.,30.01. - 03.02.,10.04. - 22.04.,26.05.,05.07./06.07. - 18.08.
Brandenburg (2),04.10. - 15.10.,22.12. - 03.01.,30.01. - 03.02.,12.04. - 21.04.,26.05.,06.07. - 19.08.
Bremen (1),17.10. - 29.10.,23.12. - 06.01.,30.01. -31.01.,03.04. - 18.04.,06.06.,20.07. - 30.08.
Hamburg (-),04.10. - 15.10.,23.12. - 06.01.,-,06.03. - 18.03.,22.05. - 27.05.,06.07. - 16.08.
Hessen (3),17.10. - 28.10.,21.12. - 07.01.,-,10.04. - 22.04.,-,17.07. - 25.08.
Mecklenburg-Vorpommern (3),10.10. - 15.10.,23.12. - 03.01.,06.02. - 18.02.,10.04. - 19.04.,02.06. - 06.06.,10.07. - 19.08.
Niedersachsen (-),17.10. - 29.10. 3),23.12. - 06.01. 3),30.01. - 31.01. 3),03.04. - 18.04. 3),26.05. + 06.06. 3),20.07. - 30.08. 3)
Nordrhein-Westfalen (4),04.10. - 15.10.,24.12. - 06.01.,-,10.04. - 22.04.,06.06.,26.06. - 08.08.
Rheinland-Pfalz (4),24.10. - 04.11.,22.12. - 06.01.,-,07.04. - 21.04..,-,17.07. - 25.08.
Saarland (2),19.10. - 31.10.,23.12. - 07.01.,23.02. -01.03.,10.04. - 22.04.,-,17.07.- 26.08.
Sachsen (1),17.10. - 28.10.,23.12. - 02.01.,13.02. - 25.02.,13.04. - 21.04.,-,24.07. - 01.09.
Sachsen-Anhalt (1),17.10. - 22.10.,23.12. - 05.01.,01.02. . - 10.02.,10.04. - 13.04.,26.05. - 02.06.,20.07. - 30.08.
Schleswig-Holstein (5),04.10. - 15.10. 2),22.12. - 04.01.,-,03.04. - 18.04.,-,10.07. - 19.08. 2)
Thüringen (3),17.10. - 29.10.,23.12. - 02.01.,06.02. - 10.02.,10.04. - 21.04.,03.06. - 06.06.,20.07. - 30.08.
