"Land
(in Klammern Zahl der
beweglichen Ferientage)","Herbst
2008","Weihnachten
2008/2009","Winter
2009","Ostern/Frühjahr
2009","Himmelfahrt/Pfingsten
2009","Sommer
2009"
Baden-Württemberg (4),27.10 - 30.10.2,22.12 - 10.01.,-,14.04 -17.04. 2,25.05.-06.06.,30.07. - 12.09.
Bayern (-),03.11. - 07.11.,22.12. - 05.01.,23.02 - 28.02.,06.04. - 18.04.,02.06. - 13.06,03.08. - 14.09.
Berlin (-),20.10. - 31.10.,22.12. - 03.01.,02.02. - 07.02.,06.04. - 18.04.,22.05.,15.07./16.07. - 28.08.
Brandenburg (3),20.10. - 30.10.,22.12. - 03.01.,02.02. - 07.02.,08.04. - 17.04.,22.05.,16.07. - 29.08.
Bremen (1),13.10. - 25.10.,22.12. - 06.01.,02. + 03.02.,30.03. -14.04.,02.06.,25.06. - 05.08.
Hamburg (-),13.10. - 25.10.,22.12. - 02.01.,30.01.,09.03. - 21.03.,18.05. - 23.05.,16.07. - 26.08.
Hessen (3),06.10. - 18.10.,22.12. - 10.01.,-,06.04. - 18.04.,-,13.07. - 21.08.
Mecklenburg-Vorpommern (3),27.10. - 01.11.,22.12. - 03.01,09.02. - 20.02.,06.04. - 14.04.,02.06. - 06.06.,20.07. - 29.08.
Niedersachsen (-),13.10. - 25.10.,22.12. - 06.01.,02.02. + 03.02.,30.03. - 15.04.,22.05. / 02.06.,25.06. - 05.08. 3
Nordrhein-Westfalen (4),29.09. - 11.10.,22.12. - 06.01.,-,06.04. - 18.04.,02.06.,02.07. - 14.08.
Rheinland-Pfalz (4),06.10. - 17.10.,22.12. - 07.01.,-,01.04. - 17.04.,-,13.07. - 21.08.
Saarland (3),04.10. - 18.10.,19.12. - 03.01.,23.02. - 28.02.,06.04. - 18.04.,-,13.07. - 22.08.
Sachsen (1),20.10. - 30.10.,22.12. - 02.01.,09.02.- 21.02.,09.04. - 18.04.,22.05.,29.06. - 07.08.
Sachsen-Anhalt (1),13.10. - 17.10.,22.12. - 05.01.,02.02. - 10.02.,06.04. - 18.04.,22.05. - 29.05.,25.06. - 05.08.
Schleswig-Holstein (3),13.10. - 25.10. 4,22.12. - 07.01.,-,06.04. - 21.04.,-,20.07. - 29.08. 4
Thüringen (3),13.10. - 24.10.,20.12. - 03.01.,02.02. - 07.02.,06.04. - 17.04.,-,25.06. - 05.08.
