Land ,"Sommer 
1990 ","Herbst 
1990 ","Weihnachten 
1990/91 ","Winter 
1991 ","Ostern/Frühjahr 
1991 ","Himmelf./Pfingsten 
1991 "
Baden-Württemberg,19.07. - 01.09.,29.10. - 03.11. 1),24.12. - 05.01.,11.02. - 16.02.,02.04. - 06.04.1),21.05. - 31.05.
Bayern,26.07. - 10.09.,31.10. - 02.11.,21.12. - 07.01.,11.02. 3),25.03. - 06.04.,21.05. - 01.06.
Berlin,12.07. - 25.08.,27.10. - 03.11.,22.12. - 05.01.,--,16.03. - 06.04.,18.05. - 21.05.
Berlin Ost,--,15.10. - 19.10.,24.12. - 04.01.,11.02. - 22.02.,28.03. - 05.04.,17.05. - 22.05.
Brandenburg,--,15.10. - 19.10.,24.12. - 04.01.,25.02. - 08.03.,28.03. - 02.04.,16.05. - 21.05.
Bremen,12.07. - 22.08.,29.10. - 03.11.,24.12. - 05.01.,--,18.03. - 06.04.,21.05. - 25.05.
Hamburg,09.07. - 18.08.,15.10. - 27.10.,22.12. - 05.01.,--,18.03. - 02.04.,06.05. - 11.05.
Hessen,09.07. - 18.08.,08.10. - 20.10.,24.12. - 12.01.,--,23.03. - 13.04.,21.05. 4)
Mecklenburg-Vorpommern,--,15.10. - 19.10.,24.12. - 04.01.,11.02. - 22.02.,28.03. - 02.04.,17.05. - 22.05.
Niedersachsen,12.07. - 22.08.,24.10. - 03.11.,22.12. - 05.01.,--,16.03. - 06.04.,18.05. - 21.05.
Nordrhein-Westfalen,15.06. - 31.07.,08.10. - 13.10.,24.12. - 05.01.,--,25.03. - 13.04.,21.05.
Rheinland-Pfalz,28.06. - 08.08.,15.10. - 19.10.,22.12. - 10.01.,--,18.03. - 05.04.,21.05.
Saarland,28.06. - 11.08.,08.10. - 20.10.,22.12. - 05.01.,--,25.03. - 08.04.,--
Sachsen,--,15.10. - 19.10.,24.12. - 04.01.,25.02. - 08.03.,02.04. - 03.04.,17.05. - 22.05.
Sachsen-Anhalt,--,15.10. - 19.10.,24.12. - 04.01.,11.02. - 22.02.,02.04. - 03.04.,16.05. - 21.05.
Schleswig-Holstein,06.07. - 18.08.,15.10. - 27.10.,24.12. - 07.01.,--,25.03. - 09.04.,--
Thüringen,--,15.10. - 19.10.,24.12. - 04.01.,11.02. - 22.02.,28.03. - 02.04.,17.05. - 22.05.
