Land ,Sommer ,Unnamed: 2,Herbst ,Weihnachten ,Unnamed: 5,Winter ,Ostern/Frühjahr ,Himmelf./Pfingsten 
nan,1991,nan,1991,1991/92,nan,1992,1992,1992
Baden-Württemberg,11.07. -,24.08.,25.10. - 30.10. 1),23.12. - 04.01.,04.01.,02.03. - 06.03.,13.04. - 25.04.,01.06. - 05.06.
Bayern,25.07. -,09.09.,28.10. - 02.11.,23.12. - 04.01.,04.01.,--,13.04. - 25.04.,09.06. - 20.06.
Berlin,04.07. -,21.08.,26.10. - 02.11. 4),23.12. - 06.01.,06.01.,--,04.04. - 25.04.,06.06. - 09.06.
Berlin Ost,08.07. -,21.08.,nan,nan,nan,nan,nan,nan
Brandenburg,04.07. -,21.08.,21.10. - 25.10.,21.12. - 04.01.,04.01.,08.02. - 22.02.,11.04. - 20.04.,05.06. - 09.06.
Bremen,04.07. -,17.08.,14.10. - 19.10.,23.12. - 06.01.,06.01.,--,01.04. - 21.04.,--
Hamburg,01.07. -,10.08.,04.10. - 19.10.,23.12. - 04.01.,04.01.,--,"09.03. - 21.03. 2) 
16.04. - 21.04.",29.05.
Hessen,01.07. -,10.08.,07.10. - 18.10. 5),23.12. - 11.01.,11.01.,--,03.04. - 22.04.,--
"Mecklenburg-
Vorpommern",08.07. -,23.08.,21.10. - 25.10.,23.12. - 03.01.,03.01.,17.02. - 28.02.,15.04. - 21.04.,05.06. - 09.06.
Niedersachsen,04.07. -,14.08.,10.10. - 19.10.,21.12. - 06.01.,06.01.,--,01.04. - 21.04.,06.06. - 09.06.
Nordrhein-Westfalen,18.07. -,31.08.,21.10. - 26.10.,23.12. - 06.01.,06.01.,--,06.04. - 25.04.,09.06.
Rheinland-Pfalz,20.06. -,31.07.,21.10. - 26.10.,23.12. - 08.01.,08.01.,--,06.04. - 25.04.,09.06.
Saarland,18.06. -,31.07.,07.10. - 19.10. 5),23.12. - 06.01.,06.01.,02.03. - 03.03. 3),13.04. - 27.04.,--
Sachsen,08.07. -,23.08.,14.10. - 18.10.,23.12. - 03.01.,03.01.,20.02. - 28.02.,16.04. - 24.04.,04.06. - 09.06.
Sachsen-Anhalt,15.07. -,30.08.,21.10. - 25.10.,23.12. - 06.01.,06.01.,17.02. - 21.02.,13.04. - 21.04.,04.06. - 10.06.
Schleswig-Holstein,28.06. -,10.08.,14.10. - 26.10.,23.12. - 06.01.,06.01.,--,09.04. - 25.04.,--
Thüringen,15.07. -,30.08.,21.10. - 25.10.,23.12. - 03.01.,03.01.,10.02. - 21.02.,13.04. - 16.04.,05.06. - 09.06.
