Land 2) ,"Sommer 
1992 ","Herbst 
1992 ","Weihnachten 
1992/93 ","Winter 
1993 ","Ostern/Frühjahr 
1993 ","Himmelf./Pfingsten 
1993 "
Baden-Württemberg (1-5),02.07.-15.08.,26.-30.10./31.10. 3),23.12.-09.01.,nan,05.04.-17.04.,01.06.-04.06.
Bayern (2),30.07.-14.09.,02.11.-03.11.,23.12.-09.01.,nan,05.04.-17.04.,01.06.-12.06.
Berlin (-),26.06.-08.08.,02.10.-10.10.,23.12.-06.01.,30.01.-13.02.,03.04.-17.04.,nan
Brandenburg (3),27.06.-08.08.,03.10.-10.10.,23.12.-06.01.,11.02.-24.02.,09.04.-17.04.,29.05.-01.06.
Bremen (1),25.06.-08.08.,05.10.-13.10.,23.12.-06.01.,nan,29.03.-17.04.,nan
Hamburg (-),18.06.-01.08.,05.10.-17.10.,21.12.-02.01.,nan,08.-20.03./13.04.,17.05.-22.05./18.06.
Hessen (2),22.06.-31.07.,05.10.-16.10.,23.12.-08.01.,nan,05.04.-23.04.,nan
Mecklenburg-Vorpommern (3),13.07.-21.08.,12.10.-17.10.,23.12.-02.01.,15.02.-27.02.,07.04.-14.04.,28.05.-01.06.
Niedersachsen (1-2),25.06.-05.08.,28.09.-10.10.,23.12.-06.01.,nan,27.03.-17.04.,29.05.-01.06.
Nordrhein-Westfalen (4),16.07.-29.08.,19.10.-24.10.,23.12.-06.01.,nan,29.03.-17.04.,01.06.
Rheinland-Pfalz (4),23.07.-02.09. 4),19.10.-24.10. 5),23.12.-09.01.,nan,29.03.-16.04.,01.06.
Saarland (1),23.07.-05.09.,26.10.-31.10.,21.12.-06.01.,22.02.-23.02. 6),01.04.-19.04.,nan
Sachsen (2),06.07.-19.08.,15.10.-24.10.,23.12.-06.01.,15.02.-23.02.,08.04.-17.04.,28.05.-01.06.
Sachsen-Anhalt (-),20.07.-28.08.,19.10.-23.10.,22.12.-05.01.,15.02.-23.02.,06.04.-20.04.,26.05.-01.06.
Schleswig-Holstein (2-3),18.06.-01.08.,05.10.-17.10.,23.12.-07.01.,nan,05.04.-17.04.,nan
Thüringen (2-3),13.07.-21.08.,19.10.-24.10.,23.12.-02.01.,08.02.-13.02.,05.04.-17.04.,28.05.-01.06.
