Land 2) ,Sommer 1993,Herbst 1993,Weihnachten 1993/94,Winter 1994,Ostern/Frühjahr 1994,Himmelf./Pfingsten 1994
Baden-Württemberg (1-5),01.07.-14.08.,02.11.-05.11.,23.12.-07.01.,nan,28.03.-08.04.,13.05.-24.05.
Bayern (2),22.07.-06.09.,01.11. 3),23.12.-08.01.,14.02. 3),28.03.-09.04.,24.05.-04.06.
Berlin (-),24.06.-04.08.,02.10.-09.10.,23.12.-03.01.,29.01.-12.02.,26.03.-09.04.,21.05.-28.05.
Brandenburg (3),24.06.-07.08.,02.10.-09.10.,23.12.-04.01.,31.01.-12.02.,05.04.-11.04.,24.05.
Bremen (1),18.06.-31.07.,23.09.-02.10.,23.12.-08.01.,nan,21.03.-09.04.,24.05.-28.05.
Hamburg (-),05.07.-14.08.,11.10.-23.10.,23.12.-04.01.,nan,07.03.-19.03.,13.05.-23.05.
Hessen (2),26.07.-03.09.,25.10.-29.10.,23.12.-14.01.,nan,28.03.-15.04.,24.05.-25.05.
Mecklenburg-Vorpommern (3),01.07.-14.08.,04.10.-09.10.,23.12.-03.01.,14.02.-26.02.,30.03.-05.04.,20.05.-24.05.
Niedersachsen (1-2),18.06.-31.07.,24.09.-02.10.,23.12.-08.01.,nan,19.03.-09.04.,21.05.-24.05.
Nordrhein-Westfalen (4),08.07.-21.08.,11.10.-16.10.,24.12.-06.01.,nan,21.03.-09.04.,24.05.
Rheinland-Pfalz (4),15.07.-24.08.,18.10.-23.10.,23.12.-08.01.,nan,21.03.-09.04.,24.05.
Saarland (1),15.07.-28.08.,25.10.-30.10.,22.12.-05.01.,14.02.-15.02. 4),21.03.-11.04.,nan
Sachsen (2),15.07.-25.08.,18.10.-26.10.,23.12.-04.01.,14.02.-23.02.,31.03.-09.04.,19.05.-24.05.
Sachsen-Anhalt (-),15.07.-25.08.,18.10.-22.10.,23.12.-04.01.,17.02.-25.02.,29.03.-12.04.,20.05.-25.05.
Schleswig-Holstein (2-3),02.07.-14.08.,11.10.-23.10.,23.12.-08.01.,nan,28.03.-09.04.,nan
Thüringen (2-3),29.07.-11.09.,25.10.-30.10.,23.12.-05.01.,14.02.-19.02.,28.03.-09.04.,20.05.-24.05.
