Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
3631;Norderney;7.15;53.71;2;;18970901;18990430;Schneepegel;Schneehöhenmessung, manuell;eor;
3631;Norderney;7.15;53.71;2;;18990501;19340330;Schneepegel;Schneehöhenmessung, manuell;eor;
3631;Norderney;7.15;53.71;7;;19340331;19380331;Schneepegel;Schneehöhenmessung, manuell;eor;
3631;Norderney;7.15;53.7;4;;19380401;19470430;Schneepegel;Schneehöhenmessung, manuell;eor;
3631;Norderney;7.15;53.71;13.2;;19470501;19810831;Schneepegel;Schneehöhenmessung, manuell;eor;
3631;Norderney;7.15;53.71;11.47;;19810901;20150320;Schneepegel;Schneehöhenmessung, manuell;eor;
3631;Norderney;7.15;53.71;11.47;2;20100127;20100504;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3631;Norderney;7.15;53.71;11.47;2;20101001;20110430;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3631;Norderney;7.15;53.71;11.47;2;20111001;20120104;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3631;Norderney;7.15;53.71;11.47;2;20120125;20120424;Ultraschall-Schneehöhenmesser SR50-G1;Schneehöhenmessung, elektr.;eor;
3631;Norderney;7.15;53.71;11.47;2;20131001;20240328;Schneehöhensensor SHM 30;Schneehöhenmessung, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
