Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
5705;Würzburg;TGK;01.01.1947;02.04.2024;1;Gesamt_Messzeitraum;eor;                                                                                                                                      
5705;Würzburg;PM;01.01.1947;02.04.2024;4;Gesamt_Messzeitraum;eor;                                                                                                                                       
5705;Würzburg;FM;01.01.1947;02.04.2024;120;Gesamt_Messzeitraum;eor;                                                                                                                                     
5705;Würzburg;FX;01.01.1947;02.04.2024;135;Gesamt_Messzeitraum;eor;                                                                                                                                     
5705;Würzburg;UPM;01.01.1947;02.04.2024;4;Gesamt_Messzeitraum;eor;                                                                                                                                      
5705;Würzburg;VPM;01.01.1947;02.04.2024;4;Gesamt_Messzeitraum;eor;                                                                                                                                      
5705;Würzburg;NM;01.01.1947;02.04.2024;10;Gesamt_Messzeitraum;eor;                                                                                                                                      
5705;Würzburg;SDK;01.01.1947;02.04.2024;4;Gesamt_Messzeitraum;eor;                                                                                                                                      
5705;Würzburg;SHK_TAG;01.01.1947;02.04.2024;1111;Gesamt_Messzeitraum;eor;                                                                                                                               
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5705;Würzburg;TGK;09.06.1989;09.06.1989;1;;eor;                                                                                                                                                         
5705;Würzburg;PM;09.09.2019;10.09.2019;2;;eor;                                                                                                                                                          
5705;Würzburg;PM;03.07.2023;04.07.2023;2;;eor;                                                                                                                                                          
5705;Würzburg;FM;01.11.1992;11.11.1992;11;;eor;                                                                                                                                                         
5705;Würzburg;FM;09.12.1992;13.12.1992;5;;eor;                                                                                                                                                          
5705;Würzburg;FM;23.12.1992;30.12.1992;8;;eor;                                                                                                                                                          
5705;Würzburg;FM;27.01.1993;01.02.1993;6;;eor;                                                                                                                                                          
5705;Würzburg;FM;10.02.1993;24.02.1993;15;;eor;                                                                                                                                                         
