STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5717;19370101;-999;-999;-999;    5;   8.7;   1;-999;   0;   6.0;   7.5;    -999;    5.8;   82.00;    8.3;    1.6;-999;eor
       5717;19370102;-999;-999;-999;    5;  11.6;   1;-999;   0;   7.7;   7.7;    -999;    5.6;   86.00;    7.8;    4.1;-999;eor
       5717;19370103;-999;-999;-999;    5;   0.8;   1;-999;   0;   7.3;  10.3;    -999;    9.2;   89.00;   10.8;    6.1;-999;eor
       5717;19370104;-999;-999;-999;    5;   3.1;   1;-999;   0;   7.3;   9.6;    -999;    8.0;   88.00;   11.5;    6.7;-999;eor
       5717;19370105;-999;-999;-999;    5;   3.7;   8;-999;   0;   7.3;   7.5;    -999;    4.3;   88.00;    6.9;    1.7;-999;eor
       5717;19370106;-999;-999;-999;    5;  58.8;   8;-999;   0;   8.0;   8.4;    -999;    6.4;   91.00;    9.4;    2.0;-999;eor
       5717;19370107;-999;-999;-999;    5;   5.8;   1;-999;   0;   7.0;   7.7;    -999;    6.0;   82.00;    9.4;    5.2;-999;eor
       5717;19370108;-999;-999;-999;    5;   0.4;   1;-999;   0;   3.3;   6.8;    -999;    3.3;   84.00;    5.6;    1.4;-999;eor
       5717;19370109;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.3;   4.5;    -999;    0.6;   72.00;    4.0;   -1.8;-999;eor
       5717;19370110;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;   2.8;    -999;    2.0;   40.00;    4.9;   -1.7;-999;eor
       5717;19370111;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.3;   2.7;    -999;    4.3;   33.00;    6.7;    0.9;-999;eor
       5717;19370112;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.7;   3.9;    -999;    5.0;   44.00;    9.6;    3.5;-999;eor
       5717;19370113;-999;-999;-999;    5;   9.5;   1;-999;   0;   8.0;   4.3;    -999;    2.1;   60.00;    3.6;    1.6;-999;eor
       5717;19370114;-999;-999;-999;    5;   6.9;   1;-999;   0;   8.0;   6.9;    -999;    3.5;   90.00;    4.0;    1.5;-999;eor
       5717;19370115;-999;-999;-999;    5;   1.2;   1;-999;   0;   8.0;   7.9;    -999;    4.8;   91.00;    5.9;    3.4;-999;eor
       5717;19370116;-999;-999;-999;    5;   0.5;   1;-999;   0;   7.3;   6.9;    -999;    4.8;   82.00;    5.9;    3.1;-999;eor
       5717;19370117;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.3;   6.0;    -999;    3.0;   79.00;    6.0;    1.2;-999;eor
       5717;19370118;-999;-999;-999;    5;   5.3;   8;-999;   0;   6.7;   5.7;    -999;    2.9;   78.00;    4.4;    0.0;-999;eor
       5717;19370119;-999;-999;-999;    5;   6.5;   8;-999;   0;   7.7;   7.1;    -999;    4.4;   82.00;    6.7;    1.2;-999;eor
       5717;19370120;-999;-999;-999;    5;   3.4;   8;-999;   0;   6.7;   6.1;    -999;    2.4;   84.00;    4.1;    0.9;-999;eor
       5717;19370121;-999;-999;-999;    5;   0.0;   1;-999;   0;   7.0;   6.0;    -999;    5.0;   70.00;    6.0;    1.4;-999;eor
       5717;19370122;-999;-999;-999;    5;   0.1;   1;-999;   0;   6.7;   8.0;    -999;    9.4;   69.00;   10.5;    5.5;-999;eor
       5717;19370123;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   6.1;    -999;    8.2;   54.00;   13.0;    5.9;-999;eor
       5717;19370124;-999;-999;-999;    5;   0.2;   1;-999;   0;   5.0;   4.9;    -999;    5.0;   53.00;    8.8;    2.5;-999;eor
       5717;19370125;-999;-999;-999;    5;   1.6;   8;-999;   0;   8.0;   5.1;    -999;    0.6;   75.00;    4.6;   -1.8;-999;eor
       5717;19370126;-999;-999;-999;    5;   2.4;   8;-999;   0;   8.0;   5.9;    -999;    1.1;   90.00;    2.5;   -1.8;-999;eor
       5717;19370127;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.3;   5.3;    -999;    0.0;   84.00;    4.0;   -1.4;-999;eor
       5717;19370128;-999;-999;-999;    5;   2.5;   7;-999;   0;   8.0;   3.2;    -999;   -4.0;   68.00;   -0.5;   -5.4;-999;eor
       5717;19370129;-999;-999;-999;    5;   0.6;   7;-999;   3;   8.0;   2.7;    -999;   -6.2;   71.00;   -5.0;   -7.1;-999;eor
       5717;19370130;-999;-999;-999;    5;   6.8;   8;-999;   3;   7.3;   4.8;    -999;   -0.1;   82.00;    2.1;   -6.1;-999;eor
       5717;19370131;-999;-999;-999;    5;   3.0;   1;-999;   0;   4.3;   7.1;    -999;    6.4;   74.00;   10.0;    1.7;-999;eor
       5717;19370201;-999;-999;-999;    5;   0.1;   1;-999;   0;   7.0;   8.1;    -999;    7.4;   79.00;   10.0;    5.1;-999;eor
       5717;19370202;-999;-999;-999;    5;   0.5;   1;-999;   0;   4.7;   7.9;    -999;    6.6;   80.00;    9.6;    4.9;-999;eor
