MESS_DATUM,"FX","FM","RSK",RSKF,"SDK",SHK_TAG,"NM","VPM","PM","TMK","UPM","TXK","TNK","TGK"
1874-01-01,-999.0,-999.0,0.0,0,-999.0,0,8.0,7.3,987.2,3.8,91.0,-999.0,-999.0,-999.0
1874-01-02,-999.0,-999.0,4.2,1,-999.0,0,8.0,6.8,991.3,2.5,93.0,-999.0,-999.0,-999.0
1874-01-03,-999.0,-999.0,2.2,1,-999.0,0,8.0,6.5,979.9,5.5,71.0,-999.0,-999.0,-999.0
1874-01-04,-999.0,-999.0,1.1,7,-999.0,0,7.0,7.3,978.4,4.8,83.0,-999.0,-999.0,-999.0
1874-01-05,-999.0,-999.0,0.0,0,-999.0,0,7.0,6.2,986.2,2.1,87.0,-999.0,-999.0,-999.0
1874-01-06,-999.0,-999.0,0.0,0,-999.0,0,2.0,5.7,996.0,1.2,84.0,-999.0,-999.0,-999.0
1874-01-07,-999.0,-999.0,0.0,0,-999.0,0,8.0,4.4,991.9,-4.2,100.0,-999.0,-999.0,-999.0
1874-01-08,-999.0,-999.0,0.0,0,-999.0,0,3.3,4.1,988.5,-2.2,82.0,-999.0,-999.0,-999.0
1874-01-09,-999.0,-999.0,0.0,0,-999.0,0,2.0,4.4,988.8,-2.3,84.0,-999.0,-999.0,-999.0
1874-01-10,-999.0,-999.0,0.0,0,-999.0,0,2.3,4.8,989.1,-3.2,98.0,-999.0,-999.0,-999.0
1874-01-11,-999.0,-999.0,0.0,0,-999.0,0,7.3,5.5,983.9,-1.0,98.0,-999.0,-999.0,-999.0
1874-01-12,-999.0,-999.0,0.0,0,-999.0,0,6.7,6.7,984.4,3.5,86.0,-999.0,-999.0,-999.0
1874-01-13,-999.0,-999.0,0.0,0,-999.0,0,4.7,6.5,988.2,2.3,86.0,-999.0,-999.0,-999.0
1874-01-14,-999.0,-999.0,0.0,0,-999.0,0,8.0,7.3,988.4,5.5,82.0,-999.0,-999.0,-999.0
1874-01-15,-999.0,-999.0,0.0,0,-999.0,0,2.7,6.3,986.9,4.2,75.0,-999.0,-999.0,-999.0
1874-01-16,-999.0,-999.0,16.4,1,-999.0,0,4.7,7.7,978.3,4.7,90.0,-999.0,-999.0,-999.0
1874-01-17,-999.0,-999.0,0.0,0,-999.0,0,6.7,7.2,974.7,4.7,83.0,-999.0,-999.0,-999.0
1874-01-18,-999.0,-999.0,0.0,0,-999.0,0,3.3,5.5,983.4,1.0,83.0,-999.0,-999.0,-999.0
1874-01-19,-999.0,-999.0,0.0,0,-999.0,0,7.7,8.2,978.9,8.1,80.0,-999.0,-999.0,-999.0
1874-01-20,-999.0,-999.0,0.0,0,-999.0,0,6.0,9.4,986.2,10.6,74.0,-999.0,-999.0,-999.0
1874-01-21,-999.0,-999.0,0.0,0,-999.0,0,3.0,8.7,990.8,9.8,72.0,-999.0,-999.0,-999.0
1874-01-22,-999.0,-999.0,0.0,0,-999.0,0,8.0,7.5,996.5,2.8,100.0,-999.0,-999.0,-999.0
1874-01-23,-999.0,-999.0,0.0,0,-999.0,0,8.0,8.3,993.2,5.7,95.0,-999.0,-999.0,-999.0
1874-01-24,-999.0,-999.0,3.2,1,-999.0,0,8.0,8.3,991.6,7.5,80.0,-999.0,-999.0,-999.0
1874-01-25,-999.0,-999.0,0.0,0,-999.0,0,7.0,5.9,994.6,1.7,84.0,-999.0,-999.0,-999.0
1874-01-26,-999.0,-999.0,0.6,1,-999.0,0,0.7,4.7,998.6,0.0,76.0,-999.0,-999.0,-999.0
1874-01-27,-999.0,-999.0,0.0,0,-999.0,0,7.7,6.5,993.4,2.9,86.0,-999.0,-999.0,-999.0
1874-01-28,-999.0,-999.0,0.0,0,-999.0,0,3.7,6.1,992.1,1.7,84.0,-999.0,-999.0,-999.0
1874-01-29,-999.0,-999.0,0.6,1,-999.0,0,0.0,4.5,993.8,-0.1,75.0,-999.0,-999.0,-999.0
1874-01-30,-999.0,-999.0,1.4,1,-999.0,0,6.0,5.9,993.8,0.5,95.0,-999.0,-999.0,-999.0
1874-01-31,-999.0,-999.0,1.1,1,-999.0,0,3.7,5.9,994.3,2.5,81.0,-999.0,-999.0,-999.0
1874-02-01,-999.0,-999.0,0.0,0,-999.0,0,6.7,6.8,993.4,2.9,88.0,-999.0,-999.0,-999.0
1874-02-02,-999.0,-999.0,0.0,0,-999.0,0,4.7,6.1,991.7,1.7,87.0,-999.0,-999.0,-999.0
1874-02-03,-999.0,-999.0,0.0,0,-999.0,0,6.0,5.5,991.9,1.8,79.0,-999.0,-999.0,-999.0
1874-02-04,-999.0,-999.0,0.0,0,-999.0,0,2.7,5.7,996.7,3.2,75.0,-999.0,-999.0,-999.0
1874-02-05,-999.0,-999.0,0.0,0,-999.0,0,5.3,5.0,-999.0,-2.5,95.0,-999.0,-999.0,-999.0
1874-02-06,-999.0,-999.0,0.0,0,-999.0,0,5.3,4.4,996.4,-3.8,93.0,-999.0,-999.0,-999.0
1874-02-07,-999.0,-999.0,4.7,7,-999.0,0,2.7,5.2,989.8,0.3,86.0,-999.0,-999.0,-999.0
1874-02-08,-999.0,-999.0,0.0,0,-999.0,0,7.0,6.0,982.9,0.4,96.0,-999.0,-999.0,-999.0
1874-02-09,-999.0,-999.0,0.0,0,-999.0,0,5.3,4.3,987.8,-0.1,72.0,-999.0,-999.0,-999.0
1874-02-10,-999.0,-999.0,0.0,0,-999.0,0,4.0,3.7,992.6,-7.0,100.0,-999.0,-999.0,-999.0
1874-02-11,-999.0,-999.0,0.0,0,-999.0,0,0.0,3.0,995.4,-9.2,100.0,-999.0,-999.0,-999.0
1874-02-12,-999.0,-999.0,0.0,0,-999.0,0,0.0,4.0,993.5,-5.5,99.0,-999.0,-999.0,-999.0
1874-02-13,-999.0,-999.0,0.0,0,-999.0,0,5.3,7.0,992.5,2.5,96.0,-999.0,-999.0,-999.0
1874-02-14,-999.0,-999.0,0.0,0,-999.0,0,2.7,5.4,986.5,6.4,56.0,-999.0,-999.0,-999.0
1874-02-15,-999.0,-999.0,0.0,0,-999.0,0,6.7,5.8,-999.0,6.1,61.0,-999.0,-999.0,-999.0
1874-02-16,-999.0,-999.0,2.2,1,-999.0,0,8.0,7.2,-999.0,6.8,73.0,-999.0,-999.0,-999.0
1874-02-17,-999.0,-999.0,0.0,0,-999.0,0,5.7,8.1,-999.0,7.4,78.0,-999.0,-999.0,-999.0
1874-02-18,-999.0,-999.0,0.0,0,-999.0,0,6.3,6.5,-999.0,4.0,79.0,-999.0,-999.0,-999.0
1874-02-19,-999.0,-999.0,0.0,0,-999.0,0,6.3,6.4,978.2,2.6,86.0,-999.0,-999.0,-999.0
1874-02-20,-999.0,-999.0,0.0,0,-999.0,0,6.7,6.2,984.3,2.8,84.0,-999.0,-999.0,-999.0
1874-02-21,-999.0,-999.0,0.0,0,-999.0,0,2.0,5.0,982.9,1.4,77.0,-999.0,-999.0,-999.0
1874-02-22,-999.0,-999.0,0.0,0,-999.0,0,5.0,4.6,979.7,0.8,73.0,-999.0,-999.0,-999.0
1874-02-23,-999.0,-999.0,0.0,0,-999.0,0,6.0,5.4,981.1,1.5,82.0,-999.0,-999.0,-999.0
1874-02-24,-999.0,-999.0,2.5,1,-999.0,0,6.7,6.5,981.6,4.2,78.0,-999.0,-999.0,-999.0
1874-02-25,-999.0,-999.0,1.8,1,-999.0,0,8.0,7.0,980.6,2.5,93.0,-999.0,-999.0,-999.0
1874-02-26,-999.0,-999.0,0.0,0,-999.0,0,4.7,6.0,972.8,6.9,68.0,-999.0,-999.0,-999.0
1874-02-27,-999.0,-999.0,0.0,0,-999.0,0,7.3,6.8,969.6,8.8,59.0,-999.0,-999.0,-999.0
1874-02-28,-999.0,-999.0,-999.0,1,-999.0,0,-999.0,7.0,979.2,5.9,76.0,-999.0,-999.0,-999.0
1874-03-01,-999.0,-999.0,0.0,0,-999.0,0,8.0,8.6,986.2,6.6,88.0,-999.0,-999.0,-999.0
1874-03-02,-999.0,-999.0,0.0,0,-999.0,0,8.0,8.5,992.7,6.2,90.0,-999.0,-999.0,-999.0
