,MESS_DATUM,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
0,1936-01-01,,,0.1,1,,0.0,7.7,8.5,998.0,7.3,82.0,8.8,5.7,
1,1936-01-02,,,3.5,1,,0.0,7.0,8.1,992.8,6.7,82.0,9.1,5.3,
2,1936-01-03,,,0.8,1,,0.0,8.0,8.1,988.3,4.4,95.0,5.9,1.5,
3,1936-01-04,,,0.7,1,,0.0,7.7,8.0,1002.7,4.5,95.0,5.6,3.0,
4,1936-01-05,,,0.0,1,,0.0,3.3,6.8,1012.3,2.6,93.0,4.3,0.0,
5,1936-01-06,,,1.2,8,,0.0,6.3,6.1,1002.4,2.2,85.0,3.2,0.5,
6,1936-01-07,,,1.7,1,,0.0,7.3,7.3,1001.8,4.6,85.0,6.1,2.1,
7,1936-01-08,,,5.1,1,,0.0,7.3,8.4,1003.2,5.7,92.0,7.2,3.6,
8,1936-01-09,,,6.1,1,,0.0,7.7,9.3,1004.7,7.1,93.0,8.5,5.0,
9,1936-01-10,,,13.0,1,,0.0,7.0,10.7,996.4,10.8,81.0,11.9,7.6,
10,1936-01-11,,,13.8,1,,0.0,8.0,7.9,1004.4,4.6,87.0,10.2,1.6,
11,1936-01-12,,,0.0,0,,0.0,1.7,6.1,1015.4,2.5,83.0,5.0,0.8,
12,1936-01-13,,,3.8,8,,0.0,6.0,6.0,1012.2,1.4,87.0,4.5,0.0,
13,1936-01-14,,,1.2,7,,2.0,4.0,5.9,1012.6,0.8,91.0,3.5,-2.0,
14,1936-01-15,,,0.0,0,,1.0,3.3,5.6,1016.3,0.5,86.0,3.3,-1.2,
15,1936-01-16,,,0.0,0,,0.0,6.0,4.9,1007.1,0.1,82.0,1.0,-1.0,
16,1936-01-17,,,9.9,8,,0.0,8.0,6.0,986.0,0.4,94.0,2.5,-1.0,
17,1936-01-18,,,0.6,8,,3.0,7.0,5.6,991.5,0.0,92.0,1.3,-2.9,
18,1936-01-19,,,0.0,0,,7.0,3.3,5.3,998.3,-0.9,89.0,1.1,-3.0,
19,1936-01-20,,,1.0,1,,6.0,4.3,6.1,991.6,2.1,89.0,3.5,-2.5,
20,1936-01-21,,,5.5,1,,0.0,6.3,7.1,989.9,5.1,77.0,7.8,3.3,
21,1936-01-22,,,1.2,1,,0.0,6.0,6.5,994.6,2.4,89.0,3.6,1.4,
22,1936-01-23,,,3.4,8,,0.0,7.7,6.5,998.6,2.2,94.0,3.5,-0.1,
23,1936-01-24,,,0.1,1,,0.0,7.3,6.8,1003.9,2.4,92.0,4.0,1.3,
24,1936-01-25,,,0.0,0,,0.0,6.7,6.4,1001.5,2.1,89.0,3.3,0.0,
25,1936-01-26,,,0.0,0,,0.0,7.3,7.5,997.2,4.2,93.0,6.4,1.4,
26,1936-01-27,,,0.1,1,,0.0,8.0,7.9,999.8,4.8,91.0,5.7,3.2,
27,1936-01-28,,,3.2,1,,0.0,8.0,8.1,1000.0,5.2,93.0,7.1,1.7,
28,1936-01-29,,,0.6,1,,0.0,7.7,8.9,994.8,6.7,91.0,8.5,5.0,
29,1936-01-30,,,0.2,1,,0.0,5.7,8.0,1002.0,5.5,87.0,7.3,3.7,
30,1936-01-31,,,5.8,1,,0.0,7.3,7.7,991.8,4.6,90.0,6.3,2.5,
31,1936-02-01,,,4.7,1,,0.0,7.3,8.5,987.6,6.1,91.0,7.1,4.8,
32,1936-02-02,,,9.0,1,,0.0,8.0,8.5,978.7,5.1,96.0,6.2,4.0,
33,1936-02-03,,,2.9,8,,0.0,7.7,6.8,988.3,2.7,91.0,4.4,1.0,
34,1936-02-04,,,5.0,7,,0.0,4.0,6.0,1004.8,1.7,87.0,5.3,0.0,
35,1936-02-05,,,0.5,1,,0.0,1.7,5.5,1017.1,-0.8,92.0,2.8,-2.1,
36,1936-02-06,,,0.0,0,,0.0,3.0,4.5,1029.6,-2.0,83.0,1.5,-3.7,
37,1936-02-07,,,0.0,0,,0.0,0.3,3.6,1034.2,-2.3,72.0,1.2,-5.6,
38,1936-02-08,,,0.0,0,,0.0,4.0,4.4,1026.4,-2.2,85.0,2.0,-8.0,
39,1936-02-09,,,0.0,1,,0.0,6.7,4.9,1015.4,-0.9,83.0,2.2,-3.2,
40,1936-02-10,,,0.0,0,,0.0,2.0,2.7,1022.6,-6.6,69.0,-2.5,-8.5,
41,1936-02-11,,,0.0,7,,0.0,7.0,3.5,1013.9,-3.8,76.0,-1.8,-8.4,
42,1936-02-12,,,1.7,1,,0.0,7.7,6.5,1011.4,2.3,90.0,3.6,0.0,
43,1936-02-13,,,0.3,1,,0.0,6.7,6.5,1014.3,2.6,87.0,4.7,1.3,
44,1936-02-14,,,0.0,0,,0.0,5.0,4.7,1014.0,0.4,71.0,3.6,-1.0,
45,1936-02-15,,,10.8,1,,0.0,7.7,3.7,1005.4,-1.6,71.0,-0.2,-3.2,
46,1936-02-16,,,3.2,1,,0.0,8.0,6.5,995.6,1.6,97.0,3.0,-1.5,
47,1936-02-17,,,0.1,1,,0.0,8.0,6.8,1000.4,1.8,97.0,2.5,1.2,
48,1936-02-18,,,7.8,1,,0.0,8.0,6.9,1001.4,2.6,94.0,3.2,1.2,
49,1936-02-19,,,1.7,1,,0.0,8.0,7.1,999.0,2.5,96.0,3.1,1.5,
50,1936-02-20,,,8.7,1,,0.0,8.0,5.9,1007.2,-0.2,96.0,2.7,-0.9,
51,1936-02-21,,,0.0,7,,0.0,8.0,4.4,1014.4,-3.8,91.0,-0.9,-4.8,
52,1936-02-22,,,1.0,1,,0.0,5.0,3.7,1006.0,-4.2,83.0,-1.8,-6.4,
53,1936-02-23,,,0.5,8,,0.0,8.0,5.2,998.8,-1.2,92.0,-0.1,-4.1,
54,1936-02-24,,,1.1,7,,0.0,8.0,5.9,1003.0,0.6,93.0,1.3,-1.1,
55,1936-02-25,,,3.5,7,,1.0,8.0,5.3,1010.7,-1.0,93.0,1.2,-1.5,
56,1936-02-26,,,0.0,0,,8.0,8.0,4.9,1011.6,-1.4,90.0,-0.6,-2.4,
57,1936-02-27,,,0.0,7,,4.0,7.7,5.6,1004.7,1.0,86.0,2.4,-1.2,
58,1936-02-28,,,11.9,8,,0.0,6.7,6.0,991.0,1.3,90.0,1.8,0.0,
59,1936-02-29,,,0.3,1,,4.0,5.3,6.0,982.7,1.6,88.0,3.7,0.3,
60,1936-03-01,,,0.0,0,,2.0,3.3,6.5,991.0,3.0,82.0,7.6,0.3,
61,1936-03-02,,,0.0,0,,0.0,4.3,6.4,999.5,2.3,87.0,7.5,-0.8,
62,1936-03-03,,,0.2,1,,0.0,7.7,6.5,1007.5,1.4,97.0,2.7,-0.4,
63,1936-03-04,,,0.1,1,,0.0,8.0,6.8,1011.0,2.4,93.0,4.5,0.6,
64,1936-03-05,,,0.1,1,,0.0,8.0,6.9,1007.5,2.4,96.0,3.4,1.6,
65,1936-03-06,,,1.0,1,,0.0,8.0,7.2,1008.2,2.6,96.0,4.5,1.0,
66,1936-03-07,,,0.0,1,,0.0,8.0,6.5,1015.9,2.2,92.0,3.1,1.1,
67,1936-03-08,,,0.4,1,,0.0,8.0,6.1,1017.8,1.2,94.0,2.4,-1.1,
68,1936-03-09,,,0.2,1,,0.0,7.7,6.7,1012.2,1.8,93.0,5.2,0.6,
69,1936-03-10,,,2.4,1,,0.0,8.0,6.5,1012.0,2.3,90.0,5.0,-0.8,
70,1936-03-11,,,0.0,0,,0.0,8.0,6.1,1007.1,1.6,90.0,2.6,0.6,
71,1936-03-12,,,0.0,1,,0.0,7.3,5.2,1011.4,0.8,79.0,4.3,-0.8,
72,1936-03-13,,,0.0,1,,0.0,8.0,5.3,1013.4,0.3,85.0,1.4,-1.0,
73,1936-03-14,,,0.0,0,,0.0,6.0,5.5,1017.1,0.9,84.0,2.3,-0.5,
74,1936-03-15,,,1.0,1,,0.0,8.0,5.7,1014.7,1.9,80.0,4.0,-1.0,
75,1936-03-16,,,0.0,0,,0.0,2.7,5.3,1015.0,1.4,78.0,5.8,-0.9,
76,1936-03-17,,,0.2,1,,0.0,7.0,6.4,1021.0,4.0,81.0,6.5,-2.0,
77,1936-03-18,,,0.0,0,,0.0,7.7,8.0,1021.6,7.5,78.0,10.5,3.4,
78,1936-03-19,,,0.0,0,,0.0,3.0,7.6,1019.0,8.2,70.0,14.0,4.0,
79,1936-03-20,,,0.0,0,,0.0,1.3,6.7,1017.5,9.4,61.0,16.5,1.9,
