MESS_DATUM,"FX","FM","RSK",RSKF,"SDK",SHK_TAG,"NM"," VPM","PM","TMK","UPM","TXK","TNK","TGK"
1858-03-01,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,3.7,1009.6,-1.9,71.0,-999.0,-999.0,-999.0
1858-03-02,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,3.5,1015.8,-3.2,71.0,-999.0,-999.0,-999.0
1858-03-03,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,2.9,1015.8,-4.1,68.0,-999.0,-999.0,-999.0
1858-03-04,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,3.3,1008.8,-4.0,75.0,-999.0,-999.0,-999.0
1858-03-05,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,3.5,996.2,-3.9,79.0,-999.0,-999.0,-999.0
1858-03-06,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.5,970.6,0.6,88.0,-999.0,-999.0,-999.0
1858-03-07,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.6,976.5,-0.2,93.0,-999.0,-999.0,-999.0
1858-03-08,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.2,980.1,-1.6,98.0,-999.0,-999.0,-999.0
1858-03-09,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.7,991.3,0.6,90.0,-999.0,-999.0,-999.0
1858-03-10,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.7,1000.8,0.8,89.0,-999.0,-999.0,-999.0
1858-03-11,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.3,1010.5,0.6,85.0,-999.0,-999.0,-999.0
1858-03-12,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.3,1012.2,1.4,95.0,-999.0,-999.0,-999.0
1858-03-13,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.9,995.5,0.3,96.0,-999.0,-999.0,-999.0
1858-03-14,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.5,994.5,1.5,95.0,-999.0,-999.0,-999.0
1858-03-15,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.7,1005.2,1.9,96.0,-999.0,-999.0,-999.0
1858-03-16,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.9,1011.8,2.4,97.0,-999.0,-999.0,-999.0
1858-03-17,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.7,1017.8,2.8,91.0,-999.0,-999.0,-999.0
1858-03-18,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.1,1018.5,3.3,92.0,-999.0,-999.0,-999.0
1858-03-19,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.9,1024.8,2.8,93.0,-999.0,-999.0,-999.0
1858-03-20,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.1,1031.9,3.5,91.0,-999.0,-999.0,-999.0
1858-03-21,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.3,1031.2,3.8,91.0,-999.0,-999.0,-999.0
1858-03-22,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.5,1032.2,4.4,92.0,-999.0,-999.0,-999.0
1858-03-23,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.7,1028.3,4.6,91.0,-999.0,-999.0,-999.0
1858-03-24,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.7,1015.5,4.7,91.0,-999.0,-999.0,-999.0
1858-03-25,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.3,1018.1,3.2,68.0,-999.0,-999.0,-999.0
1858-03-26,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.7,1015.5,4.1,84.0,-999.0,-999.0,-999.0
1858-03-27,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.5,1019.4,3.1,84.0,-999.0,-999.0,-999.0
1858-03-28,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.1,1021.2,3.0,81.0,-999.0,-999.0,-999.0
1858-03-29,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.6,1014.9,5.5,84.0,-999.0,-999.0,-999.0
1858-03-30,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.7,1007.0,6.2,82.0,-999.0,-999.0,-999.0
1858-03-31,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,9.2,996.0,9.3,81.0,-999.0,-999.0,-999.0
1858-04-01,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.1,993.2,4.4,93.0,-999.0,-999.0,-999.0
1858-04-02,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.3,1009.1,3.4,80.0,-999.0,-999.0,-999.0
1858-04-03,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.6,1002.0,6.2,82.0,-999.0,-999.0,-999.0
1858-04-04,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.4,1011.0,4.5,77.0,-999.0,-999.0,-999.0
1858-04-05,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.7,1019.1,3.9,70.0,-999.0,-999.0,-999.0
1858-04-06,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,4.4,1016.6,2.7,61.0,-999.0,-999.0,-999.0
1858-04-07,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,3.7,1017.0,2.6,51.0,-999.0,-999.0,-999.0
1858-04-08,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,4.3,1011.7,2.3,60.0,-999.0,-999.0,-999.0
1858-04-09,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,4.1,1014.8,2.0,61.0,-999.0,-999.0,-999.0
1858-04-10,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.1,1013.5,2.4,71.0,-999.0,-999.0,-999.0
1858-04-11,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.6,1008.0,1.9,77.0,-999.0,-999.0,-999.0
1858-04-12,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,4.3,1007.9,1.7,63.0,-999.0,-999.0,-999.0
1858-04-13,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.1,1015.3,2.8,69.0,-999.0,-999.0,-999.0
1858-04-14,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.1,1026.7,3.7,78.0,-999.0,-999.0,-999.0
1858-04-15,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.9,1024.5,8.3,60.0,-999.0,-999.0,-999.0
1858-04-16,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.0,1016.3,9.6,66.0,-999.0,-999.0,-999.0
1858-04-17,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.3,1014.3,4.8,96.0,-999.0,-999.0,-999.0
1858-04-18,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.6,1023.7,4.0,95.0,-999.0,-999.0,-999.0
1858-04-19,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.5,1021.6,7.3,68.0,-999.0,-999.0,-999.0
1858-04-20,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.8,1018.3,8.6,79.0,-999.0,-999.0,-999.0
1858-04-21,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.8,1023.4,7.7,86.0,-999.0,-999.0,-999.0
1858-04-22,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.0,1031.0,5.5,90.0,-999.0,-999.0,-999.0
1858-04-23,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,5.3,1028.1,7.1,55.0,-999.0,-999.0,-999.0
1858-04-24,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.1,1016.5,8.1,75.0,-999.0,-999.0,-999.0
1858-04-25,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,9.2,1017.5,6.0,95.0,-999.0,-999.0,-999.0
1858-04-26,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.4,1016.1,5.1,97.0,-999.0,-999.0,-999.0
1858-04-27,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.1,1014.6,6.7,85.0,-999.0,-999.0,-999.0
1858-04-28,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.8,1014.8,6.1,93.0,-999.0,-999.0,-999.0
1858-04-29,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.9,1003.0,7.6,87.0,-999.0,-999.0,-999.0
1858-04-30,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,9.9,986.7,8.2,90.0,-999.0,-999.0,-999.0
1858-05-01,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.9,992.2,6.8,80.0,-999.0,-999.0,-999.0
1858-05-02,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.5,996.5,7.9,81.0,-999.0,-999.0,-999.0
1858-05-03,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.7,998.3,8.0,80.0,-999.0,-999.0,-999.0
1858-05-04,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.7,1005.4,7.3,85.0,-999.0,-999.0,-999.0
1858-05-05,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,9.3,1014.5,7.9,87.0,-999.0,-999.0,-999.0
1858-05-06,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,6.4,1024.4,6.7,65.0,-999.0,-999.0,-999.0
1858-05-07,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.6,1027.6,6.2,79.0,-999.0,-999.0,-999.0
1858-05-08,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.9,1025.7,6.4,82.0,-999.0,-999.0,-999.0
1858-05-09,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,8.4,1022.0,8.2,80.0,-999.0,-999.0,-999.0
1858-05-10,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,9.2,1020.5,10.0,74.0,-999.0,-999.0,-999.0
1858-05-11,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,10.4,1011.0,9.7,86.0,-999.0,-999.0,-999.0
1858-05-12,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.7,1003.1,7.7,75.0,-999.0,-999.0,-999.0
1858-05-13,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,10.1,1006.6,8.9,90.0,-999.0,-999.0,-999.0
1858-05-14,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,10.7,1007.8,10.5,85.0,-999.0,-999.0,-999.0
1858-05-15,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,12.9,1002.4,13.7,84.0,-999.0,-999.0,-999.0
1858-05-16,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,12.0,1007.0,12.8,81.0,-999.0,-999.0,-999.0
1858-05-17,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,11.9,1017.1,13.6,78.0,-999.0,-999.0,-999.0
1858-05-18,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,13.6,1013.6,13.9,86.0,-999.0,-999.0,-999.0
1858-05-19,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,10.3,1009.4,11.3,77.0,-999.0,-999.0,-999.0
1858-05-20,-999.0,-999.0,-999.0,-999,-999.0,-999,-999.0,7.5,1016.1,8.7,65.0,-999.0,-999.0,-999.0
