,MESS_DATUM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,TMK,UPM,TXK,TNK,TGK
0,1947-01-01,0.0,0,2.0,6,6.3,5.9,0.2,93.0,3.7,-3.9,-999.0
1,1947-01-02,0.1,7,0.0,3,7.7,5.6,0.2,90.0,1.8,-3.5,-999.0
2,1947-01-03,0.0,0,0.0,3,6.0,6.0,0.9,90.0,2.7,-1.0,-999.0
3,1947-01-04,0.0,0,4.7,2,3.7,3.7,-4.7,81.0,1.5,-8.4,-999.0
4,1947-01-05,0.0,0,6.6,1,0.0,2.0,-10.6,70.0,-4.5,-12.2,-999.0
5,1947-01-06,0.0,0,6.6,1,0.7,1.7,-11.0,67.0,-7.5,-16.2,-999.0
6,1947-01-07,1.6,7,0.0,1,8.0,2.3,-9.9,80.0,-9.0,-11.6,-999.0
7,1947-01-08,1.3,8,0.0,3,8.0,3.5,-5.5,88.0,-3.5,-10.0,-999.0
8,1947-01-09,3.1,1,0.0,3,7.7,6.0,0.4,96.0,2.3,-5.1,-999.0
9,1947-01-10,1.0,1,3.2,2,5.7,6.7,2.4,92.0,4.8,-0.2,-999.0
10,1947-01-11,10.3,8,0.0,1,8.0,6.8,2.7,95.0,4.7,-0.1,-999.0
11,1947-01-12,1.1,1,1.7,0,4.0,7.9,5.5,84.0,8.5,2.7,-999.0
12,1947-01-13,9.9,1,0.3,0,6.7,8.8,6.6,88.0,8.7,4.2,-999.0
13,1947-01-14,6.9,1,0.5,0,7.0,7.2,4.7,85.0,6.0,2.9,-999.0
14,1947-01-15,0.0,1,0.4,0,5.0,8.5,4.6,91.0,10.0,0.5,-999.0
15,1947-01-16,0.0,0,7.2,0,0.7,6.5,1.7,90.0,8.8,-1.7,-999.0
16,1947-01-17,0.5,1,3.3,0,5.7,7.2,5.2,81.0,11.2,-1.4,-999.0
17,1947-01-18,0.1,1,2.8,0,1.0,6.3,2.8,81.0,6.3,-1.0,-999.0
18,1947-01-19,0.0,0,0.0,0,5.3,6.3,1.2,91.0,4.0,-1.0,-999.0
19,1947-01-20,0.0,0,0.0,0,5.3,5.1,-2.5,99.0,-0.4,-4.8,-999.0
20,1947-01-21,0.6,7,6.0,0,5.3,4.3,-0.4,73.0,2.7,-4.1,-999.0
21,1947-01-22,0.1,7,4.1,1,6.7,3.5,-3.2,71.0,-0.2,-5.3,-999.0
22,1947-01-23,0.1,7,1.2,1,6.7,3.5,-4.0,77.0,-2.2,-5.5,-999.0
23,1947-01-24,0.0,1,4.1,1,5.3,2.9,-5.9,75.0,-4.0,-8.2,-999.0
24,1947-01-25,0.0,0,7.5,1,0.3,2.5,-7.5,74.0,-4.2,-10.8,-999.0
25,1947-01-26,0.0,1,0.0,0,4.7,2.4,-7.8,70.0,-4.5,-10.2,-999.0
