,MESS_DATUM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM, TMK, UPM, TXK, TNK, TGK
0,1958-01-01,0.0,0,-999.0,0,4.3,-999.0,-0.6,-999.0,2.6,-2.2,-999.0
1,1958-01-02,0.0,0,-999.0,0,5.0,-999.0,-0.6,-999.0,3.8,-5.3,-999.0
2,1958-01-03,0.0,0,-999.0,0,5.3,-999.0,-2.4,-999.0,0.0,-4.1,-999.0
3,1958-01-04,0.0,0,-999.0,0,8.0,-999.0,-4.4,-999.0,-3.1,-6.4,-999.0
4,1958-01-05,7.3,1,-999.0,0,7.3,-999.0,2.6,-999.0,5.0,-4.6,-999.0
5,1958-01-06,23.1,8,-999.0,0,8.0,-999.0,3.7,-999.0,6.3,0.4,-999.0
6,1958-01-07,2.8,8,-999.0,0,6.7,-999.0,0.8,-999.0,7.5,-0.9,-999.0
7,1958-01-08,6.1,7,-999.0,4,8.0,-999.0,-0.4,-999.0,0.2,-1.6,-999.0
8,1958-01-09,0.0,0,-999.0,10,8.0,-999.0,-0.1,-999.0,0.0,-1.6,-999.0
9,1958-01-10,0.0,0,-999.0,10,7.0,-999.0,-1.0,-999.0,0.5,-2.5,-999.0
10,1958-01-11,4.0,8,-999.0,10,6.0,-999.0,1.2,-999.0,2.4,-3.6,-999.0
11,1958-01-12,0.0,0,-999.0,8,8.0,-999.0,-1.0,-999.0,2.2,-3.6,-999.0
12,1958-01-13,0.0,0,-999.0,11,8.0,-999.0,-0.6,-999.0,0.0,-1.9,-999.0
13,1958-01-14,0.0,0,-999.0,6,8.0,-999.0,-0.5,-999.0,0.0,-2.1,-999.0
14,1958-01-15,0.0,0,-999.0,6,8.0,-999.0,-0.6,-999.0,-0.2,-1.3,-999.0
15,1958-01-16,0.0,0,-999.0,4,8.0,-999.0,-2.6,-999.0,-0.8,-3.3,-999.0
16,1958-01-17,0.0,0,-999.0,3,8.0,-999.0,-1.9,-999.0,-0.3,-4.4,-999.0
17,1958-01-18,0.0,0,-999.0,4,8.0,-999.0,-0.5,-999.0,0.0,-2.5,-999.0
18,1958-01-19,17.8,8,-999.0,3,8.0,-999.0,0.6,-999.0,2.4,-0.7,-999.0
19,1958-01-20,0.0,0,-999.0,5,4.7,-999.0,-3.8,-999.0,0.8,-5.9,-999.0
20,1958-01-21,0.0,0,-999.0,8,3.7,-999.0,-6.6,-999.0,-4.1,-10.6,-999.0
21,1958-01-22,0.0,0,-999.0,8,6.0,-999.0,-5.0,-999.0,-1.3,-12.9,-999.0
22,1958-01-23,2.9,7,-999.0,6,8.0,-999.0,-5.0,-999.0,-3.1,-5.8,-999.0
23,1958-01-24,1.2,7,-999.0,9,8.0,-999.0,-5.0,-999.0,-3.3,-10.3,-999.0
24,1958-01-25,0.0,0,-999.0,11,8.0,-999.0,-8.2,-999.0,-2.9,-11.3,-999.0
25,1958-01-26,0.0,0,-999.0,11,6.7,-999.0,-5.2,-999.0,-2.3,-12.4,-999.0
26,1958-01-27,0.0,0,-999.0,9,6.7,-999.0,-3.0,-999.0,1.8,-5.9,-999.0
27,1958-01-28,0.0,0,-999.0,7,5.3,-999.0,-8.0,-999.0,-3.6,-12.6,-999.0
28,1958-01-29,0.0,0,-999.0,0,2.7,-999.0,-7.1,-999.0,0.4,-13.1,-999.0
29,1958-01-30,0.0,0,-999.0,16,5.7,-999.0,-7.2,-999.0,-0.5,-11.5,-999.0
30,1958-01-31,0.0,0,-999.0,16,8.0,-999.0,-5.8,-999.0,-2.0,-10.6,-999.0
31,1958-02-01,0.0,0,-999.0,16,8.0,3.6,-5.8,87.0,-4.1,-7.3,-999.0
32,1958-02-02,0.0,0,-999.0,16,4.0,3.7,-6.0,90.0,-1.1,-11.3,-999.0
33,1958-02-03,0.0,0,-999.0,16,5.3,4.4,-2.8,89.0,0.0,-10.3,-999.0
34,1958-02-04,0.0,0,-999.0,16,8.0,4.0,-3.4,87.0,-1.6,-11.6,-999.0
35,1958-02-05,1.9,8,-999.0,16,8.0,5.3,3.8,69.0,5.5,-2.6,-999.0
36,1958-02-06,14.7,8,-999.0,13,8.0,6.7,2.4,95.0,5.0,-0.1,-999.0
37,1958-02-07,16.9,8,-999.0,10,8.0,4.9,-0.2,88.0,2.5,-3.4,-999.0
38,1958-02-08,5.2,1,-999.0,8,8.0,8.4,5.8,92.0,7.0,1.9,-999.0
39,1958-02-09,0.0,0,-999.0,0,3.3,8.5,5.6,87.0,10.3,3.2,-999.0
40,1958-02-10,0.0,0,-999.0,0,4.7,7.5,5.0,83.0,11.5,1.2,-999.0
41,1958-02-11,2.3,1,-999.0,0,5.3,7.9,5.4,87.0,10.5,0.4,-999.0
42,1958-02-12,0.0,0,-999.0,0,3.3,7.3,7.8,72.0,11.5,3.4,-999.0
43,1958-02-13,0.0,0,-999.0,0,4.0,8.4,10.6,64.0,16.0,6.7,-999.0
44,1958-02-14,0.6,1,-999.0,0,4.3,10.4,10.5,80.0,14.5,8.4,-999.0
45,1958-02-15,0.0,0,-999.0,0,6.3,9.7,11.5,73.0,15.0,6.7,-999.0
46,1958-02-16,2.4,1,-999.0,0,8.0,10.9,10.0,88.0,13.0,7.4,-999.0
47,1958-02-17,13.2,8,-999.0,0,8.0,7.6,2.5,90.0,9.8,-1.4,-999.0
48,1958-02-18,2.1,7,-999.0,2,5.3,3.9,-4.0,84.0,-0.6,-6.6,-999.0
49,1958-02-19,0.0,7,-999.0,3,2.7,3.5,-4.9,83.0,-2.7,-7.4,-999.0
50,1958-02-20,2.1,8,-999.0,5,8.0,4.9,-1.6,92.0,-0.4,-5.4,-999.0
51,1958-02-21,4.4,8,-999.0,4,8.0,6.3,1.5,94.0,2.4,-0.7,-999.0
52,1958-02-22,1.9,8,-999.0,5,4.0,4.3,-2.8,78.0,1.0,-6.9,-999.0
53,1958-02-23,8.7,1,-999.0,5,8.0,5.6,0.1,95.0,2.5,-7.4,-999.0
54,1958-02-24,2.6,8,-999.0,0,5.3,7.6,4.8,89.0,6.0,0.4,-999.0
55,1958-02-25,0.0,0,-999.0,0,6.0,6.5,5.6,72.0,11.0,3.4,-999.0
56,1958-02-26,0.9,7,-999.0,0,8.0,4.1,-2.0,74.0,5.5,-3.6,-999.0
57,1958-02-27,12.5,7,-999.0,5,6.7,3.1,-7.4,85.0,-3.5,-8.4,-999.0
58,1958-02-28,0.0,0,-999.0,0,1.3,2.8,-7.2,79.0,-1.0,-12.9,-999.0
59,1958-03-01,0.0,0,-999.0,3,2.7,3.1,-6.2,82.0,-2.5,-11.9,-999.0
60,1958-03-02,1.7,7,-999.0,3,8.0,4.1,-2.8,83.0,-1.0,-7.9,-999.0
61,1958-03-03,0.0,0,-999.0,3,8.0,5.6,-0.6,95.0,0.5,-2.7,-999.0
62,1958-03-04,0.0,0,-999.0,3,5.0,4.7,-1.1,83.0,2.0,-2.9,-999.0
63,1958-03-05,0.0,0,-999.0,2,0.0,5.1,1.1,79.0,5.5,-6.4,-999.0
64,1958-03-06,1.7,8,-999.0,0,8.0,6.0,1.4,86.0,5.5,-6.4,-999.0
65,1958-03-07,1.0,7,-999.0,1,5.3,4.7,-1.1,82.0,3.0,-3.3,-999.0
66,1958-03-08,4.0,7,-999.0,1,7.7,4.1,-3.4,86.0,-1.9,-5.9,-999.0
67,1958-03-09,0.0,7,-999.0,2,4.7,3.6,-4.6,80.0,-1.4,-6.4,-999.0
68,1958-03-10,0.0,0,-999.0,2,4.0,3.1,-6.4,80.0,-1.9,-10.9,-999.0
69,1958-03-11,0.0,7,-999.0,1,8.0,3.3,-5.4,83.0,-3.4,-9.9,-999.0
70,1958-03-12,0.4,7,-999.0,1,5.3,3.5,-5.5,85.0,-2.9,-9.4,-999.0
71,1958-03-13,6.7,8,-999.0,25,8.0,4.9,-0.8,87.0,1.5,-10.4,-999.0
72,1958-03-14,0.0,0,-999.0,2,7.3,5.5,-0.3,89.0,1.5,-1.9,-999.0
73,1958-03-15,0.0,0,-999.0,1,2.7,4.4,-2.8,83.0,3.0,-4.4,-999.0
74,1958-03-16,0.0,0,-999.0,1,1.3,3.7,-1.8,68.0,3.5,-8.9,-999.0
75,1958-03-17,0.0,0,-999.0,0,1.7,4.0,-3.2,79.0,1.5,-7.4,-999.0
76,1958-03-18,0.0,0,-999.0,0,8.0,4.0,-2.8,83.0,-0.9,-6.9,-999.0
77,1958-03-19,0.0,0,-999.0,0,4.0,5.3,0.7,84.0,5.0,-5.9,-999.0
78,1958-03-20,0.0,0,-999.0,0,4.7,4.4,-1.6,78.0,2.0,-3.9,-999.0
79,1958-03-21,0.0,7,-999.0,0,5.3,3.5,-5.4,84.0,-3.4,-5.9,-999.0
80,1958-03-22,0.0,0,-999.0,0,3.3,2.9,-6.6,79.0,-2.4,-9.9,-999.0
81,1958-03-23,0.0,7,-999.0,0,2.3,2.9,-6.6,79.0,-2.9,-10.9,-999.0
82,1958-03-24,0.0,0,-999.0,0,1.0,3.5,-2.1,68.0,5.5,-9.9,-999.0
83,1958-03-25,0.0,0,-999.0,0,6.0,5.5,3.0,71.0,12.0,-6.4,-999.0
84,1958-03-26,0.0,0,-999.0,0,8.0,7.9,5.8,83.0,12.0,-5.9,-999.0
85,1958-03-27,1.0,1,-999.0,0,7.3,8.1,6.2,84.0,13.5,-1.4,-999.0
86,1958-03-28,0.0,0,-999.0,0,7.3,7.9,7.8,76.0,14.0,-1.4,-999.0
87,1958-03-29,0.0,0,-999.0,0,5.3,8.0,8.8,71.0,15.0,1.4,-999.0
88,1958-03-30,0.0,0,-999.0,0,3.3,8.7,6.8,85.0,15.0,1.4,-999.0
89,1958-03-31,0.0,0,-999.0,0,8.0,7.3,2.3,98.0,5.5,0.9,-999.0
90,1958-04-01,0.0,0,-999.0,0,5.0,5.6,0.4,87.0,5.0,-2.4,-999.0
91,1958-04-02,0.0,0,-999.0,0,0.3,5.1,1.8,73.0,8.5,-4.9,-999.0
92,1958-04-03,0.0,0,-999.0,0,7.7,6.8,7.4,68.0,15.0,-3.4,-999.0
93,1958-04-04,0.0,0,-999.0,0,4.7,6.9,7.1,70.0,14.0,2.9,-999.0
94,1958-04-05,1.6,8,-999.0,0,8.0,6.7,2.0,91.0,7.5,0.4,-999.0
95,1958-04-06,2.5,8,-999.0,0,8.0,6.3,1.4,92.0,3.5,-0.4,-999.0
96,1958-04-07,4.4,8,-999.0,0,8.0,6.1,1.0,92.0,2.5,0.0,-999.0
97,1958-04-08,0.3,7,-999.0,0,7.3,5.2,0.2,83.0,3.0,-2.4,-999.0
98,1958-04-09,1.1,7,-999.0,2,7.0,5.5,0.2,87.0,2.6,-2.4,-999.0
99,1958-04-10,1.0,7,-999.0,5,6.7,4.9,-1.3,88.0,1.5,-3.4,-999.0
100,1958-04-11,0.6,7,-999.0,0,6.3,4.8,-1.5,89.0,0.5,-4.4,-999.0
101,1958-04-12,0.0,0,-999.0,0,5.0,5.7,0.8,88.0,4.0,-2.4,-999.0
102,1958-04-13,0.0,0,-999.0,0,5.3,6.8,4.6,82.0,8.5,-2.9,-999.0
103,1958-04-14,0.0,0,-999.0,0,4.0,8.0,6.5,82.0,13.0,0.9,-999.0
104,1958-04-15,7.2,1,-999.0,0,8.0,7.6,4.4,92.0,7.5,0.9,-999.0
105,1958-04-16,25.9,8,-999.0,0,8.0,6.8,1.2,98.0,5.0,-0.1,-999.0
106,1958-04-17,0.0,0,-999.0,10,4.7,5.1,0.0,80.0,4.0,-1.2,-999.0
107,1958-04-18,0.0,0,-999.0,0,4.0,4.8,1.4,73.0,6.0,-2.9,-999.0
108,1958-04-19,0.0,0,-999.0,0,5.3,7.6,6.4,80.0,11.0,0.7,-999.0
109,1958-04-20,0.0,0,-999.0,0,0.7,8.1,9.9,68.0,15.0,1.4,-999.0
110,1958-04-21,0.0,0,-999.0,0,3.3,8.9,10.7,70.0,17.0,4.4,-999.0
111,1958-04-22,3.8,1,-999.0,0,6.3,7.9,7.3,75.0,14.5,3.4,-999.0
112,1958-04-23,0.0,0,-999.0,0,5.0,6.8,3.9,81.0,9.0,1.9,-999.0
113,1958-04-24,0.0,0,-999.0,0,0.0,7.6,6.2,79.0,14.0,-0.9,-999.0
114,1958-04-25,1.2,1,-999.0,0,4.7,7.9,7.2,75.0,14.5,0.9,-999.0
115,1958-04-26,0.5,1,-999.0,0,6.0,7.2,7.6,70.0,11.0,1.9,-999.0
