MESS_DATUM,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
1948-01-01,,,5.7,8.0,,4.0,5.0,4.9,1010.7,-1.8,89.0,0.8,-5.0,-4.7
1948-01-02,,,3.3,1.0,,8.0,8.0,7.9,999.7,4.4,95.0,6.8,-2.7,-2.5
1948-01-03,,,4.0,1.0,,0.0,5.3,9.8,1001.7,8.5,86.0,10.6,5.2,4.6
1948-01-04,,,0.2,1.0,,0.0,8.0,10.2,999.8,10.2,83.0,11.5,6.6,4.7
1948-01-05,,,2.0,1.0,,0.0,7.7,9.8,987.8,10.5,78.0,12.0,8.0,5.9
1948-01-06,,,0.0,0.0,,0.0,4.7,6.0,993.6,3.3,75.0,10.8,1.8,2.9
1948-01-07,,,1.5,1.0,,0.0,8.0,6.9,980.9,2.9,96.0,5.2,-0.9,-2.0
1948-01-08,,,7.8,8.0,,0.0,5.3,7.3,978.4,6.2,74.0,9.5,4.7,4.0
1948-01-09,,,2.1,7.0,,0.0,6.0,5.5,997.5,0.4,86.0,4.7,-0.2,-2.2
1948-01-10,,,8.4,8.0,,0.0,7.3,6.1,992.5,0.7,92.0,3.0,-1.2,-3.0
1948-01-11,,,0.0,7.0,,1.0,5.0,3.8,1011.3,-3.0,79.0,-0.1,-4.9,-6.1
1948-01-12,,,8.5,1.0,,1.0,7.0,6.8,1000.4,3.8,85.0,7.0,-2.8,-4.0
1948-01-13,,,33.4,1.0,,0.0,8.0,10.3,988.1,9.3,92.0,11.4,4.2,4.1
1948-01-14,,,3.8,1.0,,0.0,7.3,7.5,991.8,5.7,80.0,11.9,4.2,4.8
1948-01-15,,,0.4,8.0,,0.0,8.0,5.7,997.4,0.5,87.0,4.6,-0.9,1.0
1948-01-16,,,0.7,7.0,,1.0,8.0,4.1,1003.3,-1.7,74.0,0.2,-2.3,-3.2
1948-01-17,,,0.0,0.0,,1.0,7.0,4.4,1005.0,-2.8,90.0,-1.6,-4.7,-5.7
1948-01-18,,,3.9,7.0,,2.0,4.7,5.6,991.6,0.7,88.0,2.5,-2.5,-5.0
1948-01-19,,,0.0,0.0,,0.0,2.7,5.7,988.9,0.0,92.0,2.7,-0.7,-3.6
