MESS_DATUM,QN_4, RSK,RSKF, SDK,SHK_TAG,  NM, VPM, TMK, UPM, TXK, TNK, TGK
1961-01-01,5,0.0,0,-999.0,4,7.7,6.3,1.3,93.0,2.0,0.7,-0.1
1961-01-02,5,8.6,1,-999.0,4,7.3,5.9,2.0,82.0,2.5,0.6,-0.2
1961-01-03,5,1.3,1,-999.0,2,7.3,6.5,2.6,86.0,6.5,0.8,0.5
1961-01-04,5,1.2,8,-999.0,2,7.3,6.1,1.4,92.0,2.9,-2.0,-3.2
1961-01-05,5,1.4,8,-999.0,0,6.0,5.9,2.0,82.0,3.4,1.0,-0.7
1961-01-06,5,2.3,8,-999.0,0,7.0,5.9,1.2,89.0,2.2,0.2,-1.5
1961-01-07,5,3.1,8,-999.0,0,8.0,6.3,1.6,92.0,2.5,1.0,0.5
1961-01-08,5,0.9,8,-999.0,0,8.0,6.5,2.7,90.0,3.8,0.8,-1.0
1961-01-09,5,3.5,1,-999.0,0,7.3,6.7,1.9,92.0,3.8,0.6,-2.0
1961-01-10,5,6.2,8,-999.0,0,8.0,6.4,2.5,88.0,4.0,0.6,-1.2
1961-01-11,5,0.0,1,-999.0,0,4.3,5.3,-2.0,93.0,2.2,-4.5,0.0
1961-01-12,5,0.0,0,-999.0,0,0.7,4.3,-4.8,94.0,0.2,-6.8,-7.5
1961-01-13,5,6.5,8,-999.0,0,7.3,4.7,-0.6,81.0,1.0,-7.3,-7.7
1961-01-14,5,3.0,7,-999.0,6,8.0,5.9,0.4,94.0,1.2,-1.7,-0.9
1961-01-15,5,0.0,1,-999.0,9,7.0,4.7,-2.4,89.0,1.0,-3.3,-4.3
1961-01-16,5,0.0,7,-999.0,8,5.3,3.7,-5.4,88.0,-2.4,-6.2,-8.1
1961-01-17,5,0.0,0,-999.0,7,4.7,4.1,-4.0,89.0,-2.2,-6.1,-6.2
1961-01-18,5,0.0,0,-999.0,7,2.7,2.1,-11.8,76.0,-4.8,-15.5,-12.0
1961-01-19,5,0.0,0,-999.0,7,0.3,1.9,-10.8,68.0,-3.8,-16.2,-15.4
1961-01-20,5,0.2,7,-999.0,6,7.3,3.1,-5.8,80.0,-3.2,-13.5,-14.0
1961-01-21,5,4.2,7,-999.0,7,8.0,5.6,-0.1,95.0,0.7,-3.9,-8.7
1961-01-22,5,0.4,7,-999.0,8,8.0,6.3,1.0,93.0,1.7,0.4,-3.6
1961-01-23,5,1.2,7,-999.0,6,8.0,5.7,-0.2,94.0,0.6,-1.0,-0.5
1961-01-24,5,2.2,7,-999.0,6,8.0,3.5,-6.1,89.0,-0.3,-6.7,-3.0
1961-01-25,5,0.0,7,-999.0,10,8.0,2.8,-8.3,83.0,-6.3,-9.5,-6.4
1961-01-26,5,0.0,0,-999.0,9,3.3,2.0,-12.0,78.0,-7.2,-14.1,-11.5
1961-01-27,5,0.5,1,-999.0,8,5.3,2.5,-9.1,79.0,-3.6,-18.7,-19.8
1961-01-28,5,0.0,1,-999.0,8,7.3,4.4,-2.5,89.0,-1.0,-7.1,-9.2
1961-01-29,5,2.6,1,-999.0,5,8.0,6.7,3.9,84.0,4.6,-1.2,-1.4
1961-01-30,5,13.8,1,-999.0,0,8.0,7.9,5.1,91.0,5.6,3.8,2.5
1961-01-31,5,5.3,1,-999.0,0,5.0,7.6,3.7,90.0,6.4,1.2,1.9
1961-02-01,5,0.0,1,-999.0,0,7.7,6.4,3.4,82.0,3.9,0.5,-0.9
1961-02-02,5,4.2,8,-999.0,0,8.0,6.0,1.1,91.0,3.0,0.7,-1.0
1961-02-03,5,0.4,7,-999.0,1,7.7,5.7,0.6,90.0,2.0,-1.4,-3.1
1961-02-04,5,5.4,8,-999.0,2,8.0,5.9,0.8,91.0,1.5,-1.0,-2.5
1961-02-05,5,1.7,8,-999.0,4,6.7,5.1,0.1,83.0,2.0,-1.2,-2.2
1961-02-06,5,1.2,1,-999.0,2,8.0,7.3,4.0,93.0,6.5,0.0,-0.5
1961-02-07,5,4.9,1,-999.0,0,8.0,6.9,3.2,89.0,5.5,2.6,0.5
1961-02-08,5,5.8,1,-999.0,0,8.0,7.1,4.4,86.0,5.6,0.8,-1.7
1961-02-09,5,6.1,1,-999.0,0,8.0,8.7,6.8,84.0,9.9,4.8,4.2
1961-02-10,5,0.0,0,-999.0,0,7.7,6.7,4.4,79.0,6.4,3.8,2.0
1961-02-11,5,7.9,1,-999.0,0,8.0,7.7,4.9,92.0,6.2,1.0,-1.1
1961-02-12,5,1.2,1,-999.0,0,8.0,6.9,4.5,80.0,7.0,3.1,2.9
1961-02-13,5,0.7,1,-999.0,0,8.0,8.3,5.4,92.0,7.4,1.8,0.5
1961-02-14,5,0.0,0,-999.0,0,3.0,7.1,3.0,88.0,11.3,-1.2,-2.3
1961-02-15,5,0.0,0,-999.0,0,3.3,7.1,3.2,87.0,12.7,-1.5,-2.5
1961-02-16,5,0.0,0,-999.0,0,5.3,7.5,3.4,91.0,10.3,-0.6,-2.0
1961-02-17,5,0.0,0,-999.0,0,8.0,6.7,1.7,96.0,6.1,-0.7,-0.3
1961-02-18,5,2.1,1,-999.0,0,8.0,7.1,2.8,95.0,4.0,0.5,0.6
1961-02-19,5,0.4,1,-999.0,0,6.0,8.4,6.1,89.0,9.1,2.5,2.4
1961-02-20,5,0.0,0,-999.0,0,3.7,6.5,2.4,86.0,10.3,-0.6,-2.2
1961-02-21,5,0.0,0,-999.0,0,6.7,6.7,4.5,82.0,6.8,-2.0,-3.0
1961-02-22,5,0.0,0,-999.0,0,2.0,6.3,3.6,77.0,10.6,-1.8,-3.4
1961-02-23,5,0.0,0,-999.0,0,2.7,6.4,2.6,86.0,7.5,-1.4,-3.2
1961-02-24,5,0.0,0,-999.0,0,6.3,7.6,6.5,77.0,13.4,1.7,-1.5
1961-02-25,5,0.0,0,-999.0,0,1.3,5.9,4.8,71.0,14.4,-0.1,-2.4
1961-02-26,5,0.0,0,-999.0,0,3.3,8.1,6.6,82.0,13.9,0.5,-1.5
