,MESS_DATUM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
0,1940-01-01,0.0,0,5.8,6,1.0,4.0,1013.4,-4.2,85.0,1.6,-5.7,-7.5
1,1940-01-02,0.0,0,5.4,6,2.3,2.7,1009.5,-7.0,76.0,-3.2,-11.9,-12.6
2,1940-01-03,0.0,0,4.0,6,1.7,2.9,999.2,-5.1,71.0,-0.8,-10.3,-12.5
3,1940-01-04,0.0,0,5.5,6,0.7,3.5,998.4,-5.9,85.0,-2.6,-8.4,-9.4
4,1940-01-05,0.0,0,4.9,6,4.3,3.3,1002.3,-5.2,80.0,-1.2,-9.4,-10.9
5,1940-01-06,0.0,0,6.7,6,2.0,4.1,1008.0,-2.1,77.0,2.8,-6.9,-8.9
6,1940-01-07,0.2,1,3.7,6,3.7,4.4,1009.2,-0.6,78.0,1.9,-5.2,-8.9
7,1940-01-08,0.4,1,0.0,5,8.0,5.1,1009.4,-0.8,84.0,1.0,-2.3,-2.9
8,1940-01-09,0.0,0,6.0,4,0.3,2.9,1023.4,-6.4,75.0,-2.0,-7.7,-7.2
9,1940-01-10,0.0,0,6.3,4,0.0,2.1,1028.7,-9.2,71.0,-6.0,-12.4,-13.3
10,1940-01-11,0.0,0,6.8,4,0.0,1.7,1026.2,-9.2,57.0,-5.4,-11.9,-13.1
11,1940-01-12,0.0,0,6.6,4,0.3,2.3,1023.4,-7.0,62.0,-2.3,-12.7,-13.7
12,1940-01-13,0.0,0,0.0,4,4.0,3.1,1023.2,-6.3,82.0,-4.5,-9.9,-11.6
13,1940-01-14,0.2,1,0.0,4,8.0,5.3,1016.4,-0.4,90.0,0.4,-7.4,-10.1
14,1940-01-15,3.3,7,0.0,2,8.0,5.9,1001.4,0.7,91.0,1.8,-0.4,-0.8
15,1940-01-16,4.5,7,0.0,5,8.0,4.3,990.0,-5.6,90.0,0.6,-9.7,-0.2
16,1940-01-17,1.8,7,6.7,11,1.7,1.7,1003.5,-10.8,66.0,-9.7,-13.9,-9.1
17,1940-01-18,0.0,0,3.9,12,3.7,1.9,1006.3,-9.4,62.0,-7.6,-11.9,-14.5
18,1940-01-19,0.1,7,7.3,12,0.7,1.7,1010.2,-11.0,64.0,-7.0,-12.5,-13.1
19,1940-01-20,18.7,7,0.0,10,8.0,3.1,1002.4,-6.8,85.0,-5.5,-14.1,-14.9
20,1940-01-21,0.1,7,4.3,28,5.7,2.5,993.6,-10.1,83.0,-5.5,-12.4,-6.7
21,1940-01-22,1.1,7,0.0,28,6.7,1.6,997.8,-14.9,83.0,-7.4,-16.9,-16.1
22,1940-01-23,0.9,7,0.0,20,8.0,4.1,1006.2,-3.0,86.0,0.8,-15.2,-16.1
23,1940-01-24,0.0,0,1.4,20,6.0,4.1,1014.6,-4.1,87.0,0.8,-6.2,-5.3
24,1940-01-25,0.0,1,2.3,20,6.0,3.1,1012.2,-7.7,86.0,-2.0,-11.4,-11.4
25,1940-01-26,3.2,7,0.0,20,8.0,3.7,1009.9,-1.1,67.0,-0.3,-9.7,-10.7
26,1940-01-27,0.0,0,4.1,22,4.0,4.0,1005.6,-4.0,86.0,-0.5,-5.6,-2.5
27,1940-01-28,0.0,1,4.7,21,3.3,3.9,1010.6,-3.9,84.0,-2.5,-7.4,-8.4
28,1940-01-29,0.0,1,1.8,19,5.0,3.5,1009.1,-5.7,84.0,-3.2,-8.2,-9.1
29,1940-01-30,0.0,0,2.9,18,6.7,2.8,1001.2,-6.2,72.0,-3.5,-8.9,-10.1
30,1940-01-31,0.0,1,0.0,17,7.3,3.6,991.6,-4.0,81.0,-2.2,-7.8,-8.0
31,1940-02-01,6.2,7,0.0,17,8.0,3.6,987.1,-5.1,85.0,-3.2,-5.9,-5.2
32,1940-02-02,0.6,7,0.0,25,8.0,4.1,996.6,-3.8,90.0,-3.0,-7.2,-5.9
33,1940-02-03,0.0,0,0.0,25,7.3,5.2,999.5,0.2,87.0,1.3,-3.3,-2.9
34,1940-02-04,0.5,1,0.1,20,6.7,5.1,994.4,1.1,80.0,3.7,-4.4,-7.7
35,1940-02-05,0.9,1,0.0,11,8.0,8.4,1000.0,5.6,92.0,6.7,2.1,-0.1
36,1940-02-06,0.3,1,0.0,0,8.0,8.0,1006.6,4.6,95.0,5.2,3.4,1.5
37,1940-02-07,4.1,1,0.0,0,7.7,7.7,1001.5,5.6,87.0,6.4,3.1,0.5
38,1940-02-08,1.7,1,0.0,0,8.0,7.5,999.4,2.4,95.0,7.4,-0.7,3.1
39,1940-02-09,0.1,8,0.0,0,8.0,4.0,1002.0,-3.5,84.0,-0.4,-4.6,-2.5
40,1940-02-10,0.0,0,7.8,0,0.3,2.4,1007.8,-7.5,70.0,-4.6,-10.1,-10.3
41,1940-02-11,0.5,7,0.2,0,7.3,2.7,1004.2,-5.2,63.0,-2.0,-9.9,-10.8
42,1940-02-12,1.1,7,4.3,1,6.7,2.0,1007.5,-11.3,78.0,-6.3,-14.2,-14.3
43,1940-02-13,0.7,7,0.0,3,8.0,1.9,1008.4,-12.4,79.0,-11.0,-15.4,-16.7
44,1940-02-14,4.6,7,0.0,4,8.0,2.8,1001.0,-8.5,86.0,-5.7,-13.7,-14.5
45,1940-02-15,1.7,7,0.0,10,8.0,3.5,1002.2,-6.0,88.0,-3.5,-8.6,-7.9
46,1940-02-16,1.9,8,0.2,14,7.7,4.5,1001.9,-1.7,85.0,-0.6,-6.6,-6.9
47,1940-02-17,0.0,0,2.7,15,3.7,3.2,988.8,-4.6,73.0,-2.5,-6.5,-9.8
48,1940-02-18,1.8,7,1.5,15,7.7,3.1,1003.8,-4.6,75.0,-0.5,-12.1,-15.1
49,1940-02-19,0.6,7,0.2,17,7.0,4.4,998.3,-2.1,82.0,-0.3,-3.9,-4.3
50,1940-02-20,0.0,0,7.3,13,3.7,2.3,1016.3,-1.3,50.0,3.4,-10.4,-12.1
51,1940-02-21,0.0,0,8.8,11,3.0,2.1,1013.9,4.0,27.0,7.2,-0.4,-5.1
52,1940-02-22,0.0,0,8.0,8,3.7,6.0,1006.3,7.7,56.0,11.5,2.6,-1.9
53,1940-02-23,4.8,1,4.8,0,4.7,9.2,1001.9,9.8,75.0,12.8,6.6,3.1
54,1940-02-24,0.1,1,1.7,0,7.7,8.7,998.8,7.6,81.0,9.5,6.6,6.1
55,1940-02-25,0.0,0,7.4,0,2.0,5.7,1008.4,3.0,76.0,7.4,0.8,-0.9
56,1940-02-26,0.0,0,3.2,0,5.7,6.8,1004.0,5.3,77.0,9.1,-0.3,-2.3
57,1940-02-27,1.2,1,4.7,0,5.0,8.7,998.2,8.6,79.0,12.0,4.1,2.4
58,1940-02-28,0.0,0,8.9,0,3.0,9.7,999.6,12.1,70.0,15.6,8.2,6.5
