,MESS_DATUM,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM, VPM,PM,TMK,UPM,TXK,TNK,TGK
0,1947-01-01,-999.0,-999.0,2.4,7,0.0,1,8.0,4.5,992.6,-2.8,91.0,-999.0,-999.0,-4.5
1,1947-01-02,-999.0,-999.0,0.4,7,0.2,5,8.0,5.2,996.2,-0.6,89.0,-999.0,-999.0,-3.0
2,1947-01-03,-999.0,-999.0,0.0,7,0.0,6,8.0,5.3,1001.4,-0.7,91.0,-999.0,-999.0,-2.0
3,1947-01-04,-999.0,-999.0,0.0,0,2.8,4,0.0,2.7,1003.9,-8.2,79.0,-999.0,-999.0,-12.0
4,1947-01-05,-999.0,-999.0,0.0,0,5.4,4,0.0,1.7,998.7,-12.9,72.0,-999.0,-999.0,-17.8
5,1947-01-06,-999.0,-999.0,0.0,0,6.5,3,0.0,1.7,991.4,-13.0,74.0,-999.0,-999.0,-19.1
6,1947-01-07,-999.0,-999.0,0.0,0,2.8,3,3.3,1.7,989.8,-13.8,80.0,-999.0,-999.0,-19.5
7,1947-01-08,-999.0,-999.0,0.2,7,0.0,3,8.0,2.9,991.9,-7.9,88.0,-999.0,-999.0,-11.5
8,1947-01-09,-999.0,-999.0,2.8,8,0.0,3,8.0,4.8,988.2,-2.8,97.0,-999.0,-999.0,-5.5
9,1947-01-10,-999.0,-999.0,0.0,0,0.0,3,7.7,6.3,991.2,1.1,95.0,-999.0,-999.0,-2.6
10,1947-01-11,-999.0,-999.0,5.8,8,0.0,3,7.7,6.3,984.3,0.6,98.0,-999.0,-999.0,-0.9
11,1947-01-12,-999.0,-999.0,2.6,1,0.2,2,4.0,6.9,981.1,4.3,85.0,-999.0,-999.0,2.6
12,1947-01-13,-999.0,-999.0,3.0,1,0.0,0,8.0,7.6,979.6,4.6,90.0,-999.0,-999.0,-1.7
13,1947-01-14,-999.0,-999.0,1.6,1,1.1,0,5.7,6.4,991.0,4.1,78.0,-999.0,-999.0,1.3
14,1947-01-15,-999.0,-999.0,0.0,0,0.1,0,5.3,8.4,999.5,5.0,89.0,-999.0,-999.0,3.1
15,1947-01-16,-999.0,-999.0,0.0,0,0.0,0,8.0,5.7,1002.0,-1.0,99.0,-999.0,-999.0,-2.4
16,1947-01-17,-999.0,-999.0,1.0,1,0.0,0,8.0,6.0,999.5,0.6,98.0,-999.0,-999.0,-2.5
17,1947-01-18,-999.0,-999.0,0.5,1,3.8,0,6.0,6.3,1004.0,3.3,81.0,-999.0,-999.0,-0.5
18,1947-01-19,-999.0,-999.0,0.4,8,2.0,0,3.3,6.0,999.5,1.4,85.0,-999.0,-999.0,0.5
19,1947-01-20,-999.0,-999.0,0.0,7,6.5,0,2.3,4.9,995.0,-0.4,83.0,-999.0,-999.0,-3.5
20,1947-01-21,-999.0,-999.0,0.8,7,3.7,0,5.3,4.9,995.1,-1.9,92.0,-999.0,-999.0,-6.2
21,1947-01-22,-999.0,-999.0,0.3,7,3.9,2,6.0,3.6,995.0,-5.1,86.0,-999.0,-999.0,-9.6
22,1947-01-23,-999.0,-999.0,0.0,7,1.8,1,7.7,3.7,997.6,-4.7,84.0,-999.0,-999.0,-7.6
23,1947-01-24,-999.0,-999.0,0.2,7,0.0,2,5.0,3.2,1000.7,-7.4,89.0,-999.0,-999.0,-10.8
24,1947-01-25,-999.0,-999.0,0.0,0,5.4,2,0.3,3.1,993.0,-8.4,92.0,-999.0,-999.0,-14.6
