,MESS_DATUM,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK
0,1900-08-01,-999.0,-999.0,-999.0,-999,15.0,-999,0.0,3.9,715.3,2.0,50.0,6.2,-3.6
1,1900-08-02,-999.0,-999.0,-999.0,-999,6.2,-999,5.0,8.3,713.7,5.7,88.0,12.6,2.2
2,1900-08-03,-999.0,-999.0,-999.0,-999,1.3,-999,8.0,7.9,710.6,3.6,96.0,7.9,1.2
3,1900-08-04,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,6.3,706.3,0.6,98.0,5.2,-2.8
4,1900-08-05,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,4.4,705.9,-3.9,95.0,-0.9,-5.4
5,1900-08-06,-999.0,-999.0,-999.0,-999,3.4,-999,5.3,5.5,707.8,-2.0,95.0,0.7,-5.3
6,1900-08-07,-999.0,-999.0,-999.0,-999,10.3,-999,3.0,6.7,712.3,3.0,81.0,6.0,-1.0
7,1900-08-08,-999.0,-999.0,-999.0,-999,0.0,-999,7.7,5.6,710.6,0.6,94.0,4.0,-2.6
8,1900-08-09,-999.0,-999.0,-999.0,-999,5.4,-999,4.7,6.5,712.3,0.4,96.0,4.6,-2.7
9,1900-08-10,-999.0,-999.0,-999.0,-999,1.4,-999,7.3,6.5,712.2,0.8,94.0,6.0,-2.0
10,1900-08-11,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,4.4,713.4,-4.0,94.0,-2.0,-5.2
11,1900-08-12,-999.0,-999.0,-999.0,-999,4.4,-999,5.3,4.0,716.5,-4.2,85.0,-1.9,-6.8
12,1900-08-13,-999.0,-999.0,-999.0,-999,10.4,-999,3.3,3.9,718.3,-2.1,67.0,1.6,-5.9
13,1900-08-14,-999.0,-999.0,-999.0,-999,5.0,-999,5.7,5.6,717.4,0.5,85.0,2.6,-1.7
14,1900-08-15,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,5.9,712.6,-0.7,98.0,0.6,-1.8
15,1900-08-16,-999.0,-999.0,-999.0,-999,2.2,-999,5.0,6.9,713.0,2.0,93.0,4.7,-1.2
16,1900-08-17,-999.0,-999.0,-999.0,-999,5.3,-999,5.7,7.9,713.5,4.2,90.0,8.6,-0.3
17,1900-08-18,-999.0,-999.0,-999.0,-999,1.4,-999,7.0,8.0,715.1,4.7,95.0,8.8,1.7
18,1900-08-19,-999.0,-999.0,-999.0,-999,3.3,-999,6.3,7.1,715.5,4.4,83.0,8.4,1.7
19,1900-08-20,-999.0,-999.0,-999.0,-999,5.3,-999,5.3,7.1,712.6,3.9,86.0,8.5,1.3
20,1900-08-21,-999.0,-999.0,-999.0,-999,5.3,-999,5.7,7.6,710.5,3.6,88.0,7.5,0.0
21,1900-08-22,-999.0,-999.0,-999.0,-999,2.0,-999,7.0,8.1,710.9,3.4,97.0,7.2,-0.1
22,1900-08-23,-999.0,-999.0,-999.0,-999,3.3,-999,6.3,8.1,712.6,4.9,90.0,8.5,1.3
23,1900-08-24,-999.0,-999.0,-999.0,-999,0.4,-999,7.7,8.1,711.1,5.1,91.0,9.5,2.4
24,1900-08-25,-999.0,-999.0,-999.0,-999,3.0,-999,5.0,7.2,711.7,2.4,99.0,5.2,0.4
25,1900-08-26,-999.0,-999.0,-999.0,-999,6.4,-999,3.0,5.2,713.5,3.6,61.0,6.5,-0.4
26,1900-08-27,-999.0,-999.0,-999.0,-999,0.2,-999,6.3,7.6,712.2,4.3,92.0,7.4,2.9
27,1900-08-28,-999.0,-999.0,-999.0,-999,0.0,-999,7.7,6.3,713.3,2.4,94.0,6.7,-0.6
28,1900-08-29,-999.0,-999.0,-999.0,-999,0.2,-999,7.7,5.3,714.9,-1.0,92.0,0.4,-2.0
29,1900-08-30,-999.0,-999.0,-999.0,-999,10.3,-999,0.7,3.1,716.7,-0.8,50.0,0.9,-3.8
30,1900-08-31,-999.0,-999.0,-999.0,-999,10.0,-999,1.7,2.8,716.9,0.0,43.0,1.8,-1.8
31,1900-09-01,-999.0,-999.0,-999.0,-999,6.4,-999,3.3,2.7,716.2,2.3,35.0,7.4,-1.6
32,1900-09-02,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,7.7,714.2,1.8,100.0,4.4,-2.2
33,1900-09-03,-999.0,-999.0,-999.0,-999,0.0,-999,5.3,4.9,714.3,-2.1,92.0,2.6,-5.4
34,1900-09-04,-999.0,-999.0,-999.0,-999,12.0,-999,2.0,2.5,717.5,-1.1,38.0,3.7,-7.8
35,1900-09-05,-999.0,-999.0,-999.0,-999,4.4,-999,3.7,4.9,716.6,-0.4,80.0,3.6,-2.6
36,1900-09-06,-999.0,-999.0,-999.0,-999,12.0,-999,1.7,2.9,715.3,-0.7,48.0,0.4,-2.3
37,1900-09-07,-999.0,-999.0,-999.0,-999,12.3,-999,0.3,1.7,715.8,2.3,22.0,6.6,-1.3
38,1900-09-08,-999.0,-999.0,-999.0,-999,6.2,-999,5.7,5.6,712.9,2.3,74.0,7.1,-0.6
39,1900-09-09,-999.0,-999.0,-999.0,-999,4.3,-999,7.0,5.9,712.6,-0.3,96.0,2.4,-2.2
40,1900-09-10,-999.0,-999.0,-999.0,-999,3.4,-999,5.3,5.5,714.2,-1.1,97.0,3.0,-4.8
41,1900-09-11,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,4.9,714.9,-2.3,96.0,-0.3,-3.4
42,1900-09-12,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,4.4,714.7,-4.5,97.0,-2.8,-5.6
43,1900-09-13,-999.0,-999.0,-999.0,-999,12.3,-999,1.0,3.1,718.5,-1.2,48.0,1.6,-6.8
44,1900-09-14,-999.0,-999.0,-999.0,-999,12.3,-999,0.0,3.7,721.4,3.8,45.0,5.9,1.5
45,1900-09-15,-999.0,-999.0,-999.0,-999,12.3,-999,0.0,4.1,720.6,3.9,50.0,6.0,2.2
46,1900-09-16,-999.0,-999.0,-999.0,-999,12.2,-999,1.0,4.8,720.2,3.3,59.0,5.9,1.8
47,1900-09-17,-999.0,-999.0,-999.0,-999,5.4,-999,4.7,4.1,719.1,5.0,45.0,7.7,2.3
48,1900-09-18,-999.0,-999.0,-999.0,-999,0.4,-999,6.0,7.3,717.0,3.0,96.0,6.7,0.5
49,1900-09-19,-999.0,-999.0,-999.0,-999,6.3,-999,5.0,7.9,716.3,3.4,94.0,6.6,-0.1
50,1900-09-20,-999.0,-999.0,-999.0,-999,4.0,-999,5.7,7.3,719.1,4.1,89.0,8.2,1.2
51,1900-09-21,-999.0,-999.0,-999.0,-999,9.3,-999,1.7,7.1,721.5,4.4,85.0,9.7,1.0
52,1900-09-22,-999.0,-999.0,-999.0,-999,11.2,-999,1.3,4.0,721.5,3.3,51.0,8.0,0.8
53,1900-09-23,-999.0,-999.0,-999.0,-999,9.3,-999,1.3,6.1,720.9,3.1,75.0,7.2,-0.3
54,1900-09-24,-999.0,-999.0,-999.0,-999,1.4,-999,5.3,6.5,717.0,2.4,86.0,4.2,0.2
55,1900-09-25,-999.0,-999.0,-999.0,-999,1.2,-999,7.0,8.1,715.5,3.8,96.0,7.4,0.4
56,1900-09-26,-999.0,-999.0,-999.0,-999,0.4,-999,7.3,7.6,715.9,2.9,100.0,6.2,0.8
57,1900-09-27,-999.0,-999.0,-999.0,-999,6.3,-999,3.3,6.9,714.9,3.2,86.0,6.2,0.0
58,1900-09-28,-999.0,-999.0,-999.0,-999,3.0,-999,7.0,7.5,713.9,3.4,94.0,6.8,1.2
59,1900-09-29,-999.0,-999.0,-999.0,-999,3.3,-999,3.3,7.1,714.1,3.4,86.0,6.4,0.4
60,1900-09-30,-999.0,-999.0,-999.0,-999,3.4,-999,4.7,7.5,714.2,2.9,90.0,5.2,1.2
61,1900-10-01,-999.0,-999.0,-999.0,-999,4.2,-999,4.7,6.7,716.1,2.3,91.0,4.0,-0.6
62,1900-10-02,-999.0,-999.0,-999.0,-999,8.4,-999,3.7,5.3,715.1,3.5,68.0,6.9,0.0
63,1900-10-03,-999.0,-999.0,-999.0,-999,1.0,-999,7.3,6.7,711.8,1.1,95.0,5.1,-2.0
64,1900-10-04,-999.0,-999.0,-999.0,-999,9.0,-999,1.0,3.6,714.6,-0.6,60.0,5.2,-8.0
65,1900-10-05,-999.0,-999.0,-999.0,-999,1.4,-999,7.7,6.4,716.7,0.9,96.0,4.0,-2.0
66,1900-10-06,-999.0,-999.0,-999.0,-999,5.4,-999,5.3,6.3,720.1,0.4,98.0,3.8,-2.6
67,1900-10-07,-999.0,-999.0,-999.0,-999,8.3,-999,1.3,4.9,722.7,0.4,79.0,4.4,-3.3
68,1900-10-08,-999.0,-999.0,-999.0,-999,11.0,-999,0.0,2.8,724.6,3.4,36.0,5.9,-1.0
69,1900-10-09,-999.0,-999.0,-999.0,-999,11.0,-999,0.0,1.9,723.4,5.3,-999.0,7.0,0.6
70,1900-10-10,-999.0,-999.0,-999.0,-999,11.0,-999,0.7,2.9,717.8,2.7,37.0,6.2,0.2
71,1900-10-11,-999.0,-999.0,-999.0,-999,7.3,-999,3.3,3.2,709.8,-5.4,77.0,2.5,-7.6
72,1900-10-12,-999.0,-999.0,-999.0,-999,11.0,-999,0.7,4.8,708.9,-1.4,84.0,0.0,-6.6
73,1900-10-13,-999.0,-999.0,-999.0,-999,9.2,-999,3.3,4.9,709.0,-1.6,88.0,0.7,-4.3
74,1900-10-14,-999.0,-999.0,-999.0,-999,2.0,-999,6.3,4.7,702.5,-2.7,91.0,-0.4,-4.8
75,1900-10-15,-999.0,-999.0,-999.0,-999,1.0,-999,8.0,2.4,699.4,-11.5,93.0,-4.8,-12.6
76,1900-10-16,-999.0,-999.0,-999.0,-999,0.3,-999,4.7,2.1,702.2,-11.7,84.0,-11.5,-14.6
77,1900-10-17,-999.0,-999.0,-999.0,-999,5.2,-999,5.7,3.3,706.1,-5.4,77.0,-3.2,-12.2
78,1900-10-18,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,3.9,704.2,-5.5,92.0,-2.9,-6.3
79,1900-10-19,-999.0,-999.0,-999.0,-999,0.0,-999,7.7,3.5,704.3,-6.8,89.0,-2.9,-9.6
80,1900-10-20,-999.0,-999.0,-999.0,-999,10.3,-999,2.0,3.1,705.9,-5.4,75.0,-3.6,-9.9
81,1900-10-21,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,3.5,704.1,-6.4,89.0,-3.7,-9.1
82,1900-10-22,-999.0,-999.0,-999.0,-999,7.3,-999,5.3,3.3,708.2,-6.5,86.0,-3.5,-12.0
83,1900-10-23,-999.0,-999.0,-999.0,-999,7.0,-999,3.0,3.7,712.5,-4.3,83.0,-2.0,-6.8
84,1900-10-24,-999.0,-999.0,-999.0,-999,0.2,-999,5.0,3.5,712.1,-6.2,90.0,-5.0,-9.3
85,1900-10-25,-999.0,-999.0,-999.0,-999,7.3,-999,2.7,4.1,708.2,-3.0,82.0,-0.3,-6.8
86,1900-10-26,-999.0,-999.0,-999.0,-999,5.4,-999,3.0,3.7,702.1,-3.7,80.0,-2.3,-6.8
87,1900-10-27,-999.0,-999.0,-999.0,-999,1.2,-999,5.0,2.7,698.6,-8.6,81.0,-4.0,-11.4
88,1900-10-28,-999.0,-999.0,-999.0,-999,0.2,-999,6.3,2.4,705.0,-11.0,91.0,-10.0,-13.8
89,1900-10-29,-999.0,-999.0,-999.0,-999,0.2,-999,7.7,3.9,708.1,-4.8,88.0,-3.4,-11.0
90,1900-10-30,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,3.6,709.7,-4.7,81.0,-4.1,-4.9
91,1900-10-31,-999.0,-999.0,-999.0,-999,4.3,-999,3.0,3.1,715.0,-3.0,63.0,-0.5,-5.9
92,1900-11-01,-999.0,-999.0,-999.0,-999,3.0,-999,5.3,4.0,715.5,-0.8,69.0,1.2,-2.0
93,1900-11-02,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,4.1,710.3,-3.4,90.0,-0.7,-4.8
94,1900-11-03,-999.0,-999.0,-999.0,-999,1.3,-999,6.3,4.8,705.9,-2.3,88.0,1.0,-4.3
95,1900-11-04,-999.0,-999.0,-999.0,-999,0.0,-999,8.0,2.7,703.4,-8.5,90.0,-3.2,-9.6
