,MESS_DATUM,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK
0,1979-01-01,5.7,2.6,0.9,7,-999.0,32,1.3,2.2,-999.0,-11.6,87.0,-6.9,-19.1,-22.0
1,1979-01-02,9.8,2.2,0.5,8,-999.0,31,4.3,2.0,-999.0,-12.8,88.0,-9.5,-17.9,-23.1
2,1979-01-03,4.6,3.1,0.3,7,-999.0,30,5.3,2.9,-999.0,-9.9,94.0,-5.3,-13.4,-19.2
3,1979-01-04,3.1,1.3,0.0,7,-999.0,28,2.3,1.8,-999.0,-14.7,91.0,-8.2,-18.3,-21.7
4,1979-01-05,2.6,0.9,0.0,0,-999.0,24,5.3,1.9,-999.0,-14.1,91.0,-10.9,-19.6,-20.4
5,1979-01-06,3.6,0.7,0.1,7,-999.0,23,4.7,2.1,-999.0,-14.3,96.0,-11.0,-16.3,-17.3
6,1979-01-07,5.7,3.4,2.7,6,-999.0,22,5.0,3.2,-999.0,-3.0,68.0,-0.1,-16.9,-18.7
7,1979-01-08,6.7,3.6,2.1,6,-999.0,20,8.0,6.2,-999.0,0.9,95.0,1.5,-0.4,-1.1
8,1979-01-09,6.2,2.3,5.4,7,-999.0,11,8.0,6.1,-999.0,0.4,97.0,1.1,-0.2,-1.4
9,1979-01-10,11.3,5.4,2.5,8,-999.0,14,6.7,5.0,-999.0,0.6,79.0,1.4,-3.1,-3.9
10,1979-01-11,8.1,3.3,5.4,7,-999.0,17,8.0,5.9,-999.0,0.0,96.0,2.0,-1.4,-1.7
11,1979-01-12,8.7,4.0,3.8,8,-999.0,19,8.0,5.5,-999.0,-0.1,91.0,0.8,-0.6,-0.8
12,1979-01-13,9.8,4.7,0.7,7,-999.0,21,7.0,5.5,-999.0,-0.1,90.0,1.3,-1.9,-2.9
13,1979-01-14,7.7,4.0,0.3,7,-999.0,21,4.3,5.4,-999.0,0.2,87.0,1.2,-2.3,-4.6
14,1979-01-15,3.1,2.3,0.0,6,-999.0,22,8.0,4.0,-999.0,-4.4,90.0,0.0,-5.2,-8.1
15,1979-01-16,3.1,1.7,0.5,8,-999.0,22,8.0,3.8,-999.0,-5.0,89.0,-3.9,-5.7,-6.4
16,1979-01-17,3.1,1.4,2.3,8,-999.0,22,8.0,4.7,-999.0,-2.6,95.0,-1.5,-6.1,-6.4
17,1979-01-18,13.9,6.2,0.0,0,-999.0,25,6.7,4.0,-999.0,-4.2,89.0,-1.8,-6.0,-7.5
18,1979-01-19,13.9,7.9,0.0,0,-999.0,25,8.0,4.2,-999.0,-3.4,88.0,-2.4,-4.2,-5.6
19,1979-01-20,10.8,6.5,0.0,6,-999.0,24,8.0,4.2,-999.0,-4.1,92.0,-3.6,-4.6,-5.4
20,1979-01-21,7.2,4.9,0.0,6,-999.0,24,7.3,3.3,-999.0,-6.5,87.0,-4.4,-7.3,-6.2
21,1979-01-22,5.7,2.8,0.1,8,-999.0,22,8.0,3.2,-999.0,-7.8,94.0,-7.0,-8.5,-9.3
22,1979-01-23,8.7,4.4,5.5,8,-999.0,20,8.0,4.9,-999.0,-2.0,96.0,0.6,-8.1,-7.4
23,1979-01-24,16.5,6.0,0.5,8,-999.0,22,7.3,4.7,-999.0,-1.9,87.0,1.9,-2.5,-2.9
24,1979-01-25,9.8,4.7,0.0,0,-999.0,21,7.3,4.5,-999.0,0.5,70.0,1.7,-3.9,-5.5
25,1979-01-26,9.3,4.7,0.3,7,-999.0,19,8.0,4.9,-999.0,-0.4,81.0,1.0,-1.4,-2.8
26,1979-01-27,5.7,2.5,0.0,0,-999.0,19,6.0,4.8,-999.0,-0.9,81.0,1.8,-3.1,-4.2
27,1979-01-28,4.6,2.1,0.0,6,-999.0,17,5.7,4.7,-999.0,-2.3,89.0,0.7,-3.3,-4.4
28,1979-01-29,5.1,3.0,0.0,8,-999.0,16,6.7,4.7,-999.0,-2.3,91.0,1.0,-5.4,-6.3
29,1979-01-30,3.1,1.3,0.5,8,-999.0,16,7.0,5.6,-999.0,0.2,89.0,4.1,-2.6,-5.0
30,1979-01-31,10.8,4.5,1.3,8,-999.0,12,8.0,5.6,-999.0,0.8,89.0,2.1,-5.5,-5.6
31,1979-02-01,10.8,5.0,2.5,8,-999.0,11,7.7,5.8,-999.0,1.8,81.0,3.9,-0.9,0.6
32,1979-02-02,6.2,2.5,4.8,8,-999.0,9,4.0,6.1,-999.0,0.1,94.0,2.8,-1.7,0.1
33,1979-02-03,16.5,7.0,0.9,8,-999.0,8,7.7,5.3,-999.0,1.3,80.0,3.1,-3.3,-4.6
34,1979-02-04,9.8,2.8,0.5,8,-999.0,7,5.0,5.7,-999.0,-0.1,93.0,2.2,-1.0,-4.4
35,1979-02-05,2.6,1.0,0.0,0,-999.0,6,7.3,4.5,-999.0,-4.2,98.0,0.8,-8.4,-9.6
36,1979-02-06,4.1,1.9,0.0,0,-999.0,6,8.0,4.8,-999.0,-3.2,98.0,-2.0,-4.4,-6.6
37,1979-02-07,9.1,4.2,1.3,8,-999.0,6,7.7,4.8,-999.0,-2.0,92.0,-0.4,-4.6,-4.8
38,1979-02-08,16.5,4.3,0.0,8,-999.0,7,4.0,5.1,-999.0,-1.3,90.0,2.2,-2.2,-1.9
39,1979-02-09,2.6,0.1,0.0,0,-999.0,7,6.0,4.2,-999.0,-3.4,89.0,0.6,-11.4,-11.9
