,ID,Gastro_Id,Gastro_Description,Umsatz in millionen,Datum
0,0,WZ08-55,Beherbergung,92.3,1994-01-01
1,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",91.9,1994-01-01
2,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,97.3,1994-01-01
3,3,WZ08-553,Campingplätze,68.4,1994-01-01
4,4,WZ08-559,Sonstige Beherbergungsstätten,127.1,1994-01-01
5,5,WZ08-56,Gastronomie,152.3,1994-01-01
6,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",154.3,1994-01-01
7,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,87.9,1994-01-01
8,8,WZ08-563,Ausschank von Getränken,255.0,1994-01-01
9,9,WZ08-561-01,Gaststättengewerbe,168.4,1994-01-01
10,10,WZ08-55-01,Gastgewerbe,127.9,1994-01-01
11,11,WZ08-55,Beherbergung,97.0,1994-02-01
12,12,WZ08-551,"Hotels, Gasthöfe und Pensionen",97.2,1994-02-01
13,13,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,98.9,1994-02-01
14,14,WZ08-553,Campingplätze,52.2,1994-02-01
15,15,WZ08-559,Sonstige Beherbergungsstätten,133.7,1994-02-01
16,16,WZ08-56,Gastronomie,147.6,1994-02-01
17,17,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",149.2,1994-02-01
18,18,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,86.4,1994-02-01
19,19,WZ08-563,Ausschank von Getränken,246.7,1994-02-01
20,20,WZ08-561-01,Gaststättengewerbe,162.8,1994-02-01
21,21,WZ08-55-01,Gastgewerbe,127.1,1994-02-01
22,22,WZ08-55,Beherbergung,111.3,1994-03-01
23,23,WZ08-551,"Hotels, Gasthöfe und Pensionen",110.6,1994-03-01
24,24,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,125.1,1994-03-01
25,25,WZ08-553,Campingplätze,81.8,1994-03-01
26,26,WZ08-559,Sonstige Beherbergungsstätten,148.7,1994-03-01
27,27,WZ08-56,Gastronomie,166.0,1994-03-01
28,28,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",170.4,1994-03-01
29,29,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.9,1994-03-01
30,30,WZ08-563,Ausschank von Getränken,257.0,1994-03-01
31,31,WZ08-561-01,Gaststättengewerbe,182.4,1994-03-01
32,32,WZ08-55-01,Gastgewerbe,143.9,1994-03-01
33,33,WZ08-55,Beherbergung,117.2,1994-04-01
34,34,WZ08-551,"Hotels, Gasthöfe und Pensionen",115.9,1994-04-01
35,35,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,131.8,1994-04-01
36,36,WZ08-553,Campingplätze,119.4,1994-04-01
37,37,WZ08-559,Sonstige Beherbergungsstätten,153.1,1994-04-01
38,38,WZ08-56,Gastronomie,168.1,1994-04-01
39,39,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",175.3,1994-04-01
40,40,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.3,1994-04-01
41,41,WZ08-563,Ausschank von Getränken,259.8,1994-04-01
42,42,WZ08-561-01,Gaststättengewerbe,187.0,1994-04-01
43,43,WZ08-55-01,Gastgewerbe,147.5,1994-04-01
44,44,WZ08-55,Beherbergung,138.0,1994-05-01
45,45,WZ08-551,"Hotels, Gasthöfe und Pensionen",136.8,1994-05-01
46,46,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,160.3,1994-05-01
47,47,WZ08-553,Campingplätze,99.7,1994-05-01
48,48,WZ08-559,Sonstige Beherbergungsstätten,204.1,1994-05-01
49,49,WZ08-56,Gastronomie,182.6,1994-05-01
50,50,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",193.6,1994-05-01
51,51,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.0,1994-05-01
52,52,WZ08-563,Ausschank von Getränken,268.8,1994-05-01
53,53,WZ08-561-01,Gaststättengewerbe,204.0,1994-05-01
54,54,WZ08-55-01,Gastgewerbe,164.6,1994-05-01
55,55,WZ08-55,Beherbergung,134.7,1994-06-01
56,56,WZ08-551,"Hotels, Gasthöfe und Pensionen",132.8,1994-06-01
57,57,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,173.1,1994-06-01
58,58,WZ08-553,Campingplätze,84.7,1994-06-01
59,59,WZ08-559,Sonstige Beherbergungsstätten,212.1,1994-06-01
60,60,WZ08-56,Gastronomie,175.8,1994-06-01
61,61,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",184.1,1994-06-01
62,62,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.8,1994-06-01
63,63,WZ08-563,Ausschank von Getränken,257.2,1994-06-01
64,64,WZ08-561-01,Gaststättengewerbe,194.3,1994-06-01
65,65,WZ08-55-01,Gastgewerbe,159.2,1994-06-01
66,66,WZ08-55,Beherbergung,130.8,1994-07-01
67,67,WZ08-551,"Hotels, Gasthöfe und Pensionen",126.4,1994-07-01
68,68,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,191.0,1994-07-01
69,69,WZ08-553,Campingplätze,141.9,1994-07-01
70,70,WZ08-559,Sonstige Beherbergungsstätten,265.5,1994-07-01
71,71,WZ08-56,Gastronomie,180.5,1994-07-01
72,72,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",193.1,1994-07-01
73,73,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,93.6,1994-07-01
74,74,WZ08-563,Ausschank von Getränken,258.5,1994-07-01
75,75,WZ08-561-01,Gaststättengewerbe,202.2,1994-07-01
76,76,WZ08-55-01,Gastgewerbe,160.4,1994-07-01
77,77,WZ08-55,Beherbergung,135.6,1994-08-01
78,78,WZ08-551,"Hotels, Gasthöfe und Pensionen",132.2,1994-08-01
79,79,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,179.2,1994-08-01
80,80,WZ08-553,Campingplätze,123.7,1994-08-01
81,81,WZ08-559,Sonstige Beherbergungsstätten,267.0,1994-08-01
82,82,WZ08-56,Gastronomie,178.8,1994-08-01
83,83,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",191.3,1994-08-01
84,84,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,88.9,1994-08-01
85,85,WZ08-563,Ausschank von Getränken,263.4,1994-08-01
86,86,WZ08-561-01,Gaststättengewerbe,201.4,1994-08-01
87,87,WZ08-55-01,Gastgewerbe,161.3,1994-08-01
88,88,WZ08-55,Beherbergung,155.6,1994-09-01
89,89,WZ08-551,"Hotels, Gasthöfe und Pensionen",155.6,1994-09-01
90,90,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,170.3,1994-09-01
91,91,WZ08-553,Campingplätze,63.6,1994-09-01
