Monat,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,TGK,Monat_Code
January,10.08936877076412,3.057644824311491,1.6556631692224915,2.7389784946236557,1.8614675209898366,1.1355491329479768,6.075463499420626,5.8231062670299725,985.120615676702,1.6134211941904248,81.32459095801937,4.461261775620896,-1.3022552098201543,-2.0675209898365003,1.0
February,10.31694473409802,3.079468473163106,1.8333040164174728,2.6255131964809384,3.0391129970902035,0.987662132236634,5.658712121212121,6.035507893952935,983.5401555620781,3.011355633802817,77.10707914943887,6.550139794967381,-0.4663249456352904,-1.7369544131910766,2.0
March,10.70849146110057,3.170351043643264,1.918558077436582,2.3269333333333333,4.4966707909854176,0.2568071080538836,5.283396008099508,6.8802366227480505,982.0491179624664,6.470533333333333,70.78786876355748,10.886611944523068,2.248966883668271,0.668935041979673,3.0
April,10.496901131333006,2.943700787401575,2.445452016689847,2.000833564879133,5.721311100959342,0.035555555555555556,5.211599625818521,8.25182197496523,980.4862771285476,10.19045631608236,67.09568289290682,15.128525453481569,5.191915641476275,3.3684018264840185,4.0
May,10.513709677419355,2.851827242524917,3.197725469452526,1.705633430309442,6.665351787271142,0.0,5.11659090909091,11.067080909571654,982.0496216931216,14.472871496562666,67.71464569011106,19.74446002805049,9.286199158485275,7.712641673931996,5.0
June,10.254066042385412,2.732512315270936,3.598107515085025,1.6075047932073405,7.637829279279279,0.0,5.037299226650804,13.787774122807019,983.3721790309335,17.882568306010928,67.91828673245614,23.130985507246375,12.598070175438597,11.296576576576577,6.0
July,10.267158495954307,2.7124226558781532,3.2314666666666665,1.4396161023727005,8.113570740254051,0.0,4.636920863309352,15.200268024658268,983.8216639957266,19.81731903485255,66.83374023174346,25.159597961494903,14.482554517133957,13.11661578717837,7.0
August,9.796015180265655,2.542097769340294,3.133835978835979,1.4367724867724867,7.442240191804708,0.0,4.481067677946324,15.06507725093234,983.6028207171315,19.196597554492293,68.76497750727705,24.533155680224404,14.028162692847125,12.697515257192675,8.0
September,9.179921453117329,2.474656188605108,2.70835170893054,1.3453594051225557,5.918626690712353,0.0,4.648927294398093,13.170750551876381,984.5748205411375,15.589237544728874,74.48875930521092,20.558900906167786,10.940719087985968,9.353787195671776,9.0
October,8.930498812351544,2.441880341880342,2.4632772884974647,1.5329229122055674,3.9173202443280974,0.0014392630972941854,5.424130996839989,10.398226759806555,983.8240661686233,10.624286856838175,79.89992794235388,14.85314269535674,6.806795016987542,5.454319371727748,10.0
November,9.39261811023622,2.732598039215686,2.361887824897401,2.146254784034992,2.1972225225225226,0.11374269005847953,6.211782296650718,7.656666666666667,983.1399071038252,5.641475409836065,81.98910655737706,8.800869565217392,2.669391304347826,1.543963963963964,11.0
December,10.182724252491694,3.0846555819477435,2.055014554114845,2.533333333333333,1.712496076721883,0.514618223105308,6.291393206678181,6.327980922098569,983.7008942872396,2.716948704389212,82.19996284501062,5.5914165497896215,-0.04872370266479662,-0.8854712041884817,12.0
