Monat,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,Monat_Code
January,11.617806394316164,4.631274638633378,2.026209677419355,4.095307917888563,1.47357910906298,1.8332715820674323,6.194794721407625,6.015689149560117,1012.6544721407624,0.9498533724340176,86.52236070381231,3.175366568914956,-1.6752932551319648,-2.7163915978994746,1.0
February,11.292774005819593,4.466091954022989,1.7535800482703137,3.907884151246983,2.3650653181626633,2.332657200811359,5.972485921158488,5.952212389380532,1013.2022123893806,1.3607803700724055,83.83748994368463,4.103097345132743,-1.57739340305712,-2.939069575957184,2.0
March,11.759310039805396,4.519485614646905,1.6716642228739003,3.3592375366568916,3.8095996890788966,0.816906607604282,5.562719941348973,6.628775659824047,1013.2181818181818,4.077712609970675,79.12793255131965,7.8390029325513195,0.4803885630498534,-1.1500000000000001,3.0
April,11.35808957952468,4.072575552548488,1.5504924242424243,2.584090909090909,5.8377911646586345,0.031417624521072794,5.085416666666666,7.9490530303030305,1012.5854318181819,8.003484848484849,73.67762121212122,12.774280303030302,3.316969696969697,1.2427519379844962,4.0
May,11.099292348518354,3.8068439407149084,1.8112903225806452,2.19941348973607,7.209320248736883,0.0,5.0267595307917885,10.39116568914956,1013.7676121616611,12.45685483870968,71.48448680351906,17.47675953079179,7.126869501466275,4.837921980495124,5.0
June,10.80169413919414,3.6101403349932095,2.352352048558422,2.3174242424242424,7.42912891566265,0.0,5.132512315270937,13.042911296436694,1013.5619476082004,15.796136363636364,72.44754359363154,20.651742424242425,10.474924242424242,8.17686046511628,6.0
July,10.763146266018559,3.6234524847428076,2.628702346041056,2.4461143695014664,6.898282938204431,0.0,5.245234604105572,14.879912023460411,1012.7876759530791,17.46990469208211,74.74341275659825,22.304765395894428,12.643804985337244,10.491635408852213,7.0
August,10.274370304904995,3.3959895379250216,2.495381231671554,2.346041055718475,6.5959972794403425,0.0,5.014956011730205,14.94809384164223,1012.7472617302052,17.1833211143695,76.49844941348974,22.223607038123166,12.418218475073314,10.175093773443361,8.0
September,10.148584474885846,3.5558558558558557,2.160151515151515,2.334469696969697,5.054339607843137,0.0,5.034734848484849,12.892765151515151,1013.7655530303031,13.89212121212121,80.47152651515151,18.58397727272727,9.615416666666667,7.517248062015504,9.0
October,10.373639982308713,3.882111692844677,1.9956266078647558,2.463343108504399,3.403282732447818,0.0,5.479618768328446,10.363636363636363,1013.6193768328446,9.672287390029325,84.0953555718475,13.375953079178885,6.135557184750733,4.45986496624156,10.0
November,10.866697121973504,4.295085662759242,2.1384090909090907,3.1075757575757574,1.6391701960784313,0.10429447852760736,6.220454545454546,8.017916666666666,1011.4958106060606,5.296856060606061,87.24969696969697,7.751363636363636,2.6182575757575757,1.4479069767441861,11.0
December,11.309460654288241,4.4946771378708545,2.248240469208211,3.8684017595307916,1.1211256166982924,0.753806164129224,6.34004400440044,6.645234604105572,1012.0472927366104,2.2701612903225805,88.12272360703813,4.36099706744868,-0.21693548387096773,-1.16271567891973,12.0
