Monat,RSK,RSKF,SDK,SHK_TAG,NM,VPM,TMK,UPM,TXK,TNK,TGK,Monat_Code
January,2.2226666666666666,2.7195698924731184,1.5943164362519202,1.3535483870967742,5.921198156682028,6.0473978494623655,1.5938064516129031,84.01161290322581,3.9586666666666663,-0.8273118279569892,-1.6699101004759387,1.0
February,2.26685552407932,2.548158640226629,2.917372515125324,0.9060434372049103,5.488757729061271,6.08271954674221,2.5708215297450425,79.1657223796034,5.750566572237961,-0.369452313503305,-1.3227642276422766,2.0
March,1.955010752688172,2.0301075268817206,4.45268817204301,0.21188630490956073,4.906861239119304,7.03036559139785,6.198751614291864,72.72082580645161,10.467225806451612,2.363698924731183,0.9654680063458487,3.0
April,1.712711111111111,1.7746666666666666,6.101041666666667,0.005333333333333333,4.6005291005291005,8.232666666666667,10.187066666666666,66.43288888888888,15.032444444444444,5.452488888888889,3.8573224043715846,4.0
May,2.2603870967741932,1.684731182795699,6.947235023041474,0.0,4.517665130568356,11.033333333333333,14.48731182795699,66.82924731182796,19.465935483870968,9.459784946236558,8.102522333158172,5.0
June,2.4148461881408827,1.6170307623718234,7.624378955696202,0.0,4.548751991502921,13.704369148461883,17.748060633080698,67.37440927329469,22.811190370040126,12.707802050824787,11.5225580140313,6.0
July,2.1104946236559137,1.5113978494623657,8.03034433608402,0.0,4.2905273937532,15.145548387096774,19.61204301075269,66.86209892473119,24.852774193548385,14.489505376344086,13.092987964416537,7.0
August,2.068,1.4258064516129032,7.237800604229607,0.0,4.27557603686636,15.177161290322582,18.859870967741934,70.02027956989247,24.19909677419355,14.055139784946237,12.783610822060353,8.0
September,1.9218222222222223,1.4066666666666667,5.92196261682243,0.0,4.269312169312169,13.149221876389506,15.283822222222222,75.30215651400621,20.362622222222225,10.905511111111112,9.563763440860214,9.0
October,1.972283531409168,1.5831918505942275,3.612087149187592,0.0,4.91038306451613,10.57995753715499,10.478947368421053,81.35630148619957,14.576910016977928,6.916680814940578,5.985611879160266,10.0
November,2.411052631578947,2.1298245614035087,1.9851113725490195,0.1570175438596491,5.82609375,7.893489813994686,5.468552631578947,84.92498671390611,8.235482456140351,2.8671052631578946,1.7973824786324786,11.0
December,2.67865025466893,2.577249575551783,1.3236153846153846,0.7490396927016645,5.999949264332826,6.593336162988115,2.626018675721562,85.48689303904924,4.908955857385399,0.30908319185059424,-0.6379928315412187,12.0
