Monat, RSK,RSKF,SHK_TAG,  NM, VPM, TMK, UPM, TXK, TNK, TGK,Monat_Code
January,2.176086956521739,2.7812061711079945,2.3506311360448806,6.245635673624288,5.949088359046283,0.8253155680224404,87.51612903225806,3.1357643758765783,-1.4725105189340815,-2.9241234221598877,1.0
February,2.2268668206312547,2.644341801385681,2.310238645111624,5.796875,5.997151655119323,1.808237105465743,82.46574287913779,4.937644341801386,-1.0204003079291764,-2.816166281755196,2.0
March,1.8741912798874825,1.9465541490857947,0.697054698457223,5.156166982922201,6.695713281799017,5.048457223001403,75.32185523541813,9.27875175315568,1.2481065918653576,-0.829523141654979,3.0
April,1.7438518518518518,1.5777777777777777,0.06592592592592593,4.833939393939394,8.076222222222222,9.164814814814815,70.19777777777777,14.077481481481481,4.57437037037037,2.2343703703703706,4.0
May,2.2316810344827585,1.3326149425287357,0.0,4.824340175953079,10.677262853005068,13.116272401433692,70.78131788559016,18.423601147776182,8.147741935483872,6.015698924731183,5.0
June,2.667851851851852,1.242962962962963,0.0,4.777474747474748,13.326955201214881,16.584888888888887,70.9779271070615,21.92748148148148,11.509777777777778,9.49,6.0
July,2.3878136200716846,1.2451612903225806,0.0,4.646041055718475,14.608730741012472,18.220215053763443,70.79801173881145,23.711326164874553,13.213906810035843,11.011756272401433,7.0
August,2.6029390681003584,1.2910394265232974,0.0,4.672184133202743,14.600358422939069,17.400931899641577,74.12873835125448,22.77132616487455,12.89089605734767,10.680143369175626,8.0
September,2.0792592592592594,1.077037037037037,0.0,4.530121703853955,12.795022288261514,14.376130467012603,77.61596582466568,19.515641215715345,10.12468495181616,7.923869532987397,9.0
October,1.9640953716690044,1.3050490883590462,0.0021037868162692847,4.985863377609109,10.328410689170182,9.834410112359551,83.12242616033755,13.958274894810659,6.422159887798037,4.4394514767932485,10.0
November,2.5834057971014492,2.128260869565217,0.2855072463768116,6.339117647058823,7.772753834915997,4.870507246376811,87.74780131482835,7.55963768115942,2.4052173913043475,0.8918840579710144,11.0
December,2.5925666199158486,2.591865357643759,1.230014025245442,6.408538899430741,6.422947368421053,1.7192847124824684,88.89336140350876,3.9378681626928467,-0.4755960729312763,-1.7682328190743337,12.0
