Monat, RSK,RSKF, SDK,SHK_TAG,  NM, VPM, TMK, UPM, TXK, TNK, TGK,Monat_Code
January,1.7356904231625836,3.5863028953229397,0.9841290322580646,4.021134593993326,6.571669004207574,5.575027808676307,-0.0764182424916574,86.12910406232609,2.518464961067853,-3.025027808676307,-4.0049499443826475,1.0
February,1.582773365913256,3.3310934636530236,2.1404526166902405,3.3518631643249845,6.066101694915254,5.56634086744044,0.5701282834453268,83.06719609040928,4.235003054367746,-3.0644471594379965,-4.379474648747709,2.0
March,1.6470522803114571,3.0355951056729698,3.0836129032258066,1.0506117908787542,5.745441795231416,6.412458286985539,3.621802002224694,78.99944382647386,8.350389321468299,-0.7127919911012235,-2.2842046718576197,3.0
April,1.663954802259887,2.434463276836158,4.914,0.08063600227143668,5.18595744680851,7.679410096426545,7.482453151618399,74.11174134997164,13.164549064095292,1.8322178105501985,0.030175836642087357,4.0
May,2.2451066156369603,2.036085292509568,5.932258064516129,0.0,5.124137931034483,10.401858939311099,11.931875341716786,74.28266812465829,17.727993439037725,5.672115910333515,3.857463094587206,5.0
June,2.375776754890679,2.0880322209436133,6.1224,0.0,5.186161689730517,13.097628687102372,15.30735632183908,75.19809138230191,21.153218390804597,9.168390804597701,7.542163742690058,6.0
July,2.393548387096774,2.039746543778802,6.313575268817204,0.0,5.176008804108584,14.307488479262672,16.74435483870968,75.54592741935484,22.724769585253455,10.718663594470046,9.174539170506913,7.0
August,2.1698924731182796,1.9434069043576683,5.845833333333333,0.0,5.02573476702509,14.203338992642896,16.311997736276172,77.01819468024901,22.693095642331635,10.438879456706282,8.706451612903225,8.0
September,1.6949122807017545,1.8660818713450293,4.514666666666667,0.0,5.238743455497382,12.14727911059099,12.740350877192983,81.70098888238735,18.79812865497076,7.561578947368421,5.806900584795321,9.0
October,1.6693831352574986,2.0152801358234296,3.1340645161290324,0.007977207977207978,5.674982078853047,9.850820599886815,8.65048104131296,85.29616298811546,13.478720996038485,4.432258064516129,2.9547255234861347,10.0
November,2.0656725146198833,2.891812865497076,1.306,0.41812865497076024,6.538719285182427,7.456081871345029,4.163801169590643,87.56978947368421,7.147309941520468,1.1295906432748537,-0.055964912280701745,11.0
December,2.088654060066741,3.553948832035595,0.7388387096774194,1.9204671857619577,6.768121041520057,6.127808676307008,1.1199110122358176,87.70016685205783,3.5319243604004447,-1.5775862068965518,-2.514849833147942,12.0
