Monat,FX,FM,RSK,RSKF,SDK,SHK_TAG,NM,VPM,PM,TMK,UPM,TXK,TNK,Monat_Code
January,22.562739322533137,8.97469553450609,4.79577760293732,4.095987411487018,3.963598216627328,202.79918918918918,4.987693518761479,2.0244753410283316,701.0947009443862,-10.955966430632047,75.71853607161664,-8.381694204038816,-13.461106740099659,1.0
February,21.234274193548387,7.990303478904515,4.588341968911917,4.256764536557283,4.692246977547495,253.45196571090747,5.014162099798096,1.9922235023041475,700.0634321911891,-11.244185377086932,75.82439446366782,-8.590587219343696,-13.748445595854921,2.0
March,20.432250922509226,7.826657645466846,4.8272369456835476,4.418305795961185,5.122974036191975,289.32981886996487,5.325839454354669,2.3876672789294147,701.1637293469709,-9.572829792814057,79.08328954282712,-6.947233149750852,-12.007815368476265,3.0
April,17.908320610687024,6.475140056022409,5.302629438872324,4.946597994036324,5.20420054200542,313.3604683579593,5.8171908893709325,3.1543902439024394,702.5151924119241,-7.005284552845528,85.01281571815717,-4.169132791327914,-9.427018970189701,4.0
May,16.646805349182763,5.925766871165645,5.272818614489688,5.014013749338974,5.367336594394501,283.02897373409155,5.970835536753041,4.5454737956590785,707.3639740877842,-2.5518244315177157,87.7842853361567,0.2986779481755685,-4.896562665256478,5.0
June,16.992916984006094,5.72923935799023,5.932158469945356,4.812295081967213,5.135250819672131,206.05071633237822,6.14766201804758,5.772806777808144,711.0636857923497,0.529016393442623,89.31699918010386,3.400491803278688,-1.8185245901639344,6.0
July,17.007941176470588,5.8010767160161505,5.955129561078794,4.063987308302486,5.496968270756214,108.6930360415394,5.859264160931709,6.53952380952381,713.1829251520762,2.505631940772078,88.40618316569613,5.395901639344262,0.13836594394500262,7.0
August,16.379016874541453,5.602958977807667,5.633298236377994,3.903922084759147,5.649251174934726,35.96113411914622,5.571436031331593,6.459738903394256,713.2245790715971,2.588276762402089,86.77016449086162,5.44798955613577,0.30389033942558746,8.0
September,17.06544622425629,6.2332167832167835,4.30970189701897,3.667479674796748,5.714018817204302,28.26159147869674,5.059719978459881,5.244339876310836,711.7666856368563,0.37166666666666665,82.59784830554061,2.9731182795698925,-1.848736559139785,9.0
October,19.49882439382807,7.5611447811447805,3.5766063467086284,3.4190925780225543,5.6389484911550465,44.704628330995796,4.710041623309054,3.816753381893861,708.3576482830384,-2.598022892819979,75.52260020822489,-0.20135275754422477,-4.815452653485952,10.0
November,21.465326251896812,8.277466759972008,4.314552845528455,3.864769647696477,4.31038064516129,82.97511185682326,4.981451612903226,2.7675450389889757,703.4986182795699,-6.9642204301075274,75.7023648103309,-4.5256989247311825,-9.291935483870967,11.0
December,22.938165680473375,9.03224711473184,4.661562663869953,4.078919769271106,3.6609305411030175,141.04943273905997,5.020369887991665,2.255931321540062,701.5628798126951,-9.599349635796045,75.67689143452226,-7.060822060353798,-12.039073881373568,12.0
