ID,Jahr,Monatscode,Monat,Gastro_Id,Gastro_Description,Umsatz in millionen
0,1994,MONAT01,Januar,WZ08-55,Beherbergung,92.3
1,1994,MONAT01,Januar,WZ08-551,"Hotels, Gasthöfe und Pensionen",91.9
2,1994,MONAT01,Januar,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,97.3
3,1994,MONAT01,Januar,WZ08-553,Campingplätze,68.4
4,1994,MONAT01,Januar,WZ08-559,Sonstige Beherbergungsstätten,127.1
5,1994,MONAT01,Januar,WZ08-56,Gastronomie,152.3
6,1994,MONAT01,Januar,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",154.3
7,1994,MONAT01,Januar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,87.9
8,1994,MONAT01,Januar,WZ08-563,Ausschank von Getränken,255.0
9,1994,MONAT01,Januar,WZ08-561-01,Gaststättengewerbe,168.4
10,1994,MONAT01,Januar,WZ08-55-01,Gastgewerbe,127.9
11,1994,MONAT02,Februar,WZ08-55,Beherbergung,97.0
12,1994,MONAT02,Februar,WZ08-551,"Hotels, Gasthöfe und Pensionen",97.2
13,1994,MONAT02,Februar,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,98.9
14,1994,MONAT02,Februar,WZ08-553,Campingplätze,52.2
15,1994,MONAT02,Februar,WZ08-559,Sonstige Beherbergungsstätten,133.7
16,1994,MONAT02,Februar,WZ08-56,Gastronomie,147.6
17,1994,MONAT02,Februar,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",149.2
18,1994,MONAT02,Februar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,86.4
19,1994,MONAT02,Februar,WZ08-563,Ausschank von Getränken,246.7
20,1994,MONAT02,Februar,WZ08-561-01,Gaststättengewerbe,162.8
21,1994,MONAT02,Februar,WZ08-55-01,Gastgewerbe,127.1
22,1994,MONAT03,März,WZ08-55,Beherbergung,111.3
23,1994,MONAT03,März,WZ08-551,"Hotels, Gasthöfe und Pensionen",110.6
24,1994,MONAT03,März,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,125.1
25,1994,MONAT03,März,WZ08-553,Campingplätze,81.8
26,1994,MONAT03,März,WZ08-559,Sonstige Beherbergungsstätten,148.7
27,1994,MONAT03,März,WZ08-56,Gastronomie,166.0
28,1994,MONAT03,März,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",170.4
29,1994,MONAT03,März,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.9
30,1994,MONAT03,März,WZ08-563,Ausschank von Getränken,257.0
31,1994,MONAT03,März,WZ08-561-01,Gaststättengewerbe,182.4
32,1994,MONAT03,März,WZ08-55-01,Gastgewerbe,143.9
33,1994,MONAT04,April,WZ08-55,Beherbergung,117.2
34,1994,MONAT04,April,WZ08-551,"Hotels, Gasthöfe und Pensionen",115.9
35,1994,MONAT04,April,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,131.8
36,1994,MONAT04,April,WZ08-553,Campingplätze,119.4
37,1994,MONAT04,April,WZ08-559,Sonstige Beherbergungsstätten,153.1
38,1994,MONAT04,April,WZ08-56,Gastronomie,168.1
39,1994,MONAT04,April,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",175.3
40,1994,MONAT04,April,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.3
41,1994,MONAT04,April,WZ08-563,Ausschank von Getränken,259.8
42,1994,MONAT04,April,WZ08-561-01,Gaststättengewerbe,187.0
43,1994,MONAT04,April,WZ08-55-01,Gastgewerbe,147.5
44,1994,MONAT05,Mai,WZ08-55,Beherbergung,138.0
45,1994,MONAT05,Mai,WZ08-551,"Hotels, Gasthöfe und Pensionen",136.8
46,1994,MONAT05,Mai,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,160.3
47,1994,MONAT05,Mai,WZ08-553,Campingplätze,99.7
48,1994,MONAT05,Mai,WZ08-559,Sonstige Beherbergungsstätten,204.1
49,1994,MONAT05,Mai,WZ08-56,Gastronomie,182.6
50,1994,MONAT05,Mai,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",193.6
51,1994,MONAT05,Mai,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.0
52,1994,MONAT05,Mai,WZ08-563,Ausschank von Getränken,268.8
53,1994,MONAT05,Mai,WZ08-561-01,Gaststättengewerbe,204.0
54,1994,MONAT05,Mai,WZ08-55-01,Gastgewerbe,164.6
55,1994,MONAT06,Juni,WZ08-55,Beherbergung,134.7
56,1994,MONAT06,Juni,WZ08-551,"Hotels, Gasthöfe und Pensionen",132.8
57,1994,MONAT06,Juni,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,173.1
58,1994,MONAT06,Juni,WZ08-553,Campingplätze,84.7
59,1994,MONAT06,Juni,WZ08-559,Sonstige Beherbergungsstätten,212.1
60,1994,MONAT06,Juni,WZ08-56,Gastronomie,175.8
61,1994,MONAT06,Juni,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",184.1
62,1994,MONAT06,Juni,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.8
63,1994,MONAT06,Juni,WZ08-563,Ausschank von Getränken,257.2
64,1994,MONAT06,Juni,WZ08-561-01,Gaststättengewerbe,194.3
65,1994,MONAT06,Juni,WZ08-55-01,Gastgewerbe,159.2
66,1994,MONAT07,Juli,WZ08-55,Beherbergung,130.8
67,1994,MONAT07,Juli,WZ08-551,"Hotels, Gasthöfe und Pensionen",126.4
68,1994,MONAT07,Juli,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,191.0
69,1994,MONAT07,Juli,WZ08-553,Campingplätze,141.9
70,1994,MONAT07,Juli,WZ08-559,Sonstige Beherbergungsstätten,265.5
71,1994,MONAT07,Juli,WZ08-56,Gastronomie,180.5
72,1994,MONAT07,Juli,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",193.1
