Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,UMS002__Umsatz__2015=100
1994,Januar,WZ08-55,Beherbergung,"92,3"
1994,Januar,WZ08-551,"Hotels, Gasthoefe und Pensionen","91,9"
1994,Januar,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"97,3"
1994,Januar,WZ08-553,Campingplaetze,"68,4"
1994,Januar,WZ08-559,Sonstige Beherbergungsstaetten,"127,1"
1994,Januar,WZ08-56,Gastronomie,"152,3"
1994,Januar,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","154,3"
1994,Januar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"87,9"
1994,Januar,WZ08-563,Ausschank von Getraenken,"255,0"
1994,Januar,WZ08-561-01,Gaststaettengewerbe,"168,4"
1994,Januar,WZ08-55-01,Gastgewerbe,"127,9"
1994,Februar,WZ08-55,Beherbergung,"97,0"
1994,Februar,WZ08-551,"Hotels, Gasthoefe und Pensionen","97,2"
1994,Februar,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"98,9"
1994,Februar,WZ08-553,Campingplaetze,"52,2"
1994,Februar,WZ08-559,Sonstige Beherbergungsstaetten,"133,7"
1994,Februar,WZ08-56,Gastronomie,"147,6"
1994,Februar,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","149,2"
1994,Februar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"86,4"
1994,Februar,WZ08-563,Ausschank von Getraenken,"246,7"
1994,Februar,WZ08-561-01,Gaststaettengewerbe,"162,8"
1994,Februar,WZ08-55-01,Gastgewerbe,"127,1"
1994,Maerz,WZ08-55,Beherbergung,"111,3"
1994,Maerz,WZ08-551,"Hotels, Gasthoefe und Pensionen","110,6"
1994,Maerz,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"125,1"
1994,Maerz,WZ08-553,Campingplaetze,"81,8"
1994,Maerz,WZ08-559,Sonstige Beherbergungsstaetten,"148,7"
1994,Maerz,WZ08-56,Gastronomie,"166,0"
1994,Maerz,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","170,4"
1994,Maerz,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"99,9"
1994,Maerz,WZ08-563,Ausschank von Getraenken,"257,0"
1994,Maerz,WZ08-561-01,Gaststaettengewerbe,"182,4"
1994,Maerz,WZ08-55-01,Gastgewerbe,"143,9"
1994,April,WZ08-55,Beherbergung,"117,2"
1994,April,WZ08-551,"Hotels, Gasthoefe und Pensionen","115,9"
1994,April,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"131,8"
1994,April,WZ08-553,Campingplaetze,"119,4"
1994,April,WZ08-559,Sonstige Beherbergungsstaetten,"153,1"
1994,April,WZ08-56,Gastronomie,"168,1"
1994,April,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","175,3"
1994,April,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"92,3"
1994,April,WZ08-563,Ausschank von Getraenken,"259,8"
1994,April,WZ08-561-01,Gaststaettengewerbe,"187,0"
1994,April,WZ08-55-01,Gastgewerbe,"147,5"
1994,Mai,WZ08-55,Beherbergung,"138,0"
1994,Mai,WZ08-551,"Hotels, Gasthoefe und Pensionen","136,8"
1994,Mai,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"160,3"
1994,Mai,WZ08-553,Campingplaetze,"99,7"
1994,Mai,WZ08-559,Sonstige Beherbergungsstaetten,"204,1"
1994,Mai,WZ08-56,Gastronomie,"182,6"
1994,Mai,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","193,6"
1994,Mai,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"97,0"
1994,Mai,WZ08-563,Ausschank von Getraenken,"268,8"
1994,Mai,WZ08-561-01,Gaststaettengewerbe,"204,0"
1994,Mai,WZ08-55-01,Gastgewerbe,"164,6"
1994,Juni,WZ08-55,Beherbergung,"134,7"
1994,Juni,WZ08-551,"Hotels, Gasthoefe und Pensionen","132,8"
1994,Juni,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"173,1"
1994,Juni,WZ08-553,Campingplaetze,"84,7"
1994,Juni,WZ08-559,Sonstige Beherbergungsstaetten,"212,1"
1994,Juni,WZ08-56,Gastronomie,"175,8"
1994,Juni,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","184,1"
1994,Juni,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"101,8"
1994,Juni,WZ08-563,Ausschank von Getraenken,"257,2"
1994,Juni,WZ08-561-01,Gaststaettengewerbe,"194,3"
1994,Juni,WZ08-55-01,Gastgewerbe,"159,2"
1994,Juli,WZ08-55,Beherbergung,"130,8"
1994,Juli,WZ08-551,"Hotels, Gasthoefe und Pensionen","126,4"
1994,Juli,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"191,0"
1994,Juli,WZ08-553,Campingplaetze,"141,9"
1994,Juli,WZ08-559,Sonstige Beherbergungsstaetten,"265,5"
1994,Juli,WZ08-56,Gastronomie,"180,5"
1994,Juli,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","193,1"
1994,Juli,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"93,6"
1994,Juli,WZ08-563,Ausschank von Getraenken,"258,5"
1994,Juli,WZ08-561-01,Gaststaettengewerbe,"202,2"
1994,Juli,WZ08-55-01,Gastgewerbe,"160,4"
1994,August,WZ08-55,Beherbergung,"135,6"
1994,August,WZ08-551,"Hotels, Gasthoefe und Pensionen","132,2"
1994,August,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"179,2"
1994,August,WZ08-553,Campingplaetze,"123,7"
1994,August,WZ08-559,Sonstige Beherbergungsstaetten,"267,0"
1994,August,WZ08-56,Gastronomie,"178,8"
1994,August,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","191,3"
1994,August,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"88,9"
1994,August,WZ08-563,Ausschank von Getraenken,"263,4"
1994,August,WZ08-561-01,Gaststaettengewerbe,"201,4"
1994,August,WZ08-55-01,Gastgewerbe,"161,3"
1994,September,WZ08-55,Beherbergung,"155,6"
1994,September,WZ08-551,"Hotels, Gasthoefe und Pensionen","155,6"
1994,September,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"170,3"
1994,September,WZ08-553,Campingplaetze,"63,6"
1994,September,WZ08-559,Sonstige Beherbergungsstaetten,"222,5"
1994,September,WZ08-56,Gastronomie,"178,2"
1994,September,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","185,3"
1994,September,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"99,0"
1994,September,WZ08-563,Ausschank von Getraenken,"276,9"
1994,September,WZ08-561-01,Gaststaettengewerbe,"198,0"
1994,September,WZ08-55-01,Gastgewerbe,"169,2"
1994,Oktober,WZ08-55,Beherbergung,"146,0"
1994,Oktober,WZ08-551,"Hotels, Gasthoefe und Pensionen","146,6"
1994,Oktober,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"152,8"
1994,Oktober,WZ08-553,Campingplaetze,"56,7"
1994,Oktober,WZ08-559,Sonstige Beherbergungsstaetten,"187,8"
1994,Oktober,WZ08-56,Gastronomie,"176,7"
1994,Oktober,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","185,1"
1994,Oktober,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"98,1"
1994,Oktober,WZ08-563,Ausschank von Getraenken,"266,7"
1994,Oktober,WZ08-561-01,Gaststaettengewerbe,"196,4"
1994,Oktober,WZ08-55-01,Gastgewerbe,"164,4"
1994,November,WZ08-55,Beherbergung,"106,5"
1994,November,WZ08-551,"Hotels, Gasthoefe und Pensionen","108,0"
1994,November,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"95,3"
1994,November,WZ08-553,Campingplaetze,"34,8"
1994,November,WZ08-559,Sonstige Beherbergungsstaetten,"110,5"
1994,November,WZ08-56,Gastronomie,"164,4"
1994,November,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","168,8"
1994,November,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"96,3"
1994,November,WZ08-563,Ausschank von Getraenken,"258,3"
1994,November,WZ08-561-01,Gaststaettengewerbe,"181,4"
1994,November,WZ08-55-01,Gastgewerbe,"140,8"
1994,Dezember,WZ08-55,Beherbergung,"110,8"
1994,Dezember,WZ08-551,"Hotels, Gasthoefe und Pensionen","112,1"
1994,Dezember,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"101,6"
1994,Dezember,WZ08-553,Campingplaetze,"32,5"
1994,Dezember,WZ08-559,Sonstige Beherbergungsstaetten,"127,1"
1994,Dezember,WZ08-56,Gastronomie,"180,8"
1994,Dezember,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","190,6"
1994,Dezember,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"97,3"
1994,Dezember,WZ08-563,Ausschank von Getraenken,"270,1"
