Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,Umsatz in millionen
1994,1,WZ08-55,Beherbergung,92.3
1994,1,WZ08-551,"Hotels, Gasthöfe und Pensionen",91.9
1994,1,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,97.3
1994,1,WZ08-553,Campingplätze,68.4
1994,1,WZ08-559,Sonstige Beherbergungsstätten,127.1
1994,1,WZ08-56,Gastronomie,152.3
1994,1,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",154.3
1994,1,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,87.9
1994,1,WZ08-563,Ausschank von Getränken,255.0
1994,1,WZ08-561-01,Gaststättengewerbe,168.4
1994,1,WZ08-55-01,Gastgewerbe,127.9
1994,2,WZ08-55,Beherbergung,97.0
1994,2,WZ08-551,"Hotels, Gasthöfe und Pensionen",97.2
1994,2,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,98.9
1994,2,WZ08-553,Campingplätze,52.2
1994,2,WZ08-559,Sonstige Beherbergungsstätten,133.7
1994,2,WZ08-56,Gastronomie,147.6
1994,2,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",149.2
1994,2,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,86.4
1994,2,WZ08-563,Ausschank von Getränken,246.7
1994,2,WZ08-561-01,Gaststättengewerbe,162.8
1994,2,WZ08-55-01,Gastgewerbe,127.1
1994,3,WZ08-55,Beherbergung,111.3
1994,3,WZ08-551,"Hotels, Gasthöfe und Pensionen",110.6
1994,3,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,125.1
1994,3,WZ08-553,Campingplätze,81.8
1994,3,WZ08-559,Sonstige Beherbergungsstätten,148.7
1994,3,WZ08-56,Gastronomie,166.0
1994,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",170.4
1994,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.9
1994,3,WZ08-563,Ausschank von Getränken,257.0
1994,3,WZ08-561-01,Gaststättengewerbe,182.4
1994,3,WZ08-55-01,Gastgewerbe,143.9
1994,4,WZ08-55,Beherbergung,117.2
1994,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",115.9
1994,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,131.8
1994,4,WZ08-553,Campingplätze,119.4
1994,4,WZ08-559,Sonstige Beherbergungsstätten,153.1
1994,4,WZ08-56,Gastronomie,168.1
1994,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",175.3
1994,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.3
1994,4,WZ08-563,Ausschank von Getränken,259.8
1994,4,WZ08-561-01,Gaststättengewerbe,187.0
1994,4,WZ08-55-01,Gastgewerbe,147.5
1994,5,WZ08-55,Beherbergung,138.0
1994,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",136.8
1994,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,160.3
1994,5,WZ08-553,Campingplätze,99.7
1994,5,WZ08-559,Sonstige Beherbergungsstätten,204.1
1994,5,WZ08-56,Gastronomie,182.6
1994,5,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",193.6
1994,5,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.0
1994,5,WZ08-563,Ausschank von Getränken,268.8
1994,5,WZ08-561-01,Gaststättengewerbe,204.0
1994,5,WZ08-55-01,Gastgewerbe,164.6
1994,6,WZ08-55,Beherbergung,134.7
1994,6,WZ08-551,"Hotels, Gasthöfe und Pensionen",132.8
1994,6,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,173.1
1994,6,WZ08-553,Campingplätze,84.7
1994,6,WZ08-559,Sonstige Beherbergungsstätten,212.1
1994,6,WZ08-56,Gastronomie,175.8
1994,6,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",184.1
1994,6,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.8
1994,6,WZ08-563,Ausschank von Getränken,257.2
1994,6,WZ08-561-01,Gaststättengewerbe,194.3
1994,6,WZ08-55-01,Gastgewerbe,159.2
1994,7,WZ08-55,Beherbergung,130.8
1994,7,WZ08-551,"Hotels, Gasthöfe und Pensionen",126.4
1994,7,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,191.0
1994,7,WZ08-553,Campingplätze,141.9
1994,7,WZ08-559,Sonstige Beherbergungsstätten,265.5
1994,7,WZ08-56,Gastronomie,180.5
1994,7,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",193.1
1994,7,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,93.6
1994,7,WZ08-563,Ausschank von Getränken,258.5
1994,7,WZ08-561-01,Gaststättengewerbe,202.2
1994,7,WZ08-55-01,Gastgewerbe,160.4
1994,8,WZ08-55,Beherbergung,135.6
1994,8,WZ08-551,"Hotels, Gasthöfe und Pensionen",132.2
1994,8,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,179.2
