name,latitude,longitude
Jugendzeltplatz Paulsteiner,47.6428518,10.5690821
Mini Hof Sommer,47.6767997,10.3159304
Allgäuer Hof,47.6530286,10.5738922
Umweltstation Unterallgäu,47.8540492,10.1464684
Donaucamping Eichwaldstuben,48.5690399,10.5019808
Zeltplatz Rücklenmühle,48.3838196,10.579891
Naturfreundehaus,48.4441322,10.2997279
Camping Gutshof Donauried,48.4873461,10.2564066
Jugendzeltplatz Tapfheim,48.6689242,10.699726
Jugendzeltlagerplatz am Michelsberg,48.7371164,10.5603825
Pfetzendorfer Weiher,49.3225381,10.369212
Camping Aumühle,49.0200949,10.6058031
Dekanatsjugendzeltplatz am Weisachsee,49.6710123,10.6295624
"Radstein / Taubensee, Oberschwarzach",49.857023,10.454092
"Klinge, Winkelhof",49.795203,10.534175
"Pfaffenwiese, Burgwindheim",49.80613,10.61474
Aussteller-Camp,50.1910122,10.1246347
Jugendzeltplatz Reutersbrunn,50.067839,10.7500309
DJK Schweinfurt,50.0456672,10.2466192
Jugendzeltplatz Schweinshaupten,50.1834697,10.5779484
Hütte Egenhausen,50.039584,10.0989036
Schmittnhof,49.9633064,10.4559659
"Laubwiese, Zell",49.9699467,10.5916897
"Katzentännig, Hundelshausen",49.913375,10.464478
"Geusfeld, Rauhenebrach",49.881722,10.502758
"Friedlein, Dankenfeld",49.89822,10.68609
"Steinknuck, Neuschleichach",49.9221947,10.5683522
"Hainach, Oberschwappach",49.961233,10.534279
Weidberg Camping,50.6047179,10.0844032
Weihersmühle,50.5249431,10.125746
Biwakplatz Werra-Kanu,51.0487733,10.2495466
Campingplatz Altenburschla,51.1502511,10.1730789
Biwakplatz Heldra,51.1256836,10.1955586
Biwak-Station Küllstedter Grund,51.2757999,10.2520886
Campingpark Wiesenbeker Teich,51.6169909,10.4904787
Jugendzeltplatz Brunnenbachsmühle,51.6987046,10.6243844
Am Krähenberg,51.9009835,10.3278282
Campingplatz am Strandbad Knesebeck,52.6711118,10.6918839
Campground,52.5933837,10.4973109
Campingplatz Aljarn,53.1683387,10.6180499
"Elbtalcamping ""Mutter Grün""",53.2365289,10.8491532
"Campingplatz ""Elbstrand""",53.3663924,10.5480911
Freizeitplatz,53.3941499,10.7384962
Waldkorb,53.5325435,10.3550504
Waldkorb 2,53.5332744,10.3513634
TrekkingplatzBröthen,53.4767551,10.6648611
Erlebniswald Trappenkamp,54.0238952,10.2376005
Trekkingplatz Kasseedorf,54.1564647,10.7185742
Trekkingplatz Mönchneversdorf,54.2156741,10.7234875
"Trekkingplatz ""Lueg"" ins Land",54.098456,10.5186689
Trekkingplatz Ahrensbök,53.9766819,10.5610348
Trekkingplatz Alte Schule / Kulturstern Kleinmeinsdorf e.V.,54.12892,10.50052
Jugendgruppenzeltplatz Falkenhorst,54.41047,10.1879493
Trekkingplatz Hessenstein,54.3066007,10.5628019
Camping am Deich,54.5264364,11.1176246
Trekkingplatz Gruber See,54.2415719,11.0338897
Storchenhof Ciconia,53.7483503,11.0359427
Am Wiesengrund,53.1955228,11.3413459
Zeltwiese Gasthaus Wiese,53.0301571,11.3081623
Wasserwanderrastplatz Finds hier,53.1787338,11.2997047
Wasserwanderzentrum,53.1411501,11.2597791
Green Camping,53.0276702,11.1246075
Camping Bankerhof,53.1916553,11.0011037
Campground OFCK,53.2251512,11.3523041
Hütten-Hotel-Elbhöhe,53.0709251,11.4124374
einfachlosmachen,52.9931171,11.5729558
Sunshine Camp Apenburg,52.7055123,11.1963032
Waldbad und Campingplatz Dähre,52.7939261,10.8852887
Zeltplatz,52.6902389,11.1418357
Domäne Stiege,51.6802972,10.8776672
Campingplatz Grosser Schachtsee,51.9549806,11.4679062
Biwakplatz Memleben,51.2670742,11.4832694
Campingplatz Am Waldbad,51.5371826,11.3114159
Campingplatz Ettersburg,51.0356441,11.287423
Sport- und Freizeitzentrum Uhlstädt,50.7389047,11.4637
Campingwiese Kanu-Club Sömmerda,51.1578889,11.1104986
Pfadfinderzentrum Schleifenberghütte,50.3821368,11.1813514
Wohnmobil-Stellplatz Camping am Werra Radweg,50.4060066,10.8796945
Trekkingplatz FRANKENWALD Kobach,50.4772296,11.3094638
Waldcamp,50.5105863,11.3385554
Bamberger Faltboot-Club,49.9035154,10.8736851
Zeltplatz Callenberg,50.2798239,10.923347
Schloss Oberau,50.1102149,10.9753739
Campingplatz des Segelflug Club Lauf e.V.,49.6026056,11.2809351
Zeltplatz der Kolpingsfamilie Münchberg,49.7730088,11.3745133
Jugendzeltplatz am Pavillon,49.8620721,11.1829729
Zeltwiese Gasthaus Kroder,49.7077744,11.1540015
Mandlachsee (Kreisjugendring Aichach Friedberg),48.5536808,11.0690092
Jugendfreizeitgelände Lindenbichl,47.6925808,11.1653382
