,index,stationsname,geogr.breite,geogr.laenge,stationshoehe,stations_id
0,0,"Bergzabern, Bad",49.1042,8.00005,195.0,377
1,1,Berlin-Tempelhof,52.46755,13.40205,47.730000000000004,433
2,2,Bochum,51.491066666666676,7.2381,101.0,555
3,3,Celle,52.595866666666666,10.029066666666667,39.0,850
4,4,Cottbus,51.7759,14.3168,68.66,880
5,5,Freiburg,48.012,7.83975,252.73000000000002,1443
6,6,Greifswald,54.09653333333333,13.405633333333332,2.0,1757
7,7,Hamburg-Fuhlsbüttel,53.634866666666674,9.990499999999999,11.0,1975
8,8,Norderney,53.7123,7.1519,11.47,3631
9,9,Pfullendorf,47.927499999999995,9.2876,633.75,3927
10,10,Pirmasens,49.1912,7.5879,385.0,3939
11,11,Sontra,51.07093333333333,9.922433333333332,265.0,4763
12,12,Wuppertal-Buchenhofen,51.2278,7.1076,130.0,5717
13,13,Würzburg,49.7704,9.957633333333334,268.0,5705
14,14,Zugspitze,47.421,10.9848,2956.0,5792
