,ID,Jahr,Monat,Gastro_Id,Umsatz in millionen, TMK,Jahr_Monat
0,0,1994,1,WZ08-55,92.3,4.2,1994-1
1,1,1994,1,WZ08-551,91.9,4.2,1994-1
2,2,1994,1,WZ08-552,97.3,4.2,1994-1
3,3,1994,1,WZ08-553,68.4,4.2,1994-1
4,4,1994,1,WZ08-559,127.1,4.2,1994-1
5,5,1994,1,WZ08-56,152.3,4.2,1994-1
6,6,1994,1,WZ08-561,154.3,4.2,1994-1
7,7,1994,1,WZ08-562,87.9,4.2,1994-1
8,8,1994,1,WZ08-563,255.0,4.2,1994-1
9,9,1994,1,WZ08-561-01,168.4,4.2,1994-1
10,10,1994,1,WZ08-55-01,127.9,4.2,1994-1
11,11,1994,2,WZ08-55,97.0,3.05,1994-2
12,12,1994,2,WZ08-551,97.2,3.05,1994-2
13,13,1994,2,WZ08-552,98.9,3.05,1994-2
14,14,1994,2,WZ08-553,52.2,3.05,1994-2
15,15,1994,2,WZ08-559,133.7,3.05,1994-2
16,16,1994,2,WZ08-56,147.6,3.05,1994-2
17,17,1994,2,WZ08-561,149.2,3.05,1994-2
18,18,1994,2,WZ08-562,86.4,3.05,1994-2
19,19,1994,2,WZ08-563,246.7,3.05,1994-2
20,20,1994,2,WZ08-561-01,162.8,3.05,1994-2
21,21,1994,2,WZ08-55-01,127.1,3.05,1994-2
22,22,1994,3,WZ08-55,111.3,8.6,1994-3
23,23,1994,3,WZ08-551,110.6,8.6,1994-3
24,24,1994,3,WZ08-552,125.1,8.6,1994-3
25,25,1994,3,WZ08-553,81.8,8.6,1994-3
26,26,1994,3,WZ08-559,148.7,8.6,1994-3
27,27,1994,3,WZ08-56,166.0,8.6,1994-3
28,28,1994,3,WZ08-561,170.4,8.6,1994-3
29,29,1994,3,WZ08-562,99.9,8.6,1994-3
30,30,1994,3,WZ08-563,257.0,8.6,1994-3
31,31,1994,3,WZ08-561-01,182.4,8.6,1994-3
32,32,1994,3,WZ08-55-01,143.9,8.6,1994-3
33,33,1994,4,WZ08-55,117.2,8.0,1994-4
34,34,1994,4,WZ08-551,115.9,8.0,1994-4
35,35,1994,4,WZ08-552,131.8,8.0,1994-4
36,36,1994,4,WZ08-553,119.4,8.0,1994-4
37,37,1994,4,WZ08-559,153.1,8.0,1994-4
38,38,1994,4,WZ08-56,168.1,8.0,1994-4
39,39,1994,4,WZ08-561,175.3,8.0,1994-4
40,40,1994,4,WZ08-562,92.3,8.0,1994-4
41,41,1994,4,WZ08-563,259.8,8.0,1994-4
42,42,1994,4,WZ08-561-01,187.0,8.0,1994-4
43,43,1994,4,WZ08-55-01,147.5,8.0,1994-4
44,44,1994,5,WZ08-55,138.0,14.1,1994-5
45,45,1994,5,WZ08-551,136.8,14.1,1994-5
46,46,1994,5,WZ08-552,160.3,14.1,1994-5
47,47,1994,5,WZ08-553,99.7,14.1,1994-5
48,48,1994,5,WZ08-559,204.1,14.1,1994-5
49,49,1994,5,WZ08-56,182.6,14.1,1994-5
50,50,1994,5,WZ08-561,193.6,14.1,1994-5
51,51,1994,5,WZ08-562,97.0,14.1,1994-5
52,52,1994,5,WZ08-563,268.8,14.1,1994-5
53,53,1994,5,WZ08-561-01,204.0,14.1,1994-5
54,54,1994,5,WZ08-55-01,164.6,14.1,1994-5
55,55,1994,6,WZ08-55,134.7,18.25,1994-6
56,56,1994,6,WZ08-551,132.8,18.25,1994-6
57,57,1994,6,WZ08-552,173.1,18.25,1994-6
58,58,1994,6,WZ08-553,84.7,18.25,1994-6
59,59,1994,6,WZ08-559,212.1,18.25,1994-6
60,60,1994,6,WZ08-56,175.8,18.25,1994-6
61,61,1994,6,WZ08-561,184.1,18.25,1994-6
62,62,1994,6,WZ08-562,101.8,18.25,1994-6
63,63,1994,6,WZ08-563,257.2,18.25,1994-6
64,64,1994,6,WZ08-561-01,194.3,18.25,1994-6
65,65,1994,6,WZ08-55-01,159.2,18.25,1994-6
66,66,1994,7,WZ08-55,130.8,23.2,1994-7
67,67,1994,7,WZ08-551,126.4,23.2,1994-7
68,68,1994,7,WZ08-552,191.0,23.2,1994-7
69,69,1994,7,WZ08-553,141.9,23.2,1994-7
70,70,1994,7,WZ08-559,265.5,23.2,1994-7
71,71,1994,7,WZ08-56,180.5,23.2,1994-7
72,72,1994,7,WZ08-561,193.1,23.2,1994-7
73,73,1994,7,WZ08-562,93.6,23.2,1994-7
74,74,1994,7,WZ08-563,258.5,23.2,1994-7
